# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: lj vs3betjam @ 30bb
# HRC node: id=3403, seat=2, sequence=FFRRFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 34.55%
notation,action,freq
AA,call,1.0
AKs,fold,0.0546
AKs,call,0.9454
AQs,fold,0.0056
AQs,call,0.9944
AJs,fold,0.8302
AJs,call,0.1698
ATs,fold,0.3972
ATs,call,0.6028
A9s,fold,0.8945
A9s,call,0.1055
A8s,fold,0.9962
A8s,call,0.0038
A7s,fold,0.9578
A7s,call,0.0422
A6s,fold,0.9993
A6s,call,0.0007
A5s,fold,0.9605
A5s,call,0.0395
A4s,fold,0.923
A4s,call,0.077
A3s,fold,0.8685
A3s,call,0.1315
A2s,fold,0.9582
A2s,call,0.0418
AKo,call,1.0
KK,call,1.0
KQs,fold,0.923
KQs,call,0.077
KJs,fold,0.9938
KJs,call,0.0062
KTs,fold,0.9353
KTs,call,0.0647
K9s,fold,0.9086
K9s,call,0.0914
K8s,fold,0.9716
K8s,call,0.0284
K7s,fold,0.9997
K7s,call,0.0003
K6s,fold,0.9959
K6s,call,0.0041
K5s,fold,0.9938
K5s,call,0.0062
K4s,fold,0.9791
K4s,call,0.0209
K3s,fold,0.9956
K3s,call,0.0044
K2s,fold,0.9659
K2s,call,0.0341
AQo,fold,0.8018
AQo,call,0.1982
KQo,fold,0.9261
KQo,call,0.0739
QQ,fold,0.0004
QQ,call,0.9996
QJs,fold,0.2949
QJs,call,0.7051
QTs,fold,0.9485
QTs,call,0.0515
Q9s,fold,0.9897
Q9s,call,0.0103
Q7s,fold,0.9967
Q7s,call,0.0033
Q5s,fold,0.9986
Q5s,call,0.0014
Q4s,fold,0.9757
Q4s,call,0.0243
Q3s,fold,0.9984
Q3s,call,0.0016
AJo,fold,0.8982
AJo,call,0.1018
KJo,fold,0.9943
KJo,call,0.0057
QJo,fold,0.9998
QJo,call,0.0002
JJ,fold,0.0001
JJ,call,0.9999
JTs,fold,0.966
JTs,call,0.034
J9s,fold,0.9937
J9s,call,0.0063
J8s,fold,0.9912
J8s,call,0.0088
J7s,fold,0.9933
J7s,call,0.0067
ATo,fold,0.9516
ATo,call,0.0484
KTo,fold,0.9894
KTo,call,0.0106
QTo,fold,0.9975
QTo,call,0.0025
JTo,fold,0.9949
JTo,call,0.0051
TT,fold,0.0012
TT,call,0.9988
T9s,fold,0.9999
T9s,call,0.0001
T8s,fold,0.9923
T8s,call,0.0077
T4s,fold,0.9998
T4s,call,0.0002
T3s,fold,0.9993
T3s,call,0.0007
A9o,fold,0.9922
A9o,call,0.0078
Q9o,fold,1.0
99,fold,0.4141
99,call,0.5859
98s,fold,0.9647
98s,call,0.0353
A8o,fold,0.9868
A8o,call,0.0132
K8o,fold,0.9989
K8o,call,0.0011
Q8o,fold,0.9994
Q8o,call,0.0006
88,fold,0.6813
88,call,0.3187
87s,fold,0.9844
87s,call,0.0156
83s,fold,0.9676
83s,call,0.0324
A7o,fold,0.9865
A7o,call,0.0135
K7o,fold,0.9976
K7o,call,0.0024
77,fold,0.8428
77,call,0.1572
76s,fold,0.9984
76s,call,0.0016
A6o,fold,0.9903
A6o,call,0.0097
66,fold,0.8532
66,call,0.1468
A5o,fold,0.9888
A5o,call,0.0112
55,fold,0.8089
55,call,0.1911
54s,fold,0.9968
54s,call,0.0032
A4o,fold,0.9621
A4o,call,0.0379
44,fold,0.9964
44,call,0.0036
A3o,fold,0.9998
A3o,call,0.0002
A2o,fold,0.984
A2o,call,0.016
