# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): lj vsopen vs utg1 open @ 30bb
# HRC node: id=3430, seat=2, sequence=FR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.90%
notation,action,freq
AA,call,0.2473
AA,raise,0.7315
AA,jam,0.0211
AKs,raise,0.0256
AKs,jam,0.9744
AQs,call,0.9053
AQs,jam,0.0947
AJs,fold,0.0001
AJs,call,0.9298
AJs,raise,0.0275
AJs,jam,0.0426
ATs,call,0.6365
ATs,raise,0.1018
ATs,jam,0.2618
A9s,fold,0.7275
A9s,call,0.0933
A9s,raise,0.0795
A9s,jam,0.0997
A8s,fold,0.4866
A8s,call,0.4926
A8s,raise,0.0182
A8s,jam,0.0027
A7s,fold,0.6438
A7s,call,0.3431
A7s,raise,0.0031
A7s,jam,0.01
A6s,fold,0.9941
A6s,call,0.0055
A6s,jam,0.0005
A5s,fold,0.9554
A5s,call,0.0419
A5s,jam,0.0027
A4s,fold,0.6792
A4s,call,0.222
A4s,raise,0.0043
A4s,jam,0.0944
A3s,fold,0.9188
A3s,call,0.0809
A3s,jam,0.0003
A2s,fold,0.9241
A2s,call,0.07
A2s,raise,0.0013
A2s,jam,0.0046
AKo,call,0.0358
AKo,raise,0.4119
AKo,jam,0.5523
KK,call,0.5587
KK,raise,0.3304
KK,jam,0.1109
KQs,call,0.9657
KQs,raise,0.0224
KQs,jam,0.0119
KJs,fold,0.3667
KJs,call,0.1195
KJs,raise,0.0753
KJs,jam,0.4385
KTs,fold,0.6957
KTs,call,0.0201
KTs,raise,0.0481
KTs,jam,0.2362
K9s,fold,0.9749
K9s,call,0.0251
K8s,fold,0.9868
K8s,call,0.0069
K8s,raise,0.0025
K8s,jam,0.0038
K7s,fold,0.9858
K7s,call,0.0136
K7s,jam,0.0006
K6s,fold,0.9849
K6s,call,0.0067
K6s,raise,0.0002
K6s,jam,0.0082
K5s,fold,0.9802
K5s,call,0.0198
K4s,fold,0.992
K4s,call,0.0078
K4s,raise,0.0001
K3s,fold,0.9971
K3s,call,0.0024
K3s,raise,0.0002
K3s,jam,0.0003
K2s,fold,0.9909
K2s,call,0.008
K2s,raise,0.0006
K2s,jam,0.0005
AQo,call,0.555
AQo,raise,0.4166
AQo,jam,0.0283
KQo,fold,0.6693
KQo,call,0.1775
KQo,raise,0.1516
KQo,jam,0.0016
QQ,call,0.0653
QQ,raise,0.186
QQ,jam,0.7488
QJs,fold,0.0695
QJs,call,0.7207
QJs,raise,0.0376
QJs,jam,0.1722
QTs,fold,0.9016
QTs,call,0.0066
QTs,raise,0.0025
QTs,jam,0.0894
Q9s,fold,0.9016
Q9s,call,0.0968
Q9s,raise,0.0005
Q9s,jam,0.0011
Q8s,fold,0.7792
Q8s,call,0.2182
Q8s,raise,0.0006
Q8s,jam,0.0021
Q7s,fold,0.994
Q7s,call,0.004
Q7s,raise,0.0002
Q7s,jam,0.0018
Q6s,fold,0.9864
Q6s,call,0.0007
Q6s,raise,0.0127
Q6s,jam,0.0002
Q5s,fold,0.996
Q5s,call,0.0021
Q5s,raise,0.0008
Q5s,jam,0.0011
Q4s,fold,0.989
Q4s,call,0.0109
Q3s,fold,0.9968
Q3s,call,0.0029
Q3s,raise,0.0002
Q3s,jam,0.0001
Q2s,fold,0.9805
Q2s,call,0.0174
Q2s,raise,0.0013
Q2s,jam,0.0009
AJo,fold,0.0138
AJo,call,0.827
AJo,raise,0.1562
AJo,jam,0.003
KJo,fold,0.3199
KJo,call,0.6677
KJo,raise,0.0087
KJo,jam,0.0037
QJo,fold,0.9445
QJo,call,0.0467
QJo,raise,0.0069
QJo,jam,0.0019
JJ,call,0.1376
JJ,raise,0.0826
JJ,jam,0.7798
JTs,fold,0.3813
JTs,call,0.5498
JTs,raise,0.0054
JTs,jam,0.0635
J9s,fold,0.7839
J9s,call,0.2082
J9s,raise,0.0006
J9s,jam,0.0074
J8s,fold,0.886
J8s,call,0.1133
J8s,jam,0.0006
J7s,fold,0.9918
J7s,call,0.0064
J7s,raise,0.0002
J7s,jam,0.0016
J6s,fold,0.9972
J6s,call,0.0027
J6s,jam,0.0001
J5s,fold,0.9951
J5s,call,0.0003
J5s,raise,0.0041
J5s,jam,0.0004
J4s,fold,0.9931
J4s,call,0.0064
J4s,raise,0.0002
J4s,jam,0.0003
J3s,fold,0.9996
J3s,call,0.0003
J3s,jam,0.0001
J2s,fold,0.9969
J2s,call,0.0003
J2s,raise,0.0007
J2s,jam,0.0022
ATo,fold,0.8878
ATo,call,0.0765
ATo,raise,0.017
ATo,jam,0.0187
KTo,fold,0.962
KTo,call,0.0355
KTo,raise,0.0001
KTo,jam,0.0024
QTo,fold,0.9943
QTo,call,0.0036
QTo,raise,0.0008
QTo,jam,0.0013
JTo,fold,0.9889
JTo,call,0.0097
JTo,raise,0.0009
JTo,jam,0.0005
TT,call,0.1101
TT,raise,0.5038
TT,jam,0.3861
T9s,fold,0.9397
T9s,call,0.0389
T9s,raise,0.0035
T9s,jam,0.0179
T8s,fold,0.9383
T8s,call,0.0486
T8s,raise,0.0119
T8s,jam,0.0012
T7s,fold,0.9971
T7s,call,0.0003
T7s,raise,0.0024
T7s,jam,0.0003
T6s,fold,0.9963
T6s,call,0.0019
T6s,jam,0.0018
T5s,fold,0.9992
T5s,call,0.0007
T5s,jam,0.0001
T4s,fold,0.999
T4s,call,0.0004
T4s,jam,0.0006
T3s,fold,0.9983
T3s,call,0.0017
T2s,fold,0.9918
T2s,call,0.0072
T2s,raise,0.0007
T2s,jam,0.0004
A9o,fold,0.9656
A9o,call,0.0279
A9o,raise,0.0012
A9o,jam,0.0053
K9o,fold,0.9909
K9o,call,0.0019
K9o,raise,0.0066
K9o,jam,0.0006
Q9o,fold,0.9967
Q9o,call,0.0013
Q9o,raise,0.0001
Q9o,jam,0.0018
J9o,fold,0.9948
J9o,call,0.0042
J9o,raise,0.0002
J9o,jam,0.0009
T9o,fold,0.9996
T9o,call,0.0001
T9o,raise,0.0001
T9o,jam,0.0002
99,call,0.798
99,raise,0.1937
99,jam,0.0083
98s,fold,0.7556
98s,call,0.2406
98s,jam,0.0039
97s,fold,0.9955
97s,call,0.0031
97s,raise,0.0009
97s,jam,0.0004
96s,fold,1.0
95s,fold,0.987
95s,call,0.012
95s,raise,0.0001
95s,jam,0.0009
94s,fold,0.9948
94s,call,0.005
94s,jam,0.0003
93s,fold,0.9951
93s,call,0.0026
93s,raise,0.0001
93s,jam,0.0022
92s,fold,0.9998
92s,jam,0.0002
A8o,fold,0.9874
A8o,call,0.0071
A8o,raise,0.0016
A8o,jam,0.0038
K8o,fold,0.9999
Q8o,fold,0.9992
Q8o,call,0.0008
Q8o,raise,0.0001
J8o,fold,0.9989
J8o,call,0.0007
J8o,raise,0.0003
T8o,fold,0.9982
T8o,call,0.0013
T8o,raise,0.0003
T8o,jam,0.0002
98o,fold,0.9996
98o,call,0.0002
98o,raise,0.0001
98o,jam,0.0001
88,call,0.0424
88,raise,0.5142
88,jam,0.4433
87s,fold,0.9814
87s,call,0.0081
87s,raise,0.0003
87s,jam,0.0102
86s,fold,0.9887
86s,call,0.0113
85s,fold,0.9934
85s,call,0.0035
85s,raise,0.0018
85s,jam,0.0014
84s,fold,0.9986
84s,call,0.0012
84s,raise,0.0001
84s,jam,0.0001
83s,fold,0.9999
83s,call,0.0001
82s,fold,0.9997
82s,call,0.0002
82s,raise,0.0001
A7o,fold,0.9973
