# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: sb vs3betjam @ 30bb
# HRC node: id=15, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call']
# VPIP estimate: 29.62%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,fold,0.0001
AQs,call,0.9999
AJs,fold,0.0228
AJs,call,0.9772
ATs,call,1.0
A9s,fold,0.5761
A9s,call,0.4239
A8s,fold,0.0355
A8s,call,0.9645
A7s,fold,0.7569
A7s,call,0.2431
A6s,fold,0.4749
A6s,call,0.5251
A5s,fold,0.9909
A5s,call,0.0091
A4s,fold,0.9946
A4s,call,0.0054
A3s,fold,0.9275
A3s,call,0.0725
A2s,fold,0.9199
A2s,call,0.0801
AKo,call,1.0
KK,call,1.0
KQs,fold,0.7494
KQs,call,0.2506
KJs,fold,0.247
KJs,call,0.753
KTs,fold,0.9329
KTs,call,0.0671
K9s,fold,0.8466
K9s,call,0.1534
K8s,fold,0.9787
K8s,call,0.0213
K7s,fold,0.9932
K7s,call,0.0068
K6s,fold,0.9806
K6s,call,0.0194
K5s,fold,0.9921
K5s,call,0.0079
K4s,fold,0.9506
K4s,call,0.0494
K3s,fold,1.0
K2s,fold,0.9987
K2s,call,0.0013
AQo,call,1.0
KQo,fold,0.7307
KQo,call,0.2693
QQ,call,1.0
QJs,fold,0.989
QJs,call,0.011
QTs,fold,0.6381
QTs,call,0.3619
Q9s,fold,0.9999
Q9s,call,0.0001
Q8s,fold,0.9979
Q8s,call,0.0021
Q7s,fold,0.9948
Q7s,call,0.0052
Q6s,fold,0.9834
Q6s,call,0.0166
Q5s,fold,0.9973
Q5s,call,0.0027
Q4s,fold,0.9234
Q4s,call,0.0766
Q3s,fold,1.0
Q2s,fold,0.9899
Q2s,call,0.0101
AJo,call,1.0
KJo,fold,0.9951
KJo,call,0.0049
QJo,fold,0.9933
QJo,call,0.0067
JJ,fold,0.0005
JJ,call,0.9995
JTs,fold,0.9872
JTs,call,0.0128
J9s,fold,0.9852
J9s,call,0.0148
J8s,fold,0.98
J8s,call,0.02
J7s,fold,1.0
J6s,fold,1.0
J5s,fold,0.9998
J5s,call,0.0002
J4s,fold,0.9894
J4s,call,0.0106
J3s,fold,0.999
J3s,call,0.001
J2s,fold,0.9999
J2s,call,0.0001
ATo,fold,0.0623
ATo,call,0.9377
KTo,fold,0.9983
KTo,call,0.0017
QTo,fold,0.9949
QTo,call,0.0051
JTo,fold,0.9921
JTo,call,0.0079
TT,fold,0.0001
TT,call,0.9999
T9s,fold,0.9987
T9s,call,0.0013
T8s,fold,0.9891
T8s,call,0.0109
T7s,fold,0.9899
T7s,call,0.0101
T6s,fold,0.9998
T6s,call,0.0002
T5s,fold,0.9348
T5s,call,0.0652
T4s,fold,0.9984
T4s,call,0.0016
T3s,fold,0.9996
T3s,call,0.0004
T2s,fold,0.9975
T2s,call,0.0025
A9o,fold,0.9702
A9o,call,0.0298
K9o,fold,0.9916
K9o,call,0.0084
Q9o,fold,0.9999
Q9o,call,0.0001
J9o,fold,0.9948
J9o,call,0.0052
T9o,fold,0.9991
T9o,call,0.0009
99,fold,0.0001
99,call,0.9999
98s,fold,0.9994
98s,call,0.0006
96s,fold,0.9999
96s,call,0.0001
95s,fold,1.0
94s,fold,0.9989
94s,call,0.0011
93s,fold,0.998
93s,call,0.002
92s,fold,0.9997
92s,call,0.0003
A8o,fold,0.9906
A8o,call,0.0094
K8o,fold,0.9951
K8o,call,0.0049
Q8o,fold,0.9996
Q8o,call,0.0004
J8o,fold,0.9998
J8o,call,0.0002
88,fold,0.0209
88,call,0.9791
87s,fold,0.9994
87s,call,0.0006
86s,fold,1.0
85s,fold,0.9966
85s,call,0.0034
84s,fold,0.9995
84s,call,0.0005
83s,fold,0.9992
83s,call,0.0008
82s,fold,1.0
A7o,fold,0.9987
A7o,call,0.0013
K7o,fold,0.9996
K7o,call,0.0004
Q7o,fold,0.9988
Q7o,call,0.0012
J7o,fold,0.9999
J7o,call,0.0001
T7o,fold,0.9983
T7o,call,0.0017
97o,fold,1.0
77,fold,0.171
77,call,0.829
76s,fold,0.9991
76s,call,0.0009
74s,fold,0.9994
74s,call,0.0006
73s,fold,0.9995
73s,call,0.0005
72s,fold,0.9998
72s,call,0.0002
A6o,fold,0.9899
A6o,call,0.0101
K6o,fold,0.9993
K6o,call,0.0007
86o,fold,1.0
76o,fold,0.9999
76o,call,0.0001
66,fold,0.1965
66,call,0.8035
65s,fold,0.9994
65s,call,0.0006
62s,fold,0.9527
62s,call,0.0473
A5o,fold,0.9903
A5o,call,0.0097
K5o,fold,0.9986
K5o,call,0.0014
Q5o,fold,0.9999
Q5o,call,0.0001
J5o,fold,0.995
J5o,call,0.005
55,fold,0.514
55,call,0.486
54s,fold,0.9684
54s,call,0.0316
53s,fold,0.9928
53s,call,0.0072
52s,fold,0.9991
52s,call,0.0009
A4o,fold,0.9993
A4o,call,0.0007
T4o,fold,1.0
84o,fold,1.0
74o,fold,0.9997
74o,call,0.0003
44,fold,0.9941
44,call,0.0059
43s,fold,0.9992
43s,call,0.0008
42s,fold,0.9991
42s,call,0.0009
A3o,fold,0.9974
A3o,call,0.0026
K3o,fold,0.9985
K3o,call,0.0015
Q3o,fold,0.9997
Q3o,call,0.0003
J3o,fold,0.9986
J3o,call,0.0014
93o,fold,0.9998
93o,call,0.0002
63o,fold,0.9996
63o,call,0.0004
43o,fold,1.0
33,fold,0.9247
33,call,0.0753
A2o,fold,0.9987
A2o,call,0.0013
K2o,fold,0.9991
K2o,call,0.0009
92o,fold,1.0
22,fold,0.9185
22,call,0.0815
