# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: sb vsopen @ 30bb
# HRC node: id=14011, seat=6, sequence=RFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 49.18%
notation,action,freq
AA,jam,1.0
AKs,call,0.0002
AKs,jam,0.9998
AQs,call,0.0104
AQs,jam,0.9895
AJs,fold,0.0021
AJs,call,0.411
AJs,jam,0.5869
ATs,fold,0.0031
ATs,call,0.4969
ATs,jam,0.5001
A9s,fold,0.0163
A9s,call,0.9828
A9s,jam,0.001
A8s,fold,0.0986
A8s,call,0.9012
A8s,jam,0.0002
A7s,fold,0.0313
A7s,call,0.9667
A7s,jam,0.002
A6s,fold,0.0536
A6s,call,0.4497
A6s,jam,0.4968
A5s,fold,0.0659
A5s,call,0.4685
A5s,jam,0.4655
A4s,fold,0.0572
A4s,call,0.7961
A4s,jam,0.1467
A3s,fold,0.0063
A3s,call,0.9935
A3s,jam,0.0002
A2s,fold,0.2817
A2s,call,0.6659
A2s,jam,0.0525
AKo,jam,1.0
KK,call,0.0002
KK,jam,0.9998
KQs,fold,0.0019
KQs,call,0.2937
KQs,jam,0.7044
KJs,fold,0.0081
KJs,call,0.4453
KJs,jam,0.5466
KTs,fold,0.0648
KTs,call,0.4208
KTs,jam,0.5144
K9s,fold,0.0082
K9s,call,0.9912
K9s,jam,0.0006
K8s,fold,0.2958
K8s,call,0.7007
K8s,jam,0.0035
K7s,fold,0.0048
K7s,call,0.9729
K7s,jam,0.0223
K6s,fold,0.0291
K6s,call,0.9709
K5s,fold,0.0681
K5s,call,0.8443
K5s,jam,0.0876
K4s,fold,0.2611
K4s,call,0.5486
K4s,jam,0.1903
K3s,fold,0.5689
K3s,call,0.4308
K3s,jam,0.0003
K2s,fold,0.1909
K2s,call,0.8091
AQo,call,0.9723
AQo,jam,0.0277
KQo,fold,0.0001
KQo,call,0.9999
QQ,jam,1.0
QJs,fold,0.0031
QJs,call,0.7219
QJs,jam,0.2751
QTs,fold,0.0058
QTs,call,0.9638
QTs,jam,0.0304
Q9s,fold,0.0186
Q9s,call,0.9716
Q9s,jam,0.0098
Q8s,fold,0.0105
Q8s,call,0.9894
Q7s,fold,0.2324
Q7s,call,0.7459
Q7s,jam,0.0217
Q6s,fold,0.013
Q6s,call,0.9865
Q6s,jam,0.0005
Q5s,fold,0.3355
Q5s,call,0.6638
Q5s,jam,0.0007
Q4s,fold,0.6756
Q4s,call,0.3244
Q3s,fold,0.9407
