# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs btn open @ 30bb
# HRC node: id=16, seat=6, sequence=FFFFFR
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 41.80%
notation,action,freq
AA,jam,1.0
AKs,call,0.0008
AKs,jam,0.9992
AQs,jam,1.0
AJs,call,0.0888
AJs,jam,0.9111
ATs,call,0.2998
ATs,jam,0.7002
A9s,fold,0.0087
A9s,call,0.6528
A9s,jam,0.3384
A8s,fold,0.0009
A8s,call,0.3098
A8s,jam,0.6893
A7s,fold,0.0412
A7s,call,0.2464
A7s,jam,0.7124
A6s,fold,0.0127
A6s,call,0.8951
A6s,jam,0.0922
A5s,fold,0.0003
A5s,call,0.6222
A5s,jam,0.3776
A4s,fold,0.0223
A4s,call,0.9509
A4s,jam,0.0268
A3s,fold,0.0275
A3s,call,0.7039
A3s,jam,0.2685
A2s,fold,0.0306
A2s,call,0.9656
A2s,jam,0.0039
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0001
KQs,call,0.6696
KQs,jam,0.3302
KJs,fold,0.002
KJs,call,0.4447
KJs,jam,0.5533
KTs,call,0.2754
KTs,jam,0.7246
K9s,fold,0.0135
K9s,call,0.3889
K9s,jam,0.5976
K8s,fold,0.0385
K8s,call,0.9614
K7s,fold,0.0228
K7s,call,0.977
K7s,jam,0.0001
K6s,fold,0.5401
K6s,call,0.3276
K6s,jam,0.1323
K5s,fold,0.5134
K5s,call,0.3103
K5s,jam,0.1763
K4s,fold,0.9975
K4s,call,0.0006
K4s,jam,0.0019
K3s,fold,0.0969
K3s,call,0.8866
K3s,jam,0.0165
K2s,fold,0.4724
K2s,call,0.5191
K2s,jam,0.0086
AQo,jam,1.0
KQo,fold,0.0004
KQo,call,0.5969
KQo,jam,0.4027
QQ,jam,1.0
QJs,fold,0.0026
QJs,call,0.0716
QJs,jam,0.9259
QTs,fold,0.0007
QTs,call,0.0005
QTs,jam,0.9988
Q9s,fold,0.0217
Q9s,call,0.5978
Q9s,jam,0.3805
Q8s,fold,0.2237
Q8s,call,0.6054
Q8s,jam,0.1709
Q7s,fold,0.0542
Q7s,call,0.9457
Q7s,jam,0.0001
Q6s,fold,0.4772
Q6s,call,0.5197
Q6s,jam,0.0031
Q5s,fold,0.4458
Q5s,call,0.5537
Q5s,jam,0.0006
Q4s,fold,0.9832
Q4s,call,0.0165
Q4s,jam,0.0003
Q3s,fold,0.9971
Q3s,call,0.0029
Q2s,fold,0.5512
Q2s,call,0.4332
Q2s,jam,0.0156
AJo,call,0.0913
AJo,jam,0.9087
KJo,fold,0.0017
KJo,call,0.9312
KJo,jam,0.067
QJo,fold,0.0004
QJo,call,0.5836
QJo,jam,0.416
JJ,call,0.0002
JJ,jam,0.9998
JTs,fold,0.1049
JTs,call,0.1474
JTs,jam,0.7478
J9s,fold,0.2257
J9s,call,0.3551
J9s,jam,0.4192
J8s,fold,0.1188
J8s,call,0.8697
J8s,jam,0.0114
J7s,fold,0.4331
J7s,call,0.5669
J6s,fold,0.8616
J6s,call,0.1367
J6s,jam,0.0016
J5s,fold,0.9314
J5s,call,0.0686
J4s,fold,0.9114
J4s,call,0.0519
J4s,jam,0.0367
J3s,fold,0.9953
J3s,call,0.0047
J2s,fold,0.9992
J2s,call,0.0008
ATo,call,0.8887
ATo,jam,0.1113
KTo,fold,0.0026
KTo,call,0.9971
KTo,jam,0.0003
QTo,fold,0.0149
QTo,call,0.9761
QTo,jam,0.009
JTo,fold,0.0081
JTo,call,0.9915
JTo,jam,0.0004
TT,jam,1.0
T9s,fold,0.0954
T9s,call,0.2394
T9s,jam,0.6652
T8s,fold,0.0926
T8s,call,0.885
T8s,jam,0.0224
T7s,fold,0.6064
T7s,call,0.1847
T7s,jam,0.209
T6s,fold,0.6811
T6s,call,0.3188
T6s,jam,0.0001
T5s,fold,0.9996
T5s,call,0.0004
T4s,fold,0.9765
T4s,call,0.0213
T4s,jam,0.0022
T3s,fold,0.9999
T3s,call,0.0001
T2s,fold,0.9959
T2s,call,0.0041
A9o,fold,0.003
A9o,call,0.9925
A9o,jam,0.0045
K9o,fold,0.0587
K9o,call,0.9413
Q9o,fold,0.0382
Q9o,call,0.9617
Q9o,jam,0.0001
J9o,fold,0.2694
J9o,call,0.7304
J9o,jam,0.0001
T9o,fold,0.1953
T9o,call,0.8047
99,call,0.0043
99,jam,0.9957
98s,fold,0.5971
98s,call,0.2749
98s,jam,0.1281
97s,fold,0.8563
97s,call,0.1434
97s,jam,0.0003
96s,fold,0.9803
96s,call,0.0167
96s,jam,0.003
95s,fold,0.9067
95s,call,0.0494
95s,jam,0.0439
94s,fold,0.9969
94s,call,0.0031
93s,fold,0.9902
93s,call,0.0081
93s,jam,0.0017
92s,fold,0.9527
92s,call,0.0473
A8o,fold,0.0046
A8o,call,0.9953
A8o,jam,0.0001
K8o,fold,0.9786
K8o,call,0.0214
Q8o,fold,0.9803
Q8o,call,0.0197
J8o,fold,0.0895
J8o,call,0.9104
T8o,fold,0.9953
T8o,call,0.0046
T8o,jam,0.0001
98o,fold,0.9993
98o,call,0.0007
88,call,0.0008
88,jam,0.9992
87s,fold,0.8858
87s,call,0.018
87s,jam,0.0962
86s,fold,0.8192
86s,call,0.1735
86s,jam,0.0073
85s,fold,0.9781
85s,call,0.0217
85s,jam,0.0002
84s,fold,0.942
84s,call,0.058
83s,fold,1.0
82s,fold,0.9916
82s,call,0.0083
A7o,fold,0.0111
A7o,call,0.9875
A7o,jam,0.0014
K7o,fold,0.1632
K7o,call,0.8355
K7o,jam,0.0013
Q7o,fold,0.9994
Q7o,call,0.0006
J7o,fold,0.9999
J7o,call,0.0001
T7o,fold,1.0
97o,fold,0.999
97o,call,0.001
87o,fold,0.9999
87o,call,0.0001
77,fold,0.0023
77,call,0.0116
77,jam,0.986
76s,fold,0.3458
76s,call,0.6542
75s,fold,0.7372
75s,call,0.2525
75s,jam,0.0103
74s,fold,0.995
74s,call,0.0043
74s,jam,0.0007
73s,fold,0.997
73s,call,0.0028
73s,jam,0.0001
72s,fold,0.9999
72s,call,0.0001
A6o,fold,0.0478
A6o,call,0.9515
A6o,jam,0.0008
K6o,fold,0.9892
K6o,call,0.0092
K6o,jam,0.0016
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,0.9998
T6o,call,0.0002
96o,fold,1.0
86o,fold,1.0
76o,fold,0.9997
76o,call,0.0003
66,fold,0.0006
66,call,0.1661
66,jam,0.8333
65s,fold,0.6558
65s,call,0.3438
65s,jam,0.0005
64s,fold,0.9985
64s,call,0.0013
64s,jam,0.0002
63s,fold,1.0
62s,fold,0.9881
62s,call,0.0119
A5o,fold,0.0007
A5o,call,0.9849
A5o,jam,0.0144
K5o,fold,0.9366
K5o,call,0.0632
K5o,jam,0.0002
Q5o,fold,0.9997
Q5o,call,0.0001
Q5o,jam,0.0001
J5o,fold,0.9999
T5o,fold,0.9998
T5o,call,0.0001
95o,fold,0.9997
95o,call,0.0003
85o,fold,1.0
75o,fold,0.9994
75o,call,0.0006
65o,fold,0.9996
65o,call,0.0004
55,fold,0.1039
55,call,0.5065
55,jam,0.3896
54s,fold,0.9989
54s,call,0.001
54s,jam,0.0002
53s,fold,0.911
53s,call,0.0257
53s,jam,0.0633
52s,fold,0.9997
52s,call,0.0002
52s,jam,0.0001
A4o,fold,0.0096
A4o,call,0.9904
A4o,jam,0.0001
K4o,fold,0.9998
K4o,call,0.0002
Q4o,fold,1.0
J4o,fold,0.9999
J4o,call,0.0001
T4o,fold,1.0
94o,fold,1.0
84o,fold,0.9981
84o,call,0.0019
74o,fold,1.0
64o,fold,1.0
54o,fold,0.9999
54o,call,0.0001
44,fold,0.1065
44,call,0.5721
44,jam,0.3214
43s,fold,0.9637
43s,call,0.031
43s,jam,0.0053
42s,fold,0.9978
42s,call,0.0022
A3o,fold,0.0297
A3o,call,0.9699
A3o,jam,0.0004
K3o,fold,0.9996
K3o,call,0.0004
Q3o,fold,0.9996
Q3o,call,0.0004
J3o,fold,1.0
T3o,fold,1.0
93o,fold,1.0
83o,fold,1.0
73o,fold,0.9999
73o,call,0.0001
63o,fold,1.0
53o,fold,0.9999
53o,call,0.0001
43o,fold,1.0
33,fold,0.0337
33,call,0.0973
33,jam,0.869
32s,fold,0.9999
32s,call,0.0001
A2o,fold,0.0649
A2o,call,0.9349
A2o,jam,0.0002
K2o,fold,0.9991
K2o,call,0.0009
Q2o,fold,0.9996
Q2o,call,0.0003
J2o,fold,1.0
T2o,fold,0.9999
T2o,call,0.0001
92o,fold,0.9999
92o,call,0.0001
82o,fold,0.9998
82o,call,0.0002
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.1176
22,call,0.0001
22,jam,0.8823
