# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs lj open @ 30bb
# HRC node: id=733, seat=6, sequence=FFRFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 55.29%
notation,action,freq
AA,jam,1.0
AKs,call,0.0001
AKs,jam,0.9999
AQs,call,0.6153
AQs,jam,0.3847
AJs,fold,0.0061
AJs,call,0.5859
AJs,jam,0.4081
ATs,fold,0.0001
ATs,call,0.234
ATs,jam,0.7659
A9s,fold,0.0409
A9s,call,0.6391
A9s,jam,0.3199
A8s,fold,0.0228
A8s,call,0.9591
A8s,jam,0.0182
A7s,fold,0.0151
A7s,call,0.7572
A7s,jam,0.2277
A6s,fold,0.2406
A6s,call,0.6291
A6s,jam,0.1303
A5s,fold,0.0214
A5s,call,0.8375
A5s,jam,0.1411
A4s,fold,0.1756
A4s,call,0.6317
A4s,jam,0.1927
A3s,fold,0.13
A3s,call,0.8611
A3s,jam,0.0089
A2s,fold,0.021
A2s,call,0.896
A2s,jam,0.083
AKo,jam,1.0
KK,call,0.0002
KK,jam,0.9998
KQs,fold,0.0306
KQs,call,0.1953
KQs,jam,0.7741
KJs,fold,0.0028
KJs,call,0.9963
KJs,jam,0.0009
KTs,fold,0.0276
KTs,call,0.0735
KTs,jam,0.8989
K9s,fold,0.0477
K9s,call,0.0446
K9s,jam,0.9077
K8s,fold,0.062
K8s,call,0.7422
K8s,jam,0.1958
K7s,fold,0.0132
K7s,call,0.9867
K7s,jam,0.0001
K6s,fold,0.2741
K6s,call,0.4209
K6s,jam,0.305
K5s,fold,0.0337
K5s,call,0.9662
K5s,jam,0.0001
K4s,fold,0.522
K4s,call,0.4727
K4s,jam,0.0053
K3s,fold,0.404
K3s,call,0.5576
K3s,jam,0.0384
K2s,fold,0.4321
K2s,call,0.3215
K2s,jam,0.2464
AQo,call,0.3763
AQo,jam,0.6237
KQo,fold,0.0001
KQo,call,0.9973
KQo,jam,0.0026
QQ,jam,1.0
QJs,fold,0.0084
QJs,call,0.8975
QJs,jam,0.0941
QTs,fold,0.04
QTs,call,0.6441
QTs,jam,0.3159
Q9s,fold,0.0132
Q9s,call,0.9773
Q9s,jam,0.0095
Q8s,fold,0.0592
Q8s,call,0.7414
Q8s,jam,0.1993
Q7s,fold,0.0802
Q7s,call,0.7356
Q7s,jam,0.1842
Q6s,fold,0.0945
Q6s,call,0.9028
Q6s,jam,0.0026
Q5s,fold,0.1221
Q5s,call,0.8779
Q4s,fold,0.5142
Q4s,call,0.4858
Q3s,fold,0.7172
Q3s,call,0.1411
Q3s,jam,0.1417
Q2s,fold,0.5765
Q2s,call,0.4235
AJo,fold,0.0002
AJo,call,0.9989
AJo,jam,0.0008
KJo,fold,0.0017
KJo,call,0.9983
QJo,fold,0.0527
QJo,call,0.9471
QJo,jam,0.0002
JJ,call,0.073
JJ,jam,0.927
JTs,fold,0.0437
JTs,call,0.5227
JTs,jam,0.4336
J9s,fold,0.027
J9s,call,0.1099
J9s,jam,0.8631
J8s,fold,0.0462
J8s,call,0.9535
J8s,jam,0.0003
J7s,fold,0.0856
J7s,call,0.9143
J6s,fold,0.5116
J6s,call,0.4884
J5s,fold,0.008
J5s,call,0.8051
J5s,jam,0.1869
J4s,fold,0.1594
J4s,call,0.8404
J4s,jam,0.0002
J3s,fold,0.9996
J3s,call,0.0004
J2s,fold,0.2605
J2s,call,0.7394
J2s,jam,0.0001
ATo,call,0.9985
ATo,jam,0.0014
KTo,fold,0.0024
KTo,call,0.9976
QTo,fold,0.0247
QTo,call,0.9753
JTo,fold,0.0031
JTo,call,0.9969
TT,call,0.0268
TT,jam,0.9732
T9s,fold,0.0017
T9s,call,0.998
T9s,jam,0.0003
T8s,fold,0.0155
T8s,call,0.9647
T8s,jam,0.0198
T7s,fold,0.0492
T7s,call,0.9506
T7s,jam,0.0002
T6s,fold,0.2036
T6s,call,0.7962
T6s,jam,0.0001
T5s,fold,0.2088
T5s,call,0.7911
T5s,jam,0.0001
T4s,fold,0.9993
T4s,call,0.0006
T4s,jam,0.0002
T3s,fold,0.4069
T3s,call,0.5693
T3s,jam,0.0238
T2s,fold,0.8512
T2s,call,0.1488
A9o,fold,0.0059
A9o,call,0.9931
A9o,jam,0.001
K9o,fold,0.036
K9o,call,0.9639
K9o,jam,0.0001
Q9o,fold,0.1784
Q9o,call,0.8215
J9o,fold,0.1289
J9o,call,0.8711
T9o,fold,0.2288
T9o,call,0.7712
99,call,0.781
99,jam,0.2189
98s,fold,0.065
98s,call,0.935
97s,fold,0.0063
97s,call,0.9937
97s,jam,0.0001
96s,fold,0.3861
96s,call,0.6139
95s,fold,0.9996
95s,call,0.0003
95s,jam,0.0001
94s,fold,0.5767
94s,call,0.4232
93s,fold,0.8674
93s,call,0.1326
92s,fold,0.8167
92s,call,0.183
92s,jam,0.0004
A8o,fold,0.0077
A8o,call,0.9922
A8o,jam,0.0001
K8o,fold,0.2006
K8o,call,0.7994
Q8o,fold,0.1036
Q8o,call,0.8964
J8o,fold,0.1708
J8o,call,0.8292
T8o,fold,0.2961
T8o,call,0.7038
T8o,jam,0.0001
98o,fold,0.0623
