# poker.academy CE-Symmetric — 30bb vsopen | hero SB vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.68
55,jam,0.32
66,call,0.6651
66,threeBet,0.3349
77,call,0.5699
77,threeBet,0.4301
88,jam,0.785
88,threeBet,0.215
99,jam,0.6451
99,threeBet,0.3549
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.925
A7s,threeBet,0.075
A6s,call,0.7351
A6s,threeBet,0.2649
A5s,call,0.685
A5s,threeBet,0.315
A4s,call,1.0
A3s,call,0.78
A3s,jam,0.22
A2s,call,0.8901
A2s,threeBet,0.1099
AKo,jam,0.7201
AKo,threeBet,0.2799
KK,threeBet,1.0
KQs,call,0.7301
KQs,jam,0.2699
KJs,call,0.4351
KJs,jam,0.5649
KTs,jam,1.0
K9s,call,0.5
K9s,threeBet,0.5
K8s,call,0.99
K8s,threeBet,0.01
K7s,call,0.5151
K7s,threeBet,0.4849
K6s,call,1.0
K5s,call,0.8851
K5s,threeBet,0.1149
K4s,call,0.2098
K4s,fold,0.7902
AQo,jam,1.0
KQo,call,0.4379
KQo,jam,0.0696
KQo,threeBet,0.4925
QQ,threeBet,1.0
QJs,call,0.5751
QJs,jam,0.4249
QTs,jam,1.0
Q9s,call,1.0
Q8s,call,0.71
Q8s,threeBet,0.29
Q7s,call,0.31
Q7s,fold,0.69
Q6s,call,0.315
Q6s,fold,0.685
AJo,call,0.3234
AJo,jam,0.2636
AJo,threeBet,0.413
KJo,call,0.8151
KJo,threeBet,0.1849
QJo,call,0.71
QJo,threeBet,0.29
JJ,threeBet,1.0
JTs,jam,1.0
J9s,call,1.0
J8s,call,0.7301
J8s,threeBet,0.2699
ATo,call,0.4149
ATo,threeBet,0.5851
KTo,call,0.7902
KTo,threeBet,0.2098
QTo,call,0.8251
QTo,threeBet,0.1749
JTo,call,0.4651
JTo,fold,0.485
JTo,threeBet,0.0499
TT,jam,0.4049
TT,threeBet,0.5951
T9s,call,1.0
T8s,call,1.0
A9o,call,0.46
A9o,threeBet,0.54
98s,call,1.0
97s,call,1.0
A8o,fold,0.4899
A8o,threeBet,0.5101
87s,call,1.0
86s,call,0.68
86s,fold,0.32
A7o,fold,0.9302
A7o,threeBet,0.0698
76s,call,1.0
65s,call,1.0
54s,call,1.0
