# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg1 unopened @ 30bb
# HRC node: id=1, seat=1, sequence=F
# Actions at node: ['fold', 'raise']
# VPIP estimate: 17.56%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,fold,0.0985
A8s,raise,0.9015
A7s,fold,0.0168
A7s,raise,0.9832
A6s,fold,0.9979
A6s,raise,0.0021
A5s,fold,0.9834
A5s,raise,0.0166
A4s,fold,0.937
A4s,raise,0.063
A3s,fold,1.0
A2s,fold,0.999
A2s,raise,0.001
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,fold,0.0002
KTs,raise,0.9998
K9s,fold,0.0843
K9s,raise,0.9157
K8s,fold,0.9953
K8s,raise,0.0047
K7s,fold,0.9945
K7s,raise,0.0055
K6s,fold,0.9997
K6s,raise,0.0003
K5s,fold,0.9998
K5s,raise,0.0002
K4s,fold,0.9993
K4s,raise,0.0007
K3s,fold,0.9997
K3s,raise,0.0003
K2s,fold,1.0
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0002
QJs,raise,0.9998
QTs,fold,0.0305
QTs,raise,0.9695
Q9s,fold,0.9752
Q9s,raise,0.0248
Q8s,fold,0.9953
Q8s,raise,0.0047
Q7s,fold,0.9998
Q7s,raise,0.0002
Q6s,fold,1.0
Q5s,fold,0.9997
Q5s,raise,0.0003
Q4s,fold,1.0
Q3s,fold,1.0
Q2s,fold,0.9979
Q2s,raise,0.0021
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.9969
QJo,raise,0.0031
JJ,raise,1.0
JTs,fold,0.3713
JTs,raise,0.6287
J9s,fold,0.9997
J9s,raise,0.0003
J8s,fold,0.9973
J8s,raise,0.0027
J7s,fold,0.9999
J7s,raise,0.0001
J6s,fold,1.0
J5s,fold,1.0
J4s,fold,1.0
J3s,fold,0.9999
J3s,raise,0.0001
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.2819
KTo,raise,0.7181
QTo,fold,0.9977
QTo,raise,0.0023
JTo,fold,0.9985
JTo,raise,0.0015
TT,raise,1.0
T9s,fold,0.9223
T9s,raise,0.0777
T8s,fold,0.9999
T8s,raise,0.0001
T7s,fold,0.9995
T7s,raise,0.0005
T6s,fold,1.0
T5s,fold,0.9999
T5s,raise,0.0001
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.6852
A9o,raise,0.3148
K9o,fold,0.9964
K9o,raise,0.0036
Q9o,fold,0.9999
Q9o,raise,0.0001
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,fold,0.9998
98s,raise,0.0002
97s,fold,0.9997
97s,raise,0.0003
96s,fold,0.9994
96s,raise,0.0006
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,0.9999
92s,raise,0.0001
A8o,fold,0.9956
A8o,raise,0.0044
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,1.0
J8o,fold,0.9999
J8o,raise,0.0001
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,1.0
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.9999
A7o,raise,0.0001
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,raise,1.0
76s,fold,0.9999
76s,raise,0.0001
75s,fold,0.9999
75s,raise,0.0001
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,1.0
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0032
66,raise,0.9968
65s,fold,1.0
