# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg1 vs3bet @ 30bb
# HRC node: id=12532, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 98.81%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0001
AKs,call,0.0705
AKs,jam,0.9294
AQs,fold,0.0038
AQs,call,0.9959
AQs,jam,0.0003
AJs,fold,0.0033
AJs,call,0.9417
AJs,jam,0.055
ATs,fold,0.0065
ATs,call,0.7445
ATs,jam,0.249
A9s,fold,0.019
A9s,call,0.8864
A9s,jam,0.0946
A8s,fold,0.0554
A8s,call,0.9422
A8s,jam,0.0024
A7s,fold,0.0332
A7s,call,0.9666
A7s,jam,0.0002
A6s,fold,0.0359
A6s,call,0.89
A6s,jam,0.0741
A5s,fold,0.1171
A5s,call,0.879
A5s,jam,0.0039
A4s,fold,0.0694
A4s,call,0.929
A4s,jam,0.0016
A2s,fold,0.2357
A2s,call,0.7609
A2s,jam,0.0034
AKo,call,0.3554
AKo,jam,0.6446
KK,call,0.0001
KK,jam,0.9999
KQs,fold,0.0186
KQs,call,0.8823
KQs,jam,0.0991
KJs,fold,0.0167
KJs,call,0.983
KJs,jam,0.0003
KTs,fold,0.0027
KTs,call,0.9612
KTs,jam,0.0361
K9s,fold,0.0453
K9s,call,0.6577
K9s,jam,0.297
K8s,fold,0.2242
K8s,call,0.7074
K8s,jam,0.0684
K7s,fold,0.0275
K7s,call,0.9681
K7s,jam,0.0044
K6s,fold,0.2237
K6s,call,0.631
K6s,jam,0.1453
K5s,fold,0.0781
K5s,call,0.5993
K5s,jam,0.3226
K4s,fold,0.1973
K4s,call,0.6302
K4s,jam,0.1725
K3s,fold,0.8102
K3s,call,0.1891
K3s,jam,0.0006
AQo,fold,0.0002
AQo,call,0.9834
AQo,jam,0.0165
KQo,fold,0.0046
KQo,call,0.9954
KQo,jam,0.0001
QQ,call,0.8347
QQ,jam,0.1653
QJs,fold,0.0079
QJs,call,0.9144
QJs,jam,0.0776
QTs,fold,0.0476
QTs,call,0.939
QTs,jam,0.0134
Q9s,fold,0.1506
Q9s,call,0.778
Q9s,jam,0.0714
Q8s,fold,0.3184
Q8s,call,0.5223
Q8s,jam,0.1594
Q7s,fold,0.2177
Q7s,call,0.6211
Q7s,jam,0.1612
Q5s,fold,0.6456
Q5s,call,0.3369
Q5s,jam,0.0175
Q2s,fold,0.4155
Q2s,call,0.5832
Q2s,jam,0.0013
AJo,call,0.9564
AJo,jam,0.0436
KJo,fold,0.0098
KJo,call,0.9885
KJo,jam,0.0017
QJo,fold,0.0034
QJo,call,0.9966
JJ,call,0.7357
JJ,jam,0.2642
JTs,fold,0.0327
JTs,call,0.9589
JTs,jam,0.0085
J9s,fold,0.1861
J9s,call,0.8103
J9s,jam,0.0036
J8s,fold,0.2556
J8s,call,0.7365
J8s,jam,0.0079
J7s,fold,0.3141
J7s,call,0.6796
J7s,jam,0.0063
J3s,fold,0.0283
J3s,call,0.7753
J3s,jam,0.1964
ATo,fold,0.0016
ATo,call,0.9911
ATo,jam,0.0073
KTo,fold,0.006
KTo,call,0.9931
KTo,jam,0.0008
QTo,fold,0.2713
QTo,call,0.7244
QTo,jam,0.0043
JTo,fold,0.2334
JTo,call,0.7631
JTo,jam,0.0035
TT,fold,0.0025
TT,call,0.6049
TT,jam,0.3927
T9s,fold,0.3004
T9s,call,0.6971
T9s,jam,0.0025
T8s,fold,0.3681
T8s,call,0.5205
T8s,jam,0.1115
T7s,fold,0.7681
T7s,call,0.2301
T7s,jam,0.0017
T5s,fold,0.3527
T5s,call,0.6015
T5s,jam,0.0458
A9o,fold,0.0122
A9o,call,0.9793
A9o,jam,0.0086
K9o,fold,0.1169
K9o,call,0.8096
K9o,jam,0.0735
Q9o,fold,0.1665
Q9o,call,0.8312
Q9o,jam,0.0024
99,fold,0.0002
99,call,0.9774
99,jam,0.0224
98s,fold,0.0342
98s,call,0.9641
98s,jam,0.0017
97s,fold,0.415
97s,call,0.5519
97s,jam,0.0331
96s,fold,0.0781
96s,call,0.8305
96s,jam,0.0914
92s,fold,0.5587
92s,call,0.4343
92s,jam,0.007
A8o,fold,0.1229
A8o,call,0.8769
A8o,jam,0.0002
K8o,fold,0.1641
K8o,call,0.8338
K8o,jam,0.0021
J8o,fold,0.0072
J8o,call,0.9928
88,call,0.98
88,jam,0.02
A7o,fold,0.0105
A7o,call,0.9893
A7o,jam,0.0002
77,fold,0.0014
77,call,0.9658
77,jam,0.0328
76s,fold,0.0655
76s,call,0.8576
76s,jam,0.0769
75s,fold,0.3608
75s,call,0.503
75s,jam,0.1362
66,fold,0.0051
66,call,0.9945
66,jam,0.0003
A5o,fold,0.0036
A5o,call,0.9962
A5o,jam,0.0001
55,fold,0.4364
55,call,0.5535
55,jam,0.0101
A3o,fold,0.0154
A3o,call,0.9815
A3o,jam,0.0031
33,call,0.9935
33,jam,0.0065
