# poker.academy CE-Symmetric — 30bb vs3bet | hero MP vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,1.0
55,call,0.4849
55,jam,0.5151
66,call,0.7251
66,jam,0.2749
77,call,1.0
88,call,0.6551
88,jam,0.3449
99,call,0.45
99,jam,0.55
AA,call,0.6501
AA,jam,0.3499
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.5901
A9s,fold,0.4099
A8s,call,0.46
A8s,fold,0.54
A5s,call,0.625
A5s,jam,0.375
A4s,call,0.7951
A4s,jam,0.2049
A3s,call,0.61
A3s,fold,0.39
AKo,jam,1.0
KK,jam,1.0
KQs,jam,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K6s,call,1.0
AQo,call,0.6701
AQo,jam,0.3299
KQo,call,0.9451
KQo,fold,0.0549
QQ,jam,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.4099
Q9s,fold,0.5901
AJo,call,0.52
AJo,fold,0.48
JJ,jam,1.0
JTs,call,1.0
J9s,call,0.5699
J9s,fold,0.4301
TT,jam,1.0
T9s,call,1.0
T8s,call,0.295
T8s,fold,0.705
98s,call,0.69
98s,fold,0.31
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
