# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: utg1 vs3betjam @ 30bb
# HRC node: id=13948, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 40.51%
notation,action,freq
AA,call,1.0
AKs,fold,0.0003
AKs,call,0.9997
AQs,call,1.0
AJs,fold,0.7438
AJs,call,0.2562
ATs,fold,0.8613
ATs,call,0.1387
A9s,fold,0.9954
A9s,call,0.0046
A8s,fold,0.9418
A8s,call,0.0582
A7s,fold,0.999
A7s,call,0.001
A6s,fold,0.9576
A6s,call,0.0424
A5s,fold,0.9939
A5s,call,0.0061
A4s,fold,0.928
A4s,call,0.072
A2s,fold,0.988
A2s,call,0.012
AKo,fold,0.0001
AKo,call,0.9999
KK,fold,0.0001
KK,call,0.9999
KQs,fold,0.4485
KQs,call,0.5515
KJs,fold,0.9281
KJs,call,0.0719
KTs,fold,0.9959
KTs,call,0.0041
K9s,fold,0.9967
K9s,call,0.0033
K8s,fold,0.9761
K8s,call,0.0239
K7s,fold,0.9992
K7s,call,0.0008
K6s,fold,0.9528
K6s,call,0.0472
K5s,fold,0.9938
K5s,call,0.0062
K4s,fold,0.998
K4s,call,0.002
K3s,fold,0.9632
K3s,call,0.0368
AQo,fold,0.5804
AQo,call,0.4196
KQo,fold,0.9785
KQo,call,0.0215
QQ,fold,0.0002
QQ,call,0.9998
QJs,fold,0.9921
QJs,call,0.0079
QTs,fold,0.5963
QTs,call,0.4037
Q9s,fold,0.9863
Q9s,call,0.0137
Q8s,fold,0.8313
Q8s,call,0.1687
Q7s,fold,0.9994
Q7s,call,0.0006
Q5s,fold,0.9833
Q5s,call,0.0167
Q2s,fold,0.9977
Q2s,call,0.0023
AJo,fold,0.9603
AJo,call,0.0397
KJo,fold,0.9502
KJo,call,0.0498
QJo,fold,0.9998
QJo,call,0.0002
JJ,call,1.0
JTs,fold,0.9939
JTs,call,0.0061
J9s,fold,0.9782
J9s,call,0.0218
J8s,fold,0.9999
J8s,call,0.0001
J7s,fold,0.9747
J7s,call,0.0253
J3s,fold,0.9978
J3s,call,0.0022
ATo,fold,0.919
ATo,call,0.081
KTo,fold,0.9941
KTo,call,0.0059
QTo,fold,0.9945
QTo,call,0.0055
JTo,fold,0.9939
JTo,call,0.0061
TT,fold,0.0001
TT,call,0.9999
T9s,fold,0.9988
T9s,call,0.0012
T8s,fold,0.978
T8s,call,0.022
T7s,fold,0.9975
T7s,call,0.0025
T5s,fold,0.9991
T5s,call,0.0009
A9o,fold,0.9979
A9o,call,0.0021
K9o,fold,0.9936
K9o,call,0.0064
Q9o,fold,0.9995
Q9o,call,0.0005
99,fold,0.5028
99,call,0.4972
98s,fold,0.9836
98s,call,0.0164
97s,fold,0.9962
97s,call,0.0038
96s,fold,0.9227
96s,call,0.0773
92s,fold,0.982
92s,call,0.018
A8o,fold,0.994
A8o,call,0.006
K8o,fold,0.9946
K8o,call,0.0054
J8o,fold,0.9956
J8o,call,0.0044
88,fold,0.0001
88,call,0.9999
A7o,fold,0.9952
A7o,call,0.0048
77,fold,0.6192
77,call,0.3808
76s,fold,1.0
75s,fold,0.9902
75s,call,0.0098
66,fold,0.9695
66,call,0.0305
A5o,fold,0.9896
A5o,call,0.0104
55,fold,0.8322
55,call,0.1678
A3o,fold,0.9763
A3o,call,0.0237
33,fold,0.9999
33,call,0.0001
