# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg1 vsopen @ 30bb
# HRC node: id=14006, seat=1, sequence=R
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 14.37%
notation,action,freq
AA,call,0.3735
AA,raise,0.5441
AA,jam,0.0824
AKs,call,0.255
AKs,raise,0.0001
AKs,jam,0.7449
AQs,fold,0.0001
AQs,call,0.2762
AQs,raise,0.0229
AQs,jam,0.7008
AJs,call,0.51
AJs,raise,0.0156
AJs,jam,0.4744
ATs,fold,0.0008
ATs,call,0.8234
ATs,raise,0.0763
ATs,jam,0.0995
A9s,fold,0.1348
A9s,call,0.7725
A9s,raise,0.0353
A9s,jam,0.0573
A8s,fold,0.8156
A8s,call,0.1657
A8s,raise,0.0001
A8s,jam,0.0186
A7s,fold,0.978
A7s,call,0.0145
A7s,raise,0.0058
A7s,jam,0.0017
A6s,fold,0.9576
A6s,call,0.039
A6s,raise,0.0001
A6s,jam,0.0033
A5s,fold,0.981
A5s,call,0.0003
A5s,raise,0.0042
A5s,jam,0.0145
A4s,fold,0.8853
A4s,call,0.0152
A4s,raise,0.0001
A4s,jam,0.0994
A3s,fold,0.8228
A3s,call,0.1462
A3s,raise,0.0017
A3s,jam,0.0292
A2s,fold,0.9559
A2s,call,0.028
A2s,raise,0.0001
A2s,jam,0.0159
AKo,raise,0.6334
AKo,jam,0.3666
KK,raise,0.9575
KK,jam,0.0425
KQs,fold,0.0012
KQs,call,0.5832
KQs,raise,0.3247
KQs,jam,0.091
KJs,call,0.995
KJs,raise,0.0003
KJs,jam,0.0046
KTs,fold,0.6761
KTs,call,0.2229
KTs,raise,0.0061
KTs,jam,0.0949
K9s,fold,0.9293
K9s,call,0.0341
K9s,raise,0.0001
K9s,jam,0.0365
K8s,fold,0.8528
K8s,call,0.1438
K8s,raise,0.0016
K8s,jam,0.0019
K7s,fold,0.8055
K7s,call,0.1816
K7s,raise,0.0092
K7s,jam,0.0037
K6s,fold,0.9151
K6s,call,0.0655
K6s,raise,0.0154
K6s,jam,0.0039
K5s,fold,0.9727
K5s,call,0.0231
K5s,raise,0.0022
K5s,jam,0.002
K4s,fold,0.9267
K4s,call,0.071
K4s,raise,0.0002
K4s,jam,0.002
K3s,fold,0.9979
K3s,call,0.0012
K3s,raise,0.0007
K3s,jam,0.0002
K2s,fold,0.9987
K2s,call,0.0009
K2s,jam,0.0003
AQo,call,0.3392
AQo,raise,0.6373
AQo,jam,0.0235
KQo,fold,0.5329
KQo,call,0.37
KQo,raise,0.0937
KQo,jam,0.0033
QQ,call,0.3849
QQ,raise,0.3331
QQ,jam,0.282
QJs,fold,0.6943
QJs,call,0.1692
QJs,raise,0.0917
QJs,jam,0.0447
QTs,fold,0.6917
QTs,call,0.2176
QTs,raise,0.0271
QTs,jam,0.0637
Q9s,fold,0.7924
Q9s,call,0.2061
Q9s,raise,0.0002
Q9s,jam,0.0012
Q8s,fold,0.9582
Q8s,call,0.0214
Q8s,raise,0.0202
Q8s,jam,0.0003
Q7s,fold,0.9974
Q7s,call,0.0008
Q7s,raise,0.001
Q7s,jam,0.0008
Q6s,fold,0.9517
Q6s,call,0.0411
Q6s,jam,0.0072
Q5s,fold,0.9793
Q5s,call,0.0194
Q5s,raise,0.0009
Q5s,jam,0.0004
Q4s,fold,0.9956
Q4s,call,0.0007
Q4s,raise,0.002
Q4s,jam,0.0018
Q3s,fold,0.9923
Q3s,call,0.0003
Q3s,raise,0.007
Q3s,jam,0.0004
Q2s,fold,0.9562
Q2s,call,0.0412
Q2s,raise,0.001
Q2s,jam,0.0016
AJo,fold,0.0755
AJo,call,0.6319
AJo,raise,0.2882
AJo,jam,0.0044
KJo,fold,0.9374
KJo,call,0.0264
KJo,raise,0.0304
KJo,jam,0.0057
QJo,fold,0.8361
QJo,call,0.1616
QJo,raise,0.0004
QJo,jam,0.0019
JJ,raise,0.9786
JJ,jam,0.0214
JTs,fold,0.1977
JTs,call,0.62
JTs,raise,0.1317
JTs,jam,0.0506
J9s,fold,0.484
J9s,call,0.5117
J9s,raise,0.0007
J9s,jam,0.0036
J8s,fold,0.9418
J8s,call,0.0573
J8s,jam,0.0008
J7s,fold,0.9813
J7s,call,0.0167
J7s,raise,0.0004
J7s,jam,0.0016
J6s,fold,0.9843
J6s,call,0.0155
J6s,raise,0.0001
J6s,jam,0.0001
J5s,fold,0.9995
J5s,call,0.0004
J4s,fold,0.9775
J4s,call,0.0223
J4s,jam,0.0002
J3s,fold,0.9957
J3s,call,0.003
J3s,raise,0.0004
J3s,jam,0.0009
J2s,fold,0.9996
J2s,call,0.0004
ATo,fold,0.9435
ATo,call,0.0457
ATo,raise,0.0055
ATo,jam,0.0054
KTo,fold,0.9373
KTo,call,0.0269
KTo,raise,0.0345
KTo,jam,0.0014
QTo,fold,0.9678
QTo,call,0.0308
QTo,raise,0.0011
QTo,jam,0.0003
JTo,fold,0.9706
JTo,call,0.0265
JTo,raise,0.0022
JTo,jam,0.0007
TT,call,0.653
TT,raise,0.2404
TT,jam,0.1066
T9s,fold,0.7649
T9s,call,0.127
T9s,raise,0.0951
T9s,jam,0.013
T8s,fold,0.9959
T8s,call,0.0032
T8s,raise,0.0003
T8s,jam,0.0006
T7s,fold,0.9819
T7s,call,0.0165
T7s,raise,0.0003
T7s,jam,0.0013
T6s,fold,0.9903
T6s,call,0.0039
T6s,raise,0.0042
T6s,jam,0.0016
T5s,fold,0.9999
T4s,fold,0.9985
T4s,call,0.0001
T4s,jam,0.0014
T3s,fold,0.9999
T3s,jam,0.0001
T2s,fold,0.998
T2s,call,0.0015
T2s,raise,0.0004
T2s,jam,0.0001
A9o,fold,0.9694
A9o,call,0.0287
A9o,raise,0.0019
A9o,jam,0.0001
K9o,fold,0.9957
K9o,call,0.004
K9o,raise,0.0001
K9o,jam,0.0002
Q9o,fold,0.9883
Q9o,call,0.0112
Q9o,raise,0.0001
Q9o,jam,0.0004
J9o,fold,0.994
J9o,call,0.0059
J9o,jam,0.0001
T9o,fold,0.9896
T9o,call,0.0081
T9o,raise,0.0001
T9o,jam,0.0023
99,call,0.6535
99,raise,0.2777
99,jam,0.0688
98s,fold,0.9071
98s,call,0.0872
98s,raise,0.0004
98s,jam,0.0053
97s,fold,0.9543
97s,call,0.0402
97s,raise,0.0038
97s,jam,0.0018
96s,fold,0.9947
96s,call,0.0024
96s,jam,0.0028
95s,fold,0.9996
95s,raise,0.0004
94s,fold,0.9996
94s,call,0.0003
94s,jam,0.0001
93s,fold,0.9994
93s,raise,0.0005
92s,fold,1.0
A8o,fold,0.9924
A8o,call,0.0024
A8o,raise,0.0006
A8o,jam,0.0046
K8o,fold,0.9976
K8o,call,0.0014
K8o,raise,0.0004
K8o,jam,0.0006
Q8o,fold,0.9992
Q8o,call,0.0006
Q8o,raise,0.0001
Q8o,jam,0.0001
J8o,fold,0.9998
J8o,call,0.0001
J8o,jam,0.0001
T8o,fold,0.9996
T8o,call,0.0002
T8o,raise,0.0001
T8o,jam,0.0001
98o,fold,0.9991
98o,call,0.0002
98o,raise,0.0007
88,call,0.9136
88,raise,0.0405
88,jam,0.0458
87s,fold,0.9955
87s,call,0.0026
87s,raise,0.0007
87s,jam,0.0011
86s,fold,0.9933
86s,call,0.0044
86s,raise,0.001
86s,jam,0.0013
85s,fold,0.9865
85s,call,0.0103
85s,raise,0.0031
85s,jam,0.0001
84s,fold,0.9992
84s,call,0.0005
84s,raise,0.0002
84s,jam,0.0001
