# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: utg unopened @ 30bb
# HRC node: id=0, seat=0, sequence=root
# Actions at node: ['fold', 'raise']
# VPIP estimate: 16.07%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,fold,0.0001
AQs,raise,0.9999
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,raise,1.0
A7s,fold,0.6081
A7s,raise,0.3919
A6s,fold,0.9968
A6s,raise,0.0032
A5s,fold,0.6701
A5s,raise,0.3299
A4s,fold,0.9998
A4s,raise,0.0002
A3s,fold,0.9728
A3s,raise,0.0272
A2s,fold,0.9998
A2s,raise,0.0002
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,fold,0.7641
K9s,raise,0.2359
K8s,fold,0.999
K8s,raise,0.001
K7s,fold,0.9962
K7s,raise,0.0038
K6s,fold,0.9998
K6s,raise,0.0002
K5s,fold,0.9998
K5s,raise,0.0002
K4s,fold,0.9999
K4s,raise,0.0001
K3s,fold,0.9999
K3s,raise,0.0001
K2s,fold,1.0
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,raise,1.0
QTs,fold,0.0913
QTs,raise,0.9087
Q9s,fold,0.9971
Q9s,raise,0.0029
Q8s,fold,0.9997
Q8s,raise,0.0003
Q7s,fold,0.9986
Q7s,raise,0.0014
Q6s,fold,1.0
Q5s,fold,1.0
Q4s,fold,0.9999
Q4s,raise,0.0001
Q3s,fold,1.0
Q2s,fold,0.9999
Q2s,raise,0.0001
AJo,raise,1.0
KJo,fold,0.075
KJo,raise,0.925
QJo,fold,0.9979
QJo,raise,0.0021
JJ,raise,1.0
JTs,fold,0.1772
JTs,raise,0.8228
J9s,fold,0.9962
J9s,raise,0.0038
J8s,fold,0.9997
J8s,raise,0.0003
J7s,fold,0.9999
J7s,raise,0.0001
J6s,fold,1.0
J5s,fold,1.0
J4s,fold,0.9999
J4s,raise,0.0001
J3s,fold,1.0
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.9984
KTo,raise,0.0016
QTo,fold,0.999
QTo,raise,0.001
JTo,fold,0.9997
JTo,raise,0.0003
TT,raise,1.0
T9s,fold,0.9997
T9s,raise,0.0003
T8s,fold,0.9999
T8s,raise,0.0001
T7s,fold,1.0
T6s,fold,0.9999
T6s,raise,0.0001
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,0.9999
T2s,raise,0.0001
A9o,fold,0.9699
A9o,raise,0.0301
K9o,fold,0.9998
K9o,raise,0.0002
Q9o,fold,0.9998
Q9o,raise,0.0002
J9o,fold,1.0
T9o,fold,1.0
99,raise,1.0
98s,fold,0.9999
98s,raise,0.0001
97s,fold,0.9995
97s,raise,0.0005
96s,fold,0.9998
96s,raise,0.0002
95s,fold,0.9999
95s,raise,0.0001
94s,fold,0.9999
94s,raise,0.0001
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.9776
A8o,raise,0.0224
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,0.9999
Q8o,raise,0.0001
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,0.9999
87s,raise,0.0001
86s,fold,1.0
85s,fold,1.0
84s,fold,0.9998
84s,raise,0.0002
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.9994
A7o,raise,0.0006
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,fold,0.0001
77,raise,0.9999
76s,fold,1.0
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.9999
A6o,raise,0.0001
K6o,fold,0.9999
K6o,raise,0.0001
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.5736
66,raise,0.4264
65s,fold,0.9995
65s,raise,0.0005
64s,fold,1.0
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.9985
A5o,raise,0.0015
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.9855
55,raise,0.0145
54s,fold,1.0
53s,fold,1.0
52s,fold,1.0
A4o,fold,0.9998
A4o,raise,0.0002
