# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.1bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB': '2.3bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x', 'SIZES_3BET_BB_VS_OTHER': 'all-in', 'SIZES_3BET_BB_VS_SB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': 'all-in', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg vs3bet @ 30bb
# HRC node: id=45945, seat=0, sequence=RRFFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 96.72%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0009
AKs,call,0.0019
AKs,jam,0.9973
AQs,fold,0.0043
AQs,call,0.9223
AQs,jam,0.0735
AJs,fold,0.0092
AJs,call,0.3962
AJs,jam,0.5947
ATs,fold,0.1223
ATs,call,0.5255
ATs,jam,0.3522
A9s,fold,0.0476
A9s,call,0.9049
A9s,jam,0.0476
A8s,fold,0.0052
A8s,call,0.7291
A8s,jam,0.2657
A7s,fold,0.0885
A7s,call,0.4517
A7s,jam,0.4598
A6s,fold,0.2896
A6s,call,0.6251
A6s,jam,0.0852
A5s,fold,0.2106
A5s,call,0.6143
A5s,jam,0.1751
A4s,fold,0.1035
A4s,call,0.1898
A4s,jam,0.7068
A3s,fold,0.0459
A3s,call,0.4756
A3s,jam,0.4785
A2s,fold,0.1963
A2s,call,0.1533
A2s,jam,0.6503
AKo,fold,0.0002
AKo,call,0.4712
AKo,jam,0.5286
KK,jam,1.0
KQs,fold,0.0032
KQs,call,0.4961
KQs,jam,0.5007
KJs,fold,0.0212
KJs,call,0.9785
KJs,jam,0.0003
KTs,fold,0.1
KTs,call,0.8959
KTs,jam,0.0041
K9s,fold,0.0194
K9s,call,0.5148
K9s,jam,0.4658
K8s,fold,0.9515
K8s,call,0.045
K8s,jam,0.0035
K7s,fold,0.3467
K7s,call,0.6512
K7s,jam,0.0021
K6s,fold,0.2067
K6s,call,0.793
K6s,jam,0.0002
K5s,fold,0.1118
K5s,call,0.8497
K5s,jam,0.0385
K4s,fold,0.3333
K4s,call,0.625
K4s,jam,0.0418
K3s,fold,0.5533
K3s,call,0.4387
K3s,jam,0.008
AQo,fold,0.0003
AQo,call,0.9973
AQo,jam,0.0023
KQo,fold,0.0263
KQo,call,0.9734
KQo,jam,0.0003
QQ,fold,0.0001
QQ,call,0.2404
QQ,jam,0.7594
QJs,fold,0.1106
QJs,call,0.8859
QJs,jam,0.0035
QTs,fold,0.0223
QTs,call,0.913
QTs,jam,0.0647
Q9s,fold,0.397
Q9s,call,0.5234
Q9s,jam,0.0796
Q8s,fold,0.0103
Q8s,call,0.5573
Q8s,jam,0.4324
Q7s,fold,0.5074
Q7s,call,0.3848
Q7s,jam,0.1078
Q4s,fold,0.9704
Q4s,call,0.0295
Q4s,jam,0.0001
Q2s,fold,0.39
Q2s,call,0.5214
Q2s,jam,0.0887
AJo,fold,0.0006
AJo,call,0.9771
AJo,jam,0.0223
KJo,fold,0.0605
KJo,call,0.9391
KJo,jam,0.0004
QJo,fold,0.0032
QJo,call,0.9957
QJo,jam,0.0011
JJ,fold,0.0016
JJ,call,0.9109
JJ,jam,0.0875
JTs,fold,0.2676
JTs,call,0.7222
JTs,jam,0.0102
J9s,fold,0.0038
J9s,call,0.1198
J9s,jam,0.8764
J8s,fold,0.3177
J8s,call,0.5355
J8s,jam,0.1468
J7s,fold,0.1549
J7s,call,0.6721
J7s,jam,0.173
J4s,fold,0.1268
J4s,call,0.8648
J4s,jam,0.0084
ATo,fold,0.0001
ATo,call,0.992
ATo,jam,0.0079
KTo,fold,0.0098
KTo,call,0.9754
KTo,jam,0.0148
QTo,fold,0.1453
QTo,call,0.8545
QTo,jam,0.0002
JTo,fold,0.1238
JTo,call,0.8727
JTo,jam,0.0035
TT,fold,0.0003
TT,call,0.7253
TT,jam,0.2745
T9s,fold,0.2073
T9s,call,0.7895
T9s,jam,0.0032
T8s,fold,0.1004
T8s,call,0.8856
T8s,jam,0.014
T6s,fold,0.1671
T6s,call,0.8254
T6s,jam,0.0075
T2s,fold,0.1402
T2s,call,0.8583
T2s,jam,0.0015
A9o,fold,0.3772
A9o,call,0.6198
A9o,jam,0.003
K9o,fold,0.0095
K9o,call,0.9901
K9o,jam,0.0003
Q9o,fold,0.0508
Q9o,call,0.9492
Q9o,jam,0.0001
99,fold,0.0038
99,call,0.9931
99,jam,0.0031
98s,fold,0.052
98s,call,0.9365
98s,jam,0.0115
97s,fold,0.3029
97s,call,0.638
97s,jam,0.0591
96s,fold,0.4221
96s,call,0.5008
96s,jam,0.0771
95s,fold,0.154
95s,call,0.8091
95s,jam,0.0369
94s,fold,0.0499
94s,call,0.4257
94s,jam,0.5244
A8o,fold,0.1309
A8o,call,0.8258
A8o,jam,0.0433
K8o,fold,0.8505
K8o,call,0.1486
K8o,jam,0.0009
Q8o,fold,0.3486
Q8o,call,0.6501
Q8o,jam,0.0013
88,fold,0.0024
88,call,0.9972
88,jam,0.0003
87s,fold,0.1908
87s,call,0.7813
87s,jam,0.0279
84s,fold,0.1924
84s,call,0.7678
84s,jam,0.0399
A7o,fold,0.0447
A7o,call,0.9477
A7o,jam,0.0076
77,fold,0.0014
77,call,0.9882
77,jam,0.0104
A6o,fold,0.0051
A6o,call,0.7465
A6o,jam,0.2484
K6o,fold,0.3367
K6o,call,0.6545
K6o,jam,0.0088
66,fold,0.0031
66,call,0.9959
66,jam,0.001
65s,fold,0.0495
65s,call,0.5701
65s,jam,0.3804
A5o,fold,0.0258
A5o,call,0.7507
A5o,jam,0.2236
55,fold,0.0047
55,call,0.9385
55,jam,0.0568
A4o,fold,0.0281
A4o,call,0.97
A4o,jam,0.0019
44,fold,0.0855
44,call,0.8871
44,jam,0.0274
