# poker.academy CE-Symmetric — 30bb vs3bet | hero EP vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,0.8602
66,jam,0.1398
77,call,0.8851
77,fold,0.1149
88,call,0.9001
88,jam,0.0999
99,call,1.0
AA,call,0.705
AA,jam,0.295
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.4351
A9s,fold,0.5649
A8s,call,0.5901
A8s,fold,0.4099
A7s,call,0.0904
A7s,fold,0.583
A7s,jam,0.3266
A6s,call,0.3349
A6s,fold,0.6651
A5s,jam,1.0
A4s,call,0.2049
A4s,jam,0.7951
A3s,call,0.9557
A3s,jam,0.0443
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.4049
K9s,fold,0.5951
AQo,call,1.0
KQo,call,0.2549
KQo,fold,0.7451
QQ,jam,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.84
Q9s,fold,0.16
AJo,call,0.1799
AJo,fold,0.8201
JJ,jam,1.0
JTs,call,0.8751
JTs,fold,0.1249
TT,call,0.165
TT,jam,0.835
T9s,call,0.47
T9s,fold,0.53
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
