# poker.academy CE-Symmetric — 30bb vs3bet | hero EP vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,0.77
66,jam,0.23
77,call,0.7301
77,fold,0.1799
77,jam,0.09
88,call,0.915
88,jam,0.085
99,call,0.9551
99,jam,0.0449
AA,call,0.605
AA,jam,0.395
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.385
A9s,fold,0.615
A8s,call,0.315
A8s,fold,0.685
A6s,call,0.1299
A6s,fold,0.8701
A5s,jam,1.0
A4s,call,0.145
A4s,jam,0.855
A3s,call,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.305
K9s,fold,0.695
AQo,call,1.0
KQo,call,0.0449
KQo,fold,0.9551
QQ,jam,1.0
QJs,call,0.685
QJs,jam,0.315
QTs,call,1.0
Q9s,call,0.0999
Q9s,fold,0.9001
JJ,jam,1.0
JTs,call,0.68
JTs,fold,0.32
TT,jam,1.0
T9s,call,0.7401
T9s,fold,0.2599
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
