# poker.academy CE-Symmetric — 30bb vs3bet | hero EP vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,0.845
66,jam,0.155
77,call,0.397
77,fold,0.2211
77,jam,0.3819
88,call,0.5224
88,fold,0.4626
88,jam,0.015
99,call,1.0
AA,call,0.4351
AA,jam,0.5649
AKs,jam,1.0
AQs,call,1.0
AJs,call,0.5901
AJs,jam,0.4099
ATs,call,0.47
ATs,jam,0.53
A5s,call,0.2098
A5s,jam,0.7902
A4s,call,0.4401
A4s,fold,0.5449
A4s,jam,0.015
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.675
KQs,jam,0.325
KJs,call,1.0
KTs,call,1.0
AQo,call,0.6601
AQo,fold,0.3399
QQ,jam,1.0
QJs,call,0.32
QJs,fold,0.68
QTs,call,0.475
QTs,fold,0.525
JJ,jam,1.0
JTs,call,0.45
JTs,fold,0.55
TT,call,0.0449
TT,jam,0.9551
T9s,call,0.54
T9s,fold,0.46
T8s,call,0.215
T8s,fold,0.785
98s,call,0.3584
98s,fold,0.6416
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
