# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb (600000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 30bb: open 2.1bb + 1.0bb; BU 2.3bb + 1.0bb; SB 2.3bb + 1.0bb; 3-bet IP 2.5x; 3-bet BB-vs-others all-in; 4-bet IP 90.0%, all-in
# App slot: utg vs3betjam @ 30bb
# HRC node: id=49277, seat=0, sequence=RRFFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 42.02%
notation,action,freq
AA,call,1.0
AKs,fold,0.0001
AKs,call,0.9999
AQs,fold,0.6019
AQs,call,0.3981
AJs,fold,0.8822
AJs,call,0.1178
ATs,fold,0.4501
ATs,call,0.5499
A9s,fold,0.9705
A9s,call,0.0295
A8s,fold,0.9175
A8s,call,0.0825
A7s,fold,0.8714
A7s,call,0.1286
A6s,fold,0.9777
A6s,call,0.0223
A5s,fold,0.9683
A5s,call,0.0317
A4s,fold,0.9799
A4s,call,0.0201
A3s,fold,0.9425
A3s,call,0.0575
A2s,fold,0.9577
A2s,call,0.0423
AKo,call,1.0
KK,call,1.0
KQs,fold,0.8976
KQs,call,0.1024
KJs,fold,0.94
KJs,call,0.06
KTs,fold,0.9389
KTs,call,0.0611
K9s,fold,0.995
K9s,call,0.005
K8s,fold,0.9368
K8s,call,0.0632
K7s,fold,0.9919
K7s,call,0.0081
K6s,fold,0.9551
K6s,call,0.0449
K5s,fold,0.9846
K5s,call,0.0154
K4s,fold,0.9967
K4s,call,0.0033
K3s,fold,0.9851
K3s,call,0.0149
AQo,fold,0.4569
AQo,call,0.5431
KQo,fold,0.9807
KQo,call,0.0193
QQ,call,1.0
QJs,fold,0.8965
QJs,call,0.1035
QTs,fold,0.9337
QTs,call,0.0663
Q9s,fold,0.9759
Q9s,call,0.0241
Q8s,fold,0.9461
Q8s,call,0.0539
Q7s,fold,0.9721
Q7s,call,0.0279
Q4s,fold,0.9151
Q4s,call,0.0849
Q2s,fold,0.9999
Q2s,call,0.0001
AJo,fold,0.6398
AJo,call,0.3602
KJo,fold,0.9764
KJo,call,0.0236
QJo,fold,0.9997
QJo,call,0.0003
JJ,fold,0.0002
JJ,call,0.9998
JTs,fold,0.8641
JTs,call,0.1359
J9s,fold,0.9241
J9s,call,0.0759
J8s,fold,0.9357
J8s,call,0.0643
J7s,fold,0.989
J7s,call,0.011
J4s,fold,0.9979
J4s,call,0.0021
ATo,fold,0.9039
ATo,call,0.0961
KTo,fold,0.9962
KTo,call,0.0038
QTo,fold,0.996
QTo,call,0.004
JTo,fold,0.9979
JTo,call,0.0021
TT,call,1.0
T9s,fold,0.8328
T9s,call,0.1672
T8s,fold,0.9037
T8s,call,0.0963
T6s,fold,0.9837
T6s,call,0.0163
T2s,fold,1.0
A9o,fold,0.9948
A9o,call,0.0052
K9o,fold,0.9829
K9o,call,0.0171
Q9o,fold,0.9982
Q9o,call,0.0018
99,fold,0.4398
99,call,0.5602
98s,fold,0.8825
98s,call,0.1175
97s,fold,0.9844
97s,call,0.0156
96s,fold,0.9995
96s,call,0.0005
95s,fold,0.9992
95s,call,0.0008
94s,fold,0.9999
94s,call,0.0001
A8o,fold,0.9824
A8o,call,0.0176
K8o,fold,0.9823
K8o,call,0.0177
Q8o,fold,0.9992
Q8o,call,0.0008
88,fold,0.186
88,call,0.814
87s,fold,0.9982
87s,call,0.0018
84s,fold,0.999
84s,call,0.001
A7o,fold,0.9896
A7o,call,0.0104
77,fold,0.7764
77,call,0.2236
A6o,fold,0.9788
A6o,call,0.0212
K6o,fold,0.9996
K6o,call,0.0004
66,fold,0.9158
66,call,0.0842
65s,fold,0.9562
65s,call,0.0438
A5o,fold,0.989
A5o,call,0.011
55,fold,0.9987
55,call,0.0013
A4o,fold,0.9936
A4o,call,0.0064
44,fold,0.9704
44,call,0.0296
