# poker.academy CE-Symmetric — 35bb vsopen | hero CO vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.285
22,fold,0.715
33,call,0.3
33,fold,0.7
44,call,0.5101
44,fold,0.4899
55,call,0.7388
55,fold,0.2462
55,threeBet,0.015
66,call,1.0
77,call,0.8652
77,threeBet,0.1348
88,call,0.6601
88,threeBet,0.3399
99,call,0.615
99,threeBet,0.385
AA,call,0.075
AA,threeBet,0.925
AKs,call,0.1149
AKs,threeBet,0.8851
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.68
A9s,threeBet,0.32
A8s,call,0.5851
A8s,threeBet,0.4149
A7s,call,0.255
A7s,fold,0.41
A7s,threeBet,0.335
A6s,fold,0.6501
A6s,threeBet,0.3499
A5s,call,0.71
A5s,threeBet,0.29
A4s,call,0.38
A4s,fold,0.62
AKo,call,0.075
AKo,threeBet,0.925
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.785
KTs,threeBet,0.215
K9s,call,0.08
K9s,threeBet,0.92
AQo,call,0.6349
AQo,threeBet,0.3651
KQo,call,0.53
KQo,threeBet,0.47
QQ,call,0.0199
QQ,threeBet,0.9801
QJs,call,0.76
QJs,threeBet,0.24
QTs,call,0.8201
QTs,threeBet,0.1799
Q9s,call,0.2412
Q9s,fold,0.4623
Q9s,threeBet,0.2965
AJo,call,0.48
AJo,threeBet,0.52
KJo,fold,0.8051
KJo,threeBet,0.1949
JJ,call,0.15
JJ,threeBet,0.85
JTs,call,0.785
JTs,threeBet,0.215
J9s,call,0.185
J9s,fold,0.5401
J9s,threeBet,0.2749
ATo,fold,0.24
ATo,threeBet,0.76
TT,call,0.39
TT,threeBet,0.61
T9s,call,0.69
T9s,threeBet,0.31
T8s,fold,0.9699
T8s,threeBet,0.0301
98s,call,0.61
98s,fold,0.39
87s,call,0.0499
87s,fold,0.9501
76s,call,0.215
76s,fold,0.785
