# poker.academy CE-Symmetric — 35bb vs3bet | hero HJ vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.47
44,fold,0.53
55,call,1.0
66,call,1.0
77,call,0.9701
77,jam,0.0299
88,call,0.1849
88,jam,0.8151
99,call,0.6551
99,jam,0.3449
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.3499
A7s,jam,0.6501
A5s,call,0.685
A5s,jam,0.315
A4s,call,0.765
A4s,jam,0.235
A3s,call,0.705
A3s,fold,0.295
AKo,jam,1.0
KK,call,1.0
KQs,call,0.78
KQs,jam,0.22
KJs,call,0.535
KJs,jam,0.465
KTs,call,0.7951
KTs,jam,0.2049
K9s,call,1.0
K8s,call,0.915
K8s,fold,0.085
K6s,call,0.5151
K6s,fold,0.4849
AQo,jam,1.0
KQo,call,1.0
QQ,call,0.09
QQ,jam,0.91
QJs,call,0.5951
QJs,jam,0.4049
QTs,call,1.0
Q9s,call,0.77
Q9s,fold,0.23
AJo,call,1.0
KJo,call,0.5699
KJo,fold,0.4301
JJ,jam,1.0
JTs,call,1.0
ATo,call,0.675
ATo,fold,0.325
TT,call,0.46
TT,jam,0.54
T9s,call,0.7201
T9s,fold,0.2799
87s,call,0.53
87s,fold,0.47
76s,call,0.8602
76s,fold,0.1398
65s,call,0.2599
65s,fold,0.7401
54s,call,0.2295
54s,fold,0.7705
