# poker.academy CE-Symmetric — 35bb vs3bet | hero LJ vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.8194
44,jam,0.1806
55,call,0.38
55,jam,0.62
66,call,0.5649
66,jam,0.4351
77,call,0.905
77,jam,0.095
88,call,0.8602
88,jam,0.1398
99,call,0.1348
99,jam,0.8652
AA,call,0.54
AA,jam,0.46
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.7251
A9s,fold,0.2749
A8s,call,0.2749
A8s,fold,0.7251
A5s,call,0.53
A5s,jam,0.47
A4s,call,0.9302
A4s,jam,0.0698
A3s,call,0.3449
A3s,fold,0.6551
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.785
KQs,jam,0.215
KJs,call,0.71
KJs,jam,0.29
KTs,call,1.0
K9s,call,1.0
K6s,call,0.395
K6s,fold,0.605
AQo,call,0.71
AQo,jam,0.29
KQo,call,0.5801
KQo,fold,0.4199
QQ,jam,1.0
QJs,call,0.5151
QJs,jam,0.4849
QTs,call,1.0
AJo,call,0.4099
AJo,fold,0.5901
JJ,jam,1.0
JTs,call,1.0
J9s,call,0.6501
J9s,fold,0.3499
TT,jam,1.0
T9s,call,1.0
T8s,call,0.4099
T8s,fold,0.5901
98s,call,0.545
98s,fold,0.455
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
