# poker.academy CE-Symmetric — 35bb vsopen | hero LJ vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.095
44,fold,0.905
55,call,0.1348
55,fold,0.8652
66,call,0.3
66,fold,0.7
77,call,0.3316
77,fold,0.6684
88,call,0.69
88,threeBet,0.31
99,call,0.7501
99,threeBet,0.2499
AA,call,0.0549
AA,threeBet,0.9451
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.6551
ATs,threeBet,0.3449
A9s,call,0.1049
A9s,threeBet,0.8951
A6s,fold,0.915
A6s,threeBet,0.085
A5s,call,0.1749
A5s,fold,0.5951
A5s,threeBet,0.23
AKo,call,0.2049
AKo,threeBet,0.7951
KK,call,0.0549
KK,threeBet,0.9451
KQs,call,1.0
KJs,call,0.2599
KJs,threeBet,0.7401
KTs,call,0.215
KTs,threeBet,0.785
AQo,call,0.2549
AQo,threeBet,0.7451
KQo,fold,0.62
KQo,threeBet,0.38
QQ,call,0.1299
QQ,threeBet,0.8701
QJs,call,0.392
QJs,fold,0.3869
QJs,threeBet,0.2211
QTs,call,0.625
QTs,fold,0.375
AJo,fold,0.5649
AJo,threeBet,0.4351
JJ,call,0.1899
JJ,threeBet,0.8101
JTs,call,0.4701
JTs,fold,0.325
JTs,threeBet,0.2049
ATo,fold,0.99
ATo,threeBet,0.01
TT,call,0.3549
TT,threeBet,0.6451
T9s,call,0.0698
T9s,fold,0.9302
76s,call,0.015
76s,fold,0.985
54s,call,0.1398
54s,fold,0.8602
