# poker.academy CE-Symmetric — 35bb vsopen | hero SB vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,0.1899
33,jam,0.8101
44,call,0.2699
44,jam,0.5151
44,threeBet,0.215
55,call,0.3651
55,jam,0.215
55,threeBet,0.4199
66,jam,0.7351
66,threeBet,0.2649
77,jam,0.9701
77,threeBet,0.0299
88,jam,1.0
99,jam,0.085
99,threeBet,0.915
AA,call,0.1749
AA,threeBet,0.8251
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,call,0.1398
ATs,threeBet,0.8602
A9s,call,1.0
A8s,call,0.695
A8s,threeBet,0.305
A7s,jam,1.0
A6s,call,1.0
A5s,call,0.0549
A5s,jam,0.9451
A4s,call,1.0
A3s,call,0.5801
A3s,jam,0.4199
A2s,call,0.425
A2s,jam,0.575
AKo,jam,0.2049
AKo,threeBet,0.7951
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,call,0.7351
KJs,jam,0.2649
KTs,call,0.1299
KTs,jam,0.7602
KTs,threeBet,0.1099
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,0.38
K6s,threeBet,0.62
K5s,call,1.0
AQo,jam,1.0
KQo,jam,0.685
KQo,threeBet,0.315
QQ,threeBet,1.0
QJs,call,0.17
QJs,jam,0.83
QTs,call,0.0199
QTs,jam,0.9801
Q9s,call,1.0
Q8s,call,1.0
Q6s,call,0.185
Q6s,fold,0.415
Q6s,threeBet,0.4
AJo,jam,1.0
KJo,call,0.4099
KJo,threeBet,0.5901
QJo,call,0.5699
QJo,threeBet,0.4301
JJ,threeBet,1.0
JTs,jam,1.0
J9s,call,1.0
J8s,call,0.9501
J8s,threeBet,0.0499
ATo,call,0.3382
ATo,jam,0.5027
ATo,threeBet,0.1591
KTo,call,0.7251
KTo,threeBet,0.2749
QTo,call,0.625
QTo,threeBet,0.375
JTo,call,0.535
JTo,threeBet,0.465
TT,threeBet,1.0
T9s,call,1.0
T8s,call,1.0
A9o,call,0.325
A9o,threeBet,0.675
98s,call,1.0
A8o,call,0.4401
A8o,threeBet,0.5599
87s,call,0.6
87s,fold,0.4
A7o,call,0.1899
A7o,threeBet,0.8101
76s,call,0.7401
76s,fold,0.2599
A6o,fold,0.7201
A6o,threeBet,0.2799
65s,call,0.625
65s,fold,0.375
A5o,fold,0.4099
A5o,threeBet,0.5901
54s,call,0.5851
54s,fold,0.4149
