# poker.academy CE-Symmetric — 35bb vsopen | hero SB vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.78
77,threeBet,0.22
88,call,0.535
88,threeBet,0.465
99,call,0.0698
99,jam,0.4501
99,threeBet,0.4801
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.8951
A8s,threeBet,0.1049
A7s,call,0.4899
A7s,threeBet,0.5101
A6s,call,0.71
A6s,threeBet,0.29
A5s,call,0.68
A5s,threeBet,0.32
A4s,call,0.7116
A4s,jam,0.2088
A4s,threeBet,0.0796
A3s,call,1.0
A2s,call,0.6201
A2s,threeBet,0.3799
AKo,jam,0.4401
AKo,threeBet,0.5599
KK,threeBet,1.0
KQs,call,0.8901
KQs,threeBet,0.1099
KJs,jam,1.0
KTs,call,0.9801
KTs,jam,0.0199
K9s,call,0.475
K9s,threeBet,0.525
K8s,call,1.0
K7s,call,0.8151
K7s,threeBet,0.1849
K6s,call,0.5599
K6s,fold,0.4401
AQo,jam,0.4401
AQo,threeBet,0.5599
KQo,call,0.7251
KQo,threeBet,0.2749
QQ,threeBet,1.0
QJs,call,0.395
QJs,jam,0.605
QTs,call,1.0
Q9s,call,0.8101
Q9s,threeBet,0.1899
Q8s,call,0.625
Q8s,threeBet,0.375
AJo,call,0.375
AJo,threeBet,0.625
KJo,call,0.9501
KJo,threeBet,0.0499
QJo,call,0.4674
QJo,fold,0.2663
QJo,threeBet,0.2663
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,0.76
J9s,threeBet,0.24
J8s,call,0.1508
J8s,fold,0.8492
ATo,call,0.5
ATo,threeBet,0.5
KTo,fold,0.4099
KTo,threeBet,0.5901
QTo,fold,0.985
QTo,threeBet,0.015
TT,jam,0.2549
TT,threeBet,0.7451
T9s,call,0.705
T9s,threeBet,0.295
T8s,call,0.905
T8s,threeBet,0.095
A9o,fold,0.5801
A9o,threeBet,0.4199
98s,call,0.8701
98s,threeBet,0.1299
97s,call,0.305
97s,fold,0.695
87s,call,0.99
87s,threeBet,0.01
86s,call,0.22
86s,fold,0.78
76s,call,1.0
65s,call,1.0
54s,call,1.0
