# poker.academy CE-Symmetric — 35bb vs3bet | hero MP vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.76
55,jam,0.24
66,call,0.5801
66,jam,0.4199
77,call,0.8652
77,jam,0.1348
88,call,1.0
99,call,0.5951
99,jam,0.4049
AA,call,0.4949
AA,jam,0.5051
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.615
A9s,fold,0.385
A8s,call,0.2599
A8s,fold,0.7401
A5s,call,0.095
A5s,jam,0.905
A4s,call,0.4049
A4s,jam,0.5951
A3s,call,0.4099
A3s,fold,0.5901
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.5699
K9s,fold,0.4301
K6s,call,1.0
AQo,call,0.925
AQo,jam,0.075
KQo,call,0.0999
KQo,fold,0.9001
QQ,jam,1.0
QJs,call,0.4249
QJs,jam,0.5751
QTs,call,1.0
JJ,jam,1.0
JTs,call,1.0
J9s,call,0.0399
J9s,fold,0.9601
TT,jam,1.0
T9s,call,1.0
T8s,call,0.08
T8s,fold,0.92
98s,call,0.2749
98s,fold,0.7251
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
