# poker.academy CE-Symmetric — 35bb vs3bet | hero MP vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.8203
55,fold,0.0648
55,jam,0.1149
66,call,0.8101
66,jam,0.1899
77,call,0.5251
77,fold,0.225
77,jam,0.2499
88,call,1.0
99,call,0.78
99,jam,0.22
AA,call,0.45
AA,jam,0.55
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.8251
ATs,jam,0.1749
A9s,call,0.09
A9s,fold,0.91
A5s,jam,1.0
A4s,call,0.3
A4s,jam,0.7
A3s,call,0.3549
A3s,fold,0.6451
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.17
K9s,fold,0.83
K7s,call,0.0448
K7s,fold,0.9552
K6s,call,1.0
AQo,call,0.8751
AQo,jam,0.1249
QQ,jam,1.0
QJs,call,0.555
QJs,jam,0.445
QTs,call,1.0
JJ,jam,1.0
JTs,call,0.905
JTs,fold,0.095
TT,jam,1.0
T9s,call,1.0
98s,call,0.1999
98s,fold,0.8001
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
