# poker.academy CE-Symmetric — 35bb vs3bet | hero EP vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,0.7704
66,fold,0.2296
77,call,0.555
77,fold,0.445
88,call,0.9501
88,fold,0.0499
99,call,1.0
AA,call,1.0
AKs,call,0.71
AKs,jam,0.29
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.6
A9s,fold,0.4
A8s,call,0.01
A8s,fold,0.99
A5s,call,0.45
A5s,jam,0.55
A4s,call,0.6501
A4s,fold,0.3
A4s,jam,0.0499
A3s,call,1.0
AKo,jam,1.0
KK,call,0.4249
KK,jam,0.5751
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.1749
K9s,fold,0.8251
AQo,call,1.0
KQo,call,0.1999
KQo,fold,0.8001
QQ,call,0.165
QQ,jam,0.835
QJs,call,0.55
QJs,jam,0.45
QTs,call,0.755
QTs,fold,0.245
AJo,call,0.0199
AJo,fold,0.9801
JJ,call,0.235
JJ,jam,0.765
JTs,call,0.4049
JTs,fold,0.5951
TT,call,0.695
TT,jam,0.305
T9s,call,0.015
T9s,fold,0.985
87s,call,0.9806
87s,fold,0.0194
76s,call,1.0
65s,call,1.0
54s,call,1.0
