# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: bb vsopen @ 40bb
# HRC node: id=14550, seat=7, sequence=RFFFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.91%
notation,action,freq
AA,raise,0.272
AA,jam,0.728
AKs,raise,0.0481
AKs,jam,0.9519
AQs,fold,0.0002
AQs,call,0.9547
AQs,raise,0.0348
AQs,jam,0.0102
AJs,fold,0.0001
AJs,call,0.9298
AJs,raise,0.015
AJs,jam,0.0552
ATs,call,0.9663
ATs,raise,0.0311
ATs,jam,0.0026
A9s,call,0.9929
A9s,raise,0.0001
A9s,jam,0.007
A8s,fold,0.0003
A8s,call,0.97
A8s,raise,0.0068
A8s,jam,0.0229
A7s,fold,0.0012
A7s,call,0.9978
A7s,jam,0.001
A6s,fold,0.0007
A6s,call,0.9991
A6s,raise,0.0001
A6s,jam,0.0001
A5s,fold,0.0017
A5s,call,0.6191
A5s,raise,0.0005
A5s,jam,0.3787
A4s,fold,0.0005
A4s,call,0.9986
A4s,jam,0.0009
A3s,fold,0.001
A3s,call,0.9965
A3s,raise,0.0017
A3s,jam,0.0007
A2s,fold,0.0018
A2s,call,0.4629
A2s,raise,0.0001
A2s,jam,0.5351
AKo,call,0.0004
AKo,raise,0.2015
AKo,jam,0.7981
KK,raise,0.1232
KK,jam,0.8768
KQs,fold,0.0012
KQs,call,0.9379
KQs,raise,0.0581
KQs,jam,0.0027
KJs,fold,0.0004
KJs,call,0.9994
KJs,jam,0.0001
KTs,fold,0.0009
KTs,call,0.9984
KTs,jam,0.0007
K9s,fold,0.0027
K9s,call,0.9959
K9s,jam,0.0013
K8s,fold,0.0007
K8s,call,0.9989
K8s,raise,0.0003
K8s,jam,0.0001
K7s,fold,0.0004
K7s,call,0.9974
K7s,jam,0.0021
K6s,fold,0.0034
K6s,call,0.9852
K6s,raise,0.0018
K6s,jam,0.0096
K5s,fold,0.0001
K5s,call,0.9999
K4s,fold,0.0024
K4s,call,0.9973
K4s,jam,0.0003
K3s,fold,0.0007
K3s,call,0.9981
K3s,jam,0.0012
K2s,fold,0.0032
K2s,call,0.9959
K2s,jam,0.0009
AQo,call,0.8288
AQo,raise,0.1424
AQo,jam,0.0288
KQo,fold,0.0001
KQo,call,0.9974
KQo,jam,0.0025
QQ,call,0.0126
QQ,raise,0.1898
QQ,jam,0.7976
QJs,fold,0.0031
QJs,call,0.9949
QJs,raise,0.0001
QJs,jam,0.0019
QTs,fold,0.0046
QTs,call,0.6864
QTs,jam,0.309
Q9s,fold,0.0022
Q9s,call,0.9127
Q9s,raise,0.0004
Q9s,jam,0.0847
Q8s,fold,0.003
Q8s,call,0.9944
Q8s,raise,0.0016
Q8s,jam,0.0009
Q7s,fold,0.0011
Q7s,call,0.9989
Q6s,fold,0.0004
Q6s,call,0.9996
Q5s,fold,0.0001
Q5s,call,0.9998
Q4s,fold,0.0049
Q4s,call,0.9925
Q4s,jam,0.0026
Q3s,fold,0.0016
Q3s,call,0.9983
Q3s,jam,0.0001
Q2s,fold,0.0024
Q2s,call,0.9899
Q2s,raise,0.0002
Q2s,jam,0.0074
AJo,call,0.985
AJo,raise,0.0141
AJo,jam,0.0009
KJo,fold,0.0002
KJo,call,0.9995
KJo,jam,0.0002
QJo,fold,0.0001
QJo,call,0.9999
JJ,fold,0.0001
JJ,call,0.7769
JJ,raise,0.0543
JJ,jam,0.1687
JTs,fold,0.0062
JTs,call,0.9916
JTs,raise,0.0001
JTs,jam,0.0022
J9s,fold,0.0032
J9s,call,0.9956
J9s,raise,0.0006
J9s,jam,0.0006
J8s,fold,0.0002
J8s,call,0.917
J8s,jam,0.0829
J7s,fold,0.0004
J7s,call,0.9986
J7s,raise,0.0002
J7s,jam,0.0008
J6s,fold,0.0004
J6s,call,0.9996
J5s,fold,0.0026
J5s,call,0.9961
J5s,raise,0.0013
J4s,fold,0.0017
J4s,call,0.9973
J4s,raise,0.0001
J4s,jam,0.0009
J3s,fold,0.0008
J3s,call,0.9992
J2s,fold,0.0005
J2s,call,0.9995
ATo,fold,0.0001
ATo,call,0.9972
ATo,jam,0.0026
KTo,fold,0.0001
KTo,call,0.9999
QTo,fold,0.0001
QTo,call,0.9999
JTo,call,1.0
TT,fold,0.0005
TT,call,0.9007
TT,raise,0.012
TT,jam,0.0869
T9s,fold,0.0042
T9s,call,0.9943
T9s,raise,0.0004
T9s,jam,0.0011
T8s,fold,0.0007
T8s,call,0.999
T8s,raise,0.0002
T7s,fold,0.0004
T7s,call,0.9996
T6s,fold,0.0023
T6s,call,0.9977
T5s,fold,0.0003
T5s,call,0.9997
T4s,fold,0.001
T4s,call,0.999
T3s,fold,0.0089
T3s,call,0.9891
T3s,raise,0.0009
T3s,jam,0.0011
T2s,fold,0.0096
T2s,call,0.9894
T2s,jam,0.001
A9o,fold,0.0001
A9o,call,0.9997
A9o,raise,0.0001
K9o,fold,0.0003
K9o,call,0.9997
Q9o,fold,0.0003
Q9o,call,0.9997
J9o,fold,0.0001
J9o,call,0.9999
T9o,call,0.9999
99,fold,0.0002
99,call,0.9169
99,raise,0.0783
99,jam,0.0045
98s,fold,0.0011
98s,call,0.9988
98s,jam,0.0001
97s,fold,0.0003
97s,call,0.9997
96s,fold,0.0011
96s,call,0.9989
95s,fold,0.0014
95s,call,0.9985
95s,raise,0.0001
94s,fold,0.0001
94s,call,0.9999
93s,fold,0.0002
93s,call,0.9998
92s,fold,0.003
92s,call,0.9969
A8o,call,0.9999
K8o,call,1.0
Q8o,fold,0.0001
Q8o,call,0.9999
J8o,fold,0.0007
J8o,call,0.9993
T8o,call,1.0
98o,call,1.0
88,fold,0.0004
88,call,0.9925
88,raise,0.0003
88,jam,0.0068
87s,fold,0.0003
87s,call,0.9996
87s,raise,0.0001
86s,fold,0.0002
86s,call,0.9997
85s,fold,0.0031
85s,call,0.9963
85s,jam,0.0006
84s,fold,0.0007
84s,call,0.9992
84s,jam,0.0001
83s,fold,0.0003
83s,call,0.9997
82s,fold,0.0005
82s,call,0.8318
82s,jam,0.1677
A7o,fold,0.0001
A7o,call,0.9999
K7o,call,1.0
Q7o,call,1.0
J7o,fold,0.0003
J7o,call,0.9997
T7o,call,1.0
97o,fold,0.0001
97o,call,0.9998
87o,fold,0.0001
87o,call,0.9999
77,fold,0.0003
77,call,0.9997
76s,fold,0.0052
76s,call,0.9775
76s,jam,0.0173
75s,fold,0.0017
75s,call,0.9978
75s,jam,0.0004
74s,fold,0.0004
74s,call,0.9995
74s,jam,0.0001
73s,fold,0.0008
73s,call,0.9992
72s,fold,0.0082
72s,call,0.9918
A6o,fold,0.0002
A6o,call,0.9997
A6o,jam,0.0001
K6o,fold,0.0001
K6o,call,0.9999
Q6o,fold,0.0001
Q6o,call,0.9999
J6o,fold,0.0002
J6o,call,0.9998
T6o,fold,0.0007
T6o,call,0.9993
96o,fold,0.0008
96o,call,0.9992
86o,fold,0.0001
86o,call,0.9998
76o,call,1.0
66,fold,0.0011
66,call,0.9976
66,raise,0.0003
66,jam,0.0009
65s,fold,0.0006
65s,call,0.9688
65s,jam,0.0305
64s,fold,0.0014
64s,call,0.9986
63s,fold,0.0003
63s,call,0.9996
63s,jam,0.0001
62s,fold,0.0018
62s,call,0.9981
A5o,call,0.9999
K5o,fold,0.0001
K5o,call,0.9999
Q5o,call,1.0
J5o,fold,0.0003
J5o,call,0.9997
T5o,fold,0.0001
T5o,call,0.9998
95o,fold,0.0002
95o,call,0.9998
85o,call,1.0
75o,fold,0.0001
75o,call,0.9998
65o,fold,0.0001
65o,call,0.9999
55,fold,0.0008
55,call,0.7109
55,raise,0.0003
55,jam,0.288
54s,fold,0.0001
54s,call,0.9999
53s,fold,0.0007
53s,call,0.9993
52s,fold,0.0006
52s,call,0.9994
A4o,fold,0.0001
A4o,call,0.9997
A4o,jam,0.0003
K4o,call,1.0
Q4o,fold,0.0001
Q4o,call,0.9999
J4o,fold,0.001
J4o,call,0.999
T4o,fold,0.0007
T4o,call,0.9993
94o,call,1.0
84o,fold,0.0004
84o,call,0.9996
74o,fold,0.0001
74o,call,0.9999
64o,fold,0.0001
64o,call,0.9999
54o,fold,0.0001
54o,call,0.9999
44,fold,0.0009
44,call,0.9328
44,raise,0.0001
44,jam,0.0662
43s,fold,0.0003
43s,call,0.9997
42s,fold,0.0007
42s,call,0.9992
42s,raise,0.0001
42s,jam,0.0001
A3o,fold,0.0001
A3o,call,0.9998
A3o,raise,0.0001
K3o,call,1.0
Q3o,fold,0.0001
Q3o,call,0.9999
J3o,fold,0.0001
J3o,call,0.9999
T3o,fold,0.0006
T3o,call,0.9994
93o,call,1.0
83o,fold,0.0008
83o,call,0.9992
73o,call,1.0
63o,call,1.0
53o,fold,0.0002
53o,call,0.9998
43o,call,1.0
33,fold,0.0009
33,call,0.9987
33,raise,0.0001
33,jam,0.0003
32s,fold,0.0004
