# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs lj open @ 40bb
# HRC node: id=1212, seat=7, sequence=FFRFFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.94%
notation,action,freq
AA,raise,0.5018
AA,jam,0.4982
AKs,call,0.0249
AKs,raise,0.5196
AKs,jam,0.4555
AQs,call,0.8521
AQs,raise,0.0871
AQs,jam,0.0608
AJs,fold,0.0003
AJs,call,0.5999
AJs,raise,0.151
AJs,jam,0.2488
ATs,fold,0.0005
ATs,call,0.5623
ATs,raise,0.3652
ATs,jam,0.0721
A9s,fold,0.0004
A9s,call,0.927
A9s,raise,0.007
A9s,jam,0.0655
A8s,fold,0.0007
A8s,call,0.9988
A8s,raise,0.0001
A8s,jam,0.0003
A7s,fold,0.0007
A7s,call,0.9991
A7s,raise,0.0001
A7s,jam,0.0001
A6s,fold,0.0011
A6s,call,0.9984
A6s,jam,0.0006
A5s,fold,0.0003
A5s,call,0.4491
A5s,jam,0.5506
A4s,fold,0.0012
A4s,call,0.9534
A4s,raise,0.0001
A4s,jam,0.0452
A3s,fold,0.001
A3s,call,0.834
A3s,raise,0.0061
A3s,jam,0.1588
A2s,fold,0.0008
A2s,call,0.8739
A2s,raise,0.1212
A2s,jam,0.0041
AKo,raise,0.0822
AKo,jam,0.9178
KK,raise,0.0005
KK,jam,0.9995
KQs,call,0.9912
KQs,jam,0.0088
KJs,fold,0.0006
KJs,call,0.9944
KJs,raise,0.0014
KJs,jam,0.0036
KTs,fold,0.0005
KTs,call,0.7881
KTs,jam,0.2113
K9s,fold,0.0006
K9s,call,0.5918
K9s,raise,0.0001
K9s,jam,0.4076
K8s,fold,0.0004
K8s,call,0.5022
K8s,jam,0.4975
K7s,fold,0.002
K7s,call,0.9186
K7s,raise,0.0001
K7s,jam,0.0793
K6s,fold,0.0008
K6s,call,0.998
K6s,jam,0.0012
K5s,fold,0.0003
K5s,call,0.9997
K4s,fold,0.0009
K4s,call,0.9988
K4s,raise,0.0001
K4s,jam,0.0002
K3s,fold,0.0008
K3s,call,0.9989
K3s,raise,0.0001
K3s,jam,0.0002
K2s,fold,0.0004
K2s,call,0.98
K2s,jam,0.0195
AQo,call,0.6462
AQo,raise,0.3422
AQo,jam,0.0116
KQo,call,0.9999
KQo,jam,0.0001
QQ,raise,0.3539
QQ,jam,0.646
QJs,fold,0.0008
QJs,call,0.9989
