# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg1 open @ 40bb
# HRC node: id=4493, seat=7, sequence=FRFFFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.93%
notation,action,freq
AA,raise,0.4035
AA,jam,0.5965
AKs,call,0.0034
AKs,raise,0.7157
AKs,jam,0.2809
AQs,call,0.7884
AQs,raise,0.1861
AQs,jam,0.0256
AJs,fold,0.0005
AJs,call,0.9526
AJs,raise,0.0037
AJs,jam,0.0432
ATs,fold,0.0006
ATs,call,0.9988
ATs,jam,0.0006
A9s,fold,0.0005
A9s,call,0.3147
A9s,jam,0.6848
A8s,fold,0.0002
A8s,call,0.5793
A8s,jam,0.4204
A7s,fold,0.0001
A7s,call,0.9596
A7s,jam,0.0403
A6s,fold,0.0018
A6s,call,0.9685
A6s,jam,0.0297
A5s,fold,0.0008
A5s,call,0.6573
A5s,raise,0.0009
A5s,jam,0.341
A4s,fold,0.0004
A4s,call,0.7524
A4s,raise,0.0001
A4s,jam,0.2471
A3s,fold,0.0003
A3s,call,0.6507
A3s,jam,0.349
A2s,fold,0.0002
A2s,call,0.9415
A2s,jam,0.0583
AKo,raise,0.4961
AKo,jam,0.5039
KK,raise,0.0799
KK,jam,0.9201
KQs,fold,0.0006
KQs,call,0.5774
KQs,raise,0.1735
KQs,jam,0.2485
KJs,fold,0.0016
KJs,call,0.9905
KJs,jam,0.0079
KTs,fold,0.0002
KTs,call,0.9544
KTs,raise,0.0001
KTs,jam,0.0453
K9s,fold,0.0084
K9s,call,0.9862
K9s,raise,0.0002
K9s,jam,0.0053
K8s,fold,0.0008
K8s,call,0.9501
K8s,raise,0.0115
K8s,jam,0.0375
K7s,fold,0.0006
K7s,call,0.9993
K7s,jam,0.0001
K6s,fold,0.001
K6s,call,0.9988
K6s,raise,0.0001
K6s,jam,0.0001
K5s,fold,0.0011
K5s,call,0.9985
K5s,raise,0.0002
K5s,jam,0.0002
K4s,fold,0.0009
K4s,call,0.9991
K4s,raise,0.0001
K3s,fold,0.0006
K3s,call,0.9992
K3s,jam,0.0001
K2s,fold,0.0014
K2s,call,0.8949
K2s,jam,0.1037
AQo,call,0.7281
AQo,raise,0.2156
AQo,jam,0.0563
KQo,fold,0.0001
KQo,call,0.9976
KQo,jam,0.0023
QQ,fold,0.0001
QQ,call,0.0014
QQ,raise,0.4553
QQ,jam,0.5433
QJs,fold,0.0009
QJs,call,0.9404
QJs,raise,0.0001
QJs,jam,0.0586
QTs,fold,0.0002
QTs,call,0.9081
QTs,jam,0.0918
Q9s,fold,0.0023
Q9s,call,0.9964
Q9s,jam,0.0013
Q8s,fold,0.0007
