# poker.academy CE-Symmetric — 40bb vsopen | hero BB vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.915
A7s,threeBet,0.085
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,call,0.1049
AKo,threeBet,0.8951
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.48
KJs,threeBet,0.52
KTs,call,0.385
KTs,threeBet,0.615
K9s,call,0.6501
K9s,threeBet,0.3499
K8s,call,1.0
K7s,call,1.0
K6s,call,0.7201
K6s,threeBet,0.2799
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,call,0.7401
AQo,threeBet,0.2599
KQo,call,0.985
KQo,threeBet,0.015
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.925
AJo,threeBet,0.075
KJo,call,0.53
KJo,threeBet,0.47
QJo,call,0.785
QJo,threeBet,0.215
JJ,call,0.48
JJ,threeBet,0.52
JTs,call,1.0
J9s,call,0.84
J9s,threeBet,0.16
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.545
ATo,threeBet,0.455
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,call,0.55
TT,threeBet,0.45
T9s,call,0.7902
T9s,threeBet,0.2098
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,1.0
K9o,call,1.0
Q9o,call,0.85
Q9o,fold,0.15
J9o,call,0.775
J9o,fold,0.225
T9o,call,1.0
98s,call,0.9352
98s,threeBet,0.0648
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.7702
A8o,fold,0.1249
A8o,threeBet,0.1049
K8o,call,0.29
K8o,fold,0.71
T8o,call,0.7
T8o,fold,0.3
98o,call,0.92
98o,fold,0.08
87s,call,0.8701
87s,threeBet,0.1299
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
87o,call,1.0
76s,call,0.905
76s,threeBet,0.095
75s,call,1.0
74s,call,1.0
73s,call,1.0
A6o,call,0.0549
A6o,fold,0.9451
K6o,call,0.6349
K6o,fold,0.3651
86o,call,0.3651
86o,fold,0.6349
76o,call,1.0
65s,call,0.76
65s,threeBet,0.24
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.625
A5o,threeBet,0.375
65o,call,1.0
54s,call,0.8951
54s,threeBet,0.1049
53s,call,1.0
52s,call,1.0
A4o,call,0.245
A4o,fold,0.6902
A4o,threeBet,0.0648
54o,call,1.0
43s,call,1.0
42s,call,1.0
53o,call,0.095
53o,fold,0.905
32s,call,0.9802
32s,threeBet,0.0198
