# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: btn vs3bet @ 40bb
# HRC node: id=38, seat=5, sequence=FFFFFRRF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 80.18%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0005
AKs,call,0.0268
AKs,jam,0.9727
AQs,fold,0.0078
AQs,call,0.7312
AQs,jam,0.2609
AJs,fold,0.0025
AJs,call,0.9698
AJs,jam,0.0276
ATs,fold,0.011
ATs,call,0.9714
ATs,jam,0.0176
A9s,fold,0.0283
A9s,call,0.9553
A9s,jam,0.0164
A8s,fold,0.0109
A8s,call,0.8105
A8s,jam,0.1787
A7s,fold,0.1157
A7s,call,0.7374
A7s,jam,0.1469
A6s,fold,0.0259
A6s,call,0.9738
A6s,jam,0.0002
A5s,fold,0.5157
A5s,call,0.4819
A5s,jam,0.0023
A4s,fold,0.386
A4s,call,0.5974
A4s,jam,0.0166
A3s,fold,0.4832
A3s,call,0.4676
A3s,jam,0.0493
A2s,fold,0.1309
A2s,call,0.8671
A2s,jam,0.002
AKo,call,0.0001
AKo,jam,0.9999
KK,call,0.1565
KK,jam,0.8434
KQs,fold,0.0048
KQs,call,0.4582
KQs,jam,0.537
KJs,fold,0.0491
KJs,call,0.6464
KJs,jam,0.3045
KTs,fold,0.0172
KTs,call,0.7254
KTs,jam,0.2574
K9s,fold,0.2411
K9s,call,0.734
K9s,jam,0.0249
K8s,fold,0.2088
K8s,call,0.4559
K8s,jam,0.3352
K7s,fold,0.0657
K7s,call,0.8648
K7s,jam,0.0695
K6s,fold,0.0618
K6s,call,0.9238
K6s,jam,0.0144
K5s,fold,0.3746
K5s,call,0.4937
K5s,jam,0.1317
K4s,fold,0.9564
K4s,call,0.0432
K4s,jam,0.0004
K3s,fold,0.5645
K3s,call,0.2504
K3s,jam,0.1851
K2s,fold,0.4494
K2s,call,0.5426
K2s,jam,0.008
