# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: btn vs3betjam @ 40bb
# HRC node: id=50, seat=5, sequence=FFFFFRRF
# Actions at node: ['fold', 'call']
# VPIP estimate: 28.13%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,fold,0.0001
AQs,call,0.9999
AJs,fold,0.1012
AJs,call,0.8988
ATs,fold,0.2485
ATs,call,0.7515
A9s,fold,0.8189
A9s,call,0.1811
A8s,fold,0.6759
A8s,call,0.3241
A7s,fold,0.8714
A7s,call,0.1286
A6s,fold,0.9459
A6s,call,0.0541
A5s,fold,0.9956
A5s,call,0.0044
A4s,fold,0.998
A4s,call,0.002
A3s,fold,0.999
A3s,call,0.001
A2s,fold,0.9927
A2s,call,0.0073
AKo,call,1.0
KK,call,1.0
KQs,fold,0.7932
KQs,call,0.2068
KJs,fold,0.3842
KJs,call,0.6158
KTs,fold,0.2868
KTs,call,0.7132
K9s,fold,0.9896
K9s,call,0.0104
K8s,fold,0.9847
K8s,call,0.0153
K7s,fold,0.9845
K7s,call,0.0155
K6s,fold,0.9997
K6s,call,0.0003
K5s,fold,0.9885
K5s,call,0.0115
K4s,fold,0.95
K4s,call,0.05
K3s,fold,0.9804
K3s,call,0.0196
K2s,fold,0.9834
K2s,call,0.0166
AQo,call,1.0
KQo,fold,0.9676
KQo,call,0.0324
QQ,call,1.0
QJs,fold,0.8645
QJs,call,0.1355
QTs,fold,0.9944
QTs,call,0.0056
Q9s,fold,0.9952
Q9s,call,0.0048
Q8s,fold,0.9747
Q8s,call,0.0253
Q7s,fold,0.9911
Q7s,call,0.0089
Q6s,fold,0.9987
Q6s,call,0.0013
Q5s,fold,0.9903
Q5s,call,0.0097
Q3s,fold,0.9997
Q3s,call,0.0003
Q2s,fold,0.9998
Q2s,call,0.0002
AJo,fold,0.4633
AJo,call,0.5367
KJo,fold,0.9858
KJo,call,0.0142
QJo,fold,0.9967
QJo,call,0.0033
JJ,call,1.0
JTs,fold,0.8965
JTs,call,0.1035
J9s,fold,1.0
J8s,fold,0.9962
J8s,call,0.0038
J7s,fold,0.9987
J7s,call,0.0013
J6s,fold,0.9999
J6s,call,0.0001
J5s,fold,0.9996
J5s,call,0.0004
J4s,fold,0.9982
J4s,call,0.0018
J3s,fold,1.0
J2s,fold,0.9854
J2s,call,0.0146
ATo,fold,0.9402
ATo,call,0.0598
KTo,fold,0.9996
KTo,call,0.0004
QTo,fold,0.9987
QTo,call,0.0013
JTo,fold,0.9981
JTo,call,0.0019
TT,call,1.0
T9s,fold,0.9919
T9s,call,0.0081
T8s,fold,0.9999
T8s,call,0.0001
T7s,fold,0.9977
T7s,call,0.0023
T4s,fold,0.9989
T4s,call,0.0011
T3s,fold,0.9999
T3s,call,0.0001
A9o,fold,0.9999
A9o,call,0.0001
K9o,fold,0.9991
K9o,call,0.0009
Q9o,fold,0.9995
Q9o,call,0.0005
J9o,fold,1.0
T9o,fold,0.9999
T9o,call,0.0001
99,fold,0.0031
99,call,0.9969
98s,fold,0.996
98s,call,0.004
97s,fold,0.9982
97s,call,0.0018
96s,fold,0.9959
96s,call,0.0041
A8o,fold,0.9955
A8o,call,0.0045
K8o,fold,0.9993
K8o,call,0.0007
J8o,fold,0.9998
J8o,call,0.0002
T8o,fold,1.0
98o,fold,0.9997
98o,call,0.0003
88,fold,0.0823
88,call,0.9177
87s,fold,0.9983
87s,call,0.0017
86s,fold,0.9994
86s,call,0.0006
85s,fold,0.9998
85s,call,0.0002
82s,fold,0.997
82s,call,0.003
A7o,fold,0.9968
A7o,call,0.0032
K7o,fold,1.0
Q7o,fold,0.9997
Q7o,call,0.0003
J7o,fold,0.9999
J7o,call,0.0001
77,fold,0.0324
77,call,0.9676
73s,fold,0.9995
73s,call,0.0005
A6o,fold,0.9997
A6o,call,0.0003
K6o,fold,0.9998
K6o,call,0.0002
J6o,fold,1.0
66,fold,0.6332
66,call,0.3668
62s,fold,0.9951
62s,call,0.0049
A5o,fold,0.9965
A5o,call,0.0035
K5o,fold,0.9989
K5o,call,0.0011
55,fold,0.7884
55,call,0.2116
A4o,fold,0.9995
A4o,call,0.0005
K4o,fold,1.0
44,fold,0.9841
44,call,0.0159
43s,fold,0.9863
43s,call,0.0137
A3o,fold,0.9999
A3o,call,0.0001
K3o,fold,0.9998
K3o,call,0.0002
33,fold,0.9919
33,call,0.0081
A2o,fold,0.9998
A2o,call,0.0002
22,fold,0.9949
22,call,0.0051
