# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs co open @ 40bb
# HRC node: id=52, seat=5, sequence=FFFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 17.78%
notation,action,freq
AA,raise,0.9647
AA,jam,0.0353
AKs,call,0.1715
AKs,raise,0.2128
AKs,jam,0.6156
AQs,call,0.1381
AQs,raise,0.5171
AQs,jam,0.3448
AJs,fold,0.0004
AJs,call,0.7876
AJs,raise,0.0046
AJs,jam,0.2074
ATs,fold,0.0009
ATs,call,0.4003
ATs,raise,0.5718
ATs,jam,0.027
A9s,fold,0.0716
A9s,call,0.6421
A9s,raise,0.249
A9s,jam,0.0374
A8s,fold,0.8454
A8s,call,0.0935
A8s,raise,0.0015
A8s,jam,0.0596
A7s,fold,0.1671
A7s,call,0.173
A7s,raise,0.1625
A7s,jam,0.4974
A6s,fold,0.3921
A6s,call,0.6036
A6s,raise,0.0002
A6s,jam,0.004
A5s,fold,0.785
A5s,call,0.0018
A5s,raise,0.0064
A5s,jam,0.2068
A4s,fold,0.7028
A4s,call,0.0433
A4s,raise,0.0009
A4s,jam,0.253
A3s,fold,0.6311
A3s,call,0.1631
A3s,raise,0.0066
A3s,jam,0.1993
A2s,fold,0.8999
A2s,call,0.0903
A2s,raise,0.0005
A2s,jam,0.0093
AKo,raise,0.0067
AKo,jam,0.9933
KK,call,0.0151
KK,raise,0.0727
KK,jam,0.9122
KQs,fold,0.0197
KQs,call,0.1616
KQs,raise,0.046
KQs,jam,0.7727
KJs,fold,0.0209
KJs,call,0.0611
KJs,raise,0.0557
KJs,jam,0.8623
KTs,fold,0.0788
KTs,call,0.1197
KTs,raise,0.0455
KTs,jam,0.7561
K9s,fold,0.6401
K9s,call,0.3513
K9s,raise,0.0071
K9s,jam,0.0015
K8s,fold,0.9648
K8s,call,0.0265
K8s,raise,0.0009
K8s,jam,0.0077
K7s,fold,0.9602
K7s,call,0.001
K7s,jam,0.0388
K6s,fold,0.8294
K6s,call,0.0005
K6s,raise,0.011
K6s,jam,0.1591
K5s,fold,0.895
K5s,call,0.1049
K5s,raise,0.0001
K4s,fold,0.9998
K4s,call,0.0002
K3s,fold,0.9995
K3s,call,0.0001
K3s,raise,0.0003
K3s,jam,0.0001
K2s,fold,0.9971
K2s,call,0.0025
K2s,jam,0.0003
AQo,call,0.8069
AQo,raise,0.1754
AQo,jam,0.0177
KQo,fold,0.1749
KQo,call,0.6694
KQo,raise,0.0309
KQo,jam,0.1248
QQ,call,0.0086
QQ,raise,0.0031
QQ,jam,0.9883
QJs,fold,0.2329
QJs,call,0.2033
QJs,raise,0.0031
QJs,jam,0.5607
QTs,fold,0.0801
QTs,call,0.6662
QTs,jam,0.2537
Q9s,fold,0.5332
Q9s,call,0.1835
Q9s,jam,0.2833
Q8s,fold,0.9884
Q8s,call,0.0013
Q8s,raise,0.0087
Q8s,jam,0.0016
Q7s,fold,0.9996
Q7s,call,0.0003
Q7s,raise,0.0001
Q7s,jam,0.0001
Q6s,fold,0.7539
Q6s,call,0.003
Q6s,raise,0.0005
Q6s,jam,0.2426
Q5s,fold,0.9993
Q5s,call,0.0003
Q5s,raise,0.0002
Q5s,jam,0.0001
Q4s,fold,0.9987
Q4s,call,0.0013
Q3s,fold,0.9936
Q3s,call,0.0059
Q3s,jam,0.0005
Q2s,fold,0.9967
Q2s,call,0.0031
Q2s,jam,0.0002
AJo,fold,0.0001
AJo,call,0.5355
AJo,raise,0.4632
AJo,jam,0.0011
KJo,fold,0.5402
KJo,call,0.4471
KJo,raise,0.0052
KJo,jam,0.0075
QJo,fold,0.9989
QJo,call,0.0011
JJ,call,0.3122
JJ,raise,0.1335
JJ,jam,0.5543
JTs,fold,0.3941
JTs,call,0.0728
JTs,raise,0.0167
JTs,jam,0.5164
J9s,fold,0.6563
J9s,call,0.0374
J9s,raise,0.0026
J9s,jam,0.3037
J8s,fold,0.9578
J8s,call,0.0417
J8s,raise,0.0001
J8s,jam,0.0004
J7s,fold,0.9981
J7s,call,0.0017
J7s,jam,0.0002
J6s,fold,0.9996
J6s,call,0.0001
J6s,raise,0.0002
J5s,fold,0.9964
J5s,call,0.0036
J5s,jam,0.0001
J4s,fold,0.995
J4s,call,0.0045
J4s,raise,0.0001
J4s,jam,0.0005
J3s,fold,0.9987
J3s,call,0.0012
J3s,jam,0.0001
J2s,fold,1.0
ATo,fold,0.0009
ATo,call,0.931
ATo,raise,0.0668
ATo,jam,0.0013
KTo,fold,0.9912
KTo,call,0.0076
KTo,raise,0.0007
KTo,jam,0.0004
QTo,fold,0.9981
QTo,call,0.0013
QTo,raise,0.0004
QTo,jam,0.0002
JTo,fold,0.9975
JTo,call,0.0024
JTo,raise,0.0001
TT,call,0.0046
TT,raise,0.8769
TT,jam,0.1185
T9s,fold,0.5343
T9s,call,0.0234
T9s,raise,0.001
T9s,jam,0.4413
T8s,fold,0.9882
T8s,call,0.0115
T8s,raise,0.0002
T7s,fold,0.9553
T7s,call,0.0446
T6s,fold,0.999
T6s,call,0.001
T5s,fold,0.9998
T5s,raise,0.0001
T5s,jam,0.0001
T4s,fold,0.9999
T4s,raise,0.0001
T3s,fold,0.9972
T3s,call,0.0028
T2s,fold,0.9996
T2s,call,0.0003
T2s,jam,0.0001
A9o,fold,0.8498
A9o,call,0.1454
A9o,raise,0.0046
A9o,jam,0.0001
K9o,fold,0.9988
K9o,call,0.0011
K9o,raise,0.0001
Q9o,fold,0.9977
Q9o,call,0.0014
Q9o,raise,0.0003
Q9o,jam,0.0006
J9o,fold,0.9987
J9o,call,0.0012
J9o,jam,0.0001
T9o,fold,0.9998
T9o,call,0.0002
99,call,0.5515
99,raise,0.0237
99,jam,0.4248
98s,fold,0.9618
98s,call,0.0377
98s,jam,0.0004
97s,fold,0.9999
97s,jam,0.0001
96s,fold,0.9382
96s,call,0.0615
96s,raise,0.0001
96s,jam,0.0002
95s,fold,0.9995
95s,call,0.0004
