# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs hj open @ 40bb
# HRC node: id=273, seat=5, sequence=FFFRF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 14.32%
notation,action,freq
AA,raise,0.7123
AA,jam,0.2877
AKs,call,0.0336
AKs,raise,0.002
AKs,jam,0.9645
AQs,call,0.0684
AQs,raise,0.8488
AQs,jam,0.0828
AJs,call,0.0637
AJs,raise,0.0433
AJs,jam,0.893
ATs,fold,0.0007
ATs,call,0.0698
ATs,raise,0.1854
ATs,jam,0.7441
A9s,fold,0.7589
A9s,call,0.0843
A9s,raise,0.0513
A9s,jam,0.1055
A8s,fold,0.7407
A8s,call,0.1425
A8s,raise,0.0885
A8s,jam,0.0282
A7s,fold,0.9177
A7s,call,0.0062
A7s,raise,0.0001
A7s,jam,0.076
A6s,fold,0.9614
A6s,call,0.0297
A6s,raise,0.0004
A6s,jam,0.0084
A5s,fold,0.8979
A5s,call,0.0838
A5s,jam,0.0183
A4s,fold,0.4124
A4s,call,0.023
A4s,jam,0.5646
A3s,fold,0.8715
A3s,call,0.0211
A3s,raise,0.0009
A3s,jam,0.1064
A2s,fold,0.764
A2s,call,0.19
A2s,raise,0.0281
A2s,jam,0.0179
AKo,raise,0.4986
AKo,jam,0.5014
KK,call,0.3138
KK,raise,0.3923
KK,jam,0.294
KQs,fold,0.0074
KQs,call,0.8654
KQs,raise,0.1213
KQs,jam,0.0059
KJs,fold,0.0052
KJs,call,0.3217
KJs,raise,0.0839
KJs,jam,0.5892
KTs,fold,0.6637
KTs,call,0.1721
KTs,raise,0.0003
KTs,jam,0.1639
K9s,fold,0.9939
K9s,call,0.0026
K9s,raise,0.0035
K8s,fold,0.9896
K8s,call,0.01
K8s,raise,0.0001
K8s,jam,0.0003
K7s,fold,0.9451
K7s,call,0.0271
K7s,jam,0.0277
K6s,fold,0.9996
K6s,raise,0.0004
K5s,fold,0.8292
K5s,call,0.0062
K5s,raise,0.0001
K5s,jam,0.1646
K4s,fold,1.0
K3s,fold,0.9999
K3s,jam,0.0001
K2s,fold,0.9907
K2s,call,0.0092
K2s,raise,0.0001
AQo,call,0.2172
AQo,raise,0.7291
AQo,jam,0.0537
KQo,fold,0.0013
KQo,call,0.9983
KQo,raise,0.0001
KQo,jam,0.0003
QQ,call,0.4758
QQ,raise,0.1476
QQ,jam,0.3766
QJs,fold,0.2884
QJs,call,0.528
QJs,raise,0.0087
QJs,jam,0.1749
QTs,fold,0.7751
QTs,call,0.218
QTs,raise,0.0015
QTs,jam,0.0054
Q9s,fold,0.98
Q9s,call,0.0189
Q9s,raise,0.0002
Q9s,jam,0.0009
Q8s,fold,0.5853
Q8s,call,0.152
Q8s,jam,0.2627
Q7s,fold,0.9999
Q7s,jam,0.0001
Q6s,fold,0.9972
Q6s,call,0.0028
Q6s,raise,0.0001
Q5s,fold,0.9934
Q5s,call,0.0044
Q5s,raise,0.0002
Q5s,jam,0.0019
Q4s,fold,0.9969
Q4s,call,0.0031
Q3s,fold,0.9999
Q2s,fold,0.9957
Q2s,call,0.0028
Q2s,raise,0.0014
AJo,call,0.6617
AJo,raise,0.3153
AJo,jam,0.023
KJo,fold,0.6085
KJo,call,0.3854
KJo,raise,0.0008
KJo,jam,0.0053
QJo,fold,0.9949
QJo,call,0.005
JJ,call,0.2101
JJ,raise,0.3922
JJ,jam,0.3977
JTs,fold,0.9609
JTs,call,0.0121
JTs,raise,0.0018
JTs,jam,0.0251
J9s,fold,0.8759
J9s,call,0.0255
J9s,raise,0.0004
J9s,jam,0.0982
J8s,fold,0.9841
J8s,call,0.0003
J8s,raise,0.0155
J8s,jam,0.0001
J7s,fold,0.9941
J7s,call,0.0059
J6s,fold,0.9986
J6s,call,0.0014
J5s,fold,0.9999
J5s,call,0.0001
J4s,fold,0.9987
J4s,call,0.0012
J3s,fold,0.9991
J3s,call,0.0009
J2s,fold,0.999
J2s,raise,0.0009
ATo,fold,0.0365
ATo,call,0.6345
ATo,raise,0.3285
ATo,jam,0.0005
KTo,fold,0.9858
KTo,call,0.0127
KTo,raise,0.0001
KTo,jam,0.0014
QTo,fold,0.9999
QTo,call,0.0001
JTo,fold,0.9976
JTo,call,0.0024
TT,call,0.4018
TT,raise,0.0139
TT,jam,0.5843
T9s,fold,0.6919
T9s,call,0.181
T9s,raise,0.0006
T9s,jam,0.1264
T8s,fold,0.9981
T8s,call,0.0004
T8s,raise,0.0015
T7s,fold,0.9984
T7s,call,0.0012
T7s,raise,0.0003
T7s,jam,0.0001
T6s,fold,0.987
T6s,call,0.0126
T6s,raise,0.0004
T5s,fold,0.9984
T5s,call,0.0003
T5s,raise,0.0002
T5s,jam,0.001
T4s,fold,0.9987
T4s,call,0.001
T4s,raise,0.0002
T3s,fold,0.9999
T3s,raise,0.0001
T2s,fold,0.9998
T2s,jam,0.0002
A9o,fold,0.9359
A9o,call,0.0637
A9o,raise,0.0001
A9o,jam,0.0003
K9o,fold,0.9993
K9o,call,0.0007
Q9o,fold,0.9993
Q9o,call,0.0007
J9o,fold,0.9999
J9o,raise,0.0001
T9o,fold,0.9999
99,fold,0.0007
99,call,0.3255
99,raise,0.4815
99,jam,0.1924
98s,fold,0.9991
98s,call,0.0002
98s,raise,0.0006
98s,jam,0.0001
97s,fold,0.9889
97s,call,0.01
97s,raise,0.001
96s,fold,0.9919
96s,call,0.0079
96s,jam,0.0001
95s,fold,0.9987
95s,call,0.0012
95s,raise,0.0001
95s,jam,0.0001
94s,fold,0.9979
94s,call,0.0021
93s,fold,0.9999
93s,call,0.0001
92s,fold,0.9973
92s,call,0.0027
A8o,fold,0.999
A8o,call,0.0007
A8o,raise,0.0002
A8o,jam,0.0001
K8o,fold,0.9988
K8o,call,0.0011
K8o,jam,0.0001
Q8o,fold,1.0
J8o,fold,0.9993
J8o,call,0.0007
T8o,fold,0.9999
T8o,call,0.0001
98o,fold,0.9997
98o,call,0.0003
88,fold,0.0001
88,call,0.9385
88,raise,0.0285
88,jam,0.0329
87s,fold,0.9913
87s,call,0.0076
87s,raise,0.0009
87s,jam,0.0002
86s,fold,0.9991
86s,call,0.0003
86s,raise,0.0006
85s,fold,0.9994
85s,call,0.0004
85s,raise,0.0001
84s,fold,0.9993
84s,call,0.0007
83s,fold,0.9999
83s,call,0.0001
82s,fold,0.9982
82s,call,0.0018
A7o,fold,0.9991
A7o,call,0.0008
A7o,jam,0.0001
K7o,fold,0.9994
K7o,call,0.0006
K7o,raise,0.0001
Q7o,fold,0.9998
Q7o,call,0.0001
J7o,fold,0.9999
T7o,fold,0.9999
T7o,call,0.0001
97o,fold,0.9998
97o,call,0.0002
87o,fold,0.9999
87o,raise,0.0001
77,fold,0.0535
77,call,0.8442
77,raise,0.0196
77,jam,0.0826
76s,fold,0.9946
76s,call,0.0054
75s,fold,0.997
75s,call,0.0014
75s,raise,0.0014
75s,jam,0.0002
74s,fold,0.9999
73s,fold,0.9999
73s,call,0.0001
72s,fold,0.9993
72s,call,0.0005
72s,jam,0.0002
A6o,fold,0.9676
A6o,call,0.0321
A6o,raise,0.0004
K6o,fold,0.9998
K6o,call,0.0001
Q6o,fold,0.9999
Q6o,call,0.0001
J6o,fold,1.0
T6o,fold,1.0
96o,fold,0.9999
86o,fold,1.0
76o,fold,1.0
66,fold,0.5376
66,call,0.4196
66,raise,0.0004
66,jam,0.0424
65s,fold,0.9997
65s,call,0.0002
65s,jam,0.0001
64s,fold,0.9987
64s,call,0.0009
64s,raise,0.0003
64s,jam,0.0001
63s,fold,1.0
62s,fold,0.9999
62s,raise,0.0001
A5o,fold,0.995
A5o,call,0.0025
A5o,raise,0.0017
A5o,jam,0.0007
K5o,fold,0.9996
K5o,call,0.0003
K5o,jam,0.0001
Q5o,fold,0.9986
Q5o,call,0.0013
Q5o,raise,0.0001
J5o,fold,0.9998
J5o,jam,0.0001
T5o,fold,1.0
95o,fold,0.9998
95o,call,0.0002
85o,fold,0.9996
85o,call,0.0004
75o,fold,1.0
65o,fold,0.9991
65o,call,0.0009
55,fold,0.9743
55,call,0.0256
55,raise,0.0001
54s,fold,0.9968
54s,call,0.0029
54s,jam,0.0003
53s,fold,0.9989
53s,call,0.0011
52s,fold,1.0
A4o,fold,0.9996
A4o,call,0.0004
K4o,fold,0.9999
K4o,call,0.0001
Q4o,fold,1.0
J4o,fold,0.999
J4o,call,0.001
T4o,fold,0.9999
94o,fold,1.0
84o,fold,1.0
74o,fold,0.9998
74o,call,0.0001
64o,fold,0.9998
64o,call,0.0001
54o,fold,1.0
44,fold,0.9909
44,call,0.0043
44,raise,0.0003
44,jam,0.0045
43s,fold,0.9999
43s,call,0.0001
42s,fold,0.9997
42s,raise,0.0002
42s,jam,0.0001
A3o,fold,0.9996
A3o,call,0.0004
K3o,fold,0.9999
K3o,call,0.0001
Q3o,fold,0.9999
Q3o,call,0.0001
J3o,fold,0.9999
T3o,fold,1.0
93o,fold,0.9999
83o,fold,1.0
73o,fold,0.9999
73o,call,0.0001
63o,fold,1.0
53o,fold,1.0
43o,fold,0.9999
43o,call,0.0001
33,fold,0.9441
33,call,0.0407
33,raise,0.0002
33,jam,0.015
32s,fold,1.0
A2o,fold,0.9995
A2o,call,0.0004
A2o,jam,0.0001
K2o,fold,0.9994
K2o,call,0.0006
Q2o,fold,1.0
J2o,fold,0.9999
J2o,call,0.0001
T2o,fold,1.0
92o,fold,1.0
82o,fold,0.9999
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.9949
22,call,0.0048
22,raise,0.0001
22,jam,0.0002
