# poker.academy CE-Symmetric — 40bb vs3bet | hero CO vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,fold,0.445
33,jam,0.555
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.5151
77,jam,0.4849
88,call,0.9651
88,jam,0.0349
99,call,0.55
99,jam,0.45
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.545
A7s,jam,0.455
A6s,call,1.0
A5s,call,0.535
A5s,jam,0.465
A4s,call,0.8951
A4s,jam,0.1049
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,call,1.0
KQs,call,0.9801
KQs,jam,0.0199
KJs,call,0.32
KJs,jam,0.68
KTs,call,1.0
K9s,call,1.0
K8s,call,0.245
K8s,fold,0.755
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
AQo,call,0.1249
AQo,jam,0.8751
KQo,call,0.9751
KQo,jam,0.0249
QQ,call,0.4099
QQ,jam,0.5901
QJs,call,0.3449
QJs,jam,0.6551
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.7251
Q8s,fold,0.2749
AJo,call,1.0
KJo,call,1.0
QJo,call,0.6701
QJo,fold,0.3299
JJ,jam,1.0
JTs,call,1.0
J9s,call,1.0
ATo,call,1.0
KTo,call,0.0999
KTo,fold,0.9001
TT,call,0.1299
TT,jam,0.8701
T9s,call,1.0
T8s,call,0.6651
T8s,fold,0.3349
98s,call,1.0
97s,call,0.3601
97s,fold,0.6399
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
