# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: co vsopen @ 40bb
# HRC node: id=14547, seat=4, sequence=RFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 11.34%
notation,action,freq
AA,raise,0.7854
AA,jam,0.2146
AKs,call,0.0009
AKs,raise,0.001
AKs,jam,0.9981
AQs,fold,0.0018
AQs,call,0.3684
AQs,raise,0.5806
AQs,jam,0.0492
AJs,call,0.4142
AJs,raise,0.2582
AJs,jam,0.3276
ATs,fold,0.644
ATs,call,0.3382
ATs,raise,0.0148
ATs,jam,0.0029
A9s,fold,0.1299
A9s,call,0.8639
A9s,raise,0.0003
A9s,jam,0.0059
A8s,fold,0.9376
A8s,call,0.0338
A8s,raise,0.0221
A8s,jam,0.0065
A7s,fold,0.9844
A7s,call,0.0127
A7s,raise,0.001
A7s,jam,0.002
A6s,fold,0.9815
A6s,call,0.0107
A6s,jam,0.0078
A5s,fold,0.8033
A5s,call,0.194
A5s,raise,0.0022
A5s,jam,0.0005
A4s,fold,0.8896
A4s,call,0.1043
A4s,raise,0.0004
A4s,jam,0.0058
A3s,fold,0.9502
A3s,call,0.0483
A3s,raise,0.0013
A3s,jam,0.0002
A2s,fold,0.988
A2s,call,0.0099
A2s,raise,0.0003
A2s,jam,0.0018
AKo,call,0.0001
AKo,raise,0.588
AKo,jam,0.4119
KK,call,0.0001
KK,jam,0.9998
KQs,fold,0.0004
KQs,call,0.9809
KQs,raise,0.0005
KQs,jam,0.0182
KJs,fold,0.2784
KJs,call,0.2803
KJs,raise,0.0397
KJs,jam,0.4016
KTs,fold,0.9843
KTs,call,0.0147
KTs,jam,0.001
K9s,fold,0.8123
K9s,call,0.1858
K9s,raise,0.0015
K9s,jam,0.0004
K8s,fold,0.9769
K8s,call,0.0139
K8s,raise,0.0092
K7s,fold,0.9875
K7s,call,0.0123
K7s,raise,0.0001
K7s,jam,0.0001
K6s,fold,0.9985
K6s,call,0.0012
K6s,raise,0.0002
K6s,jam,0.0001
K5s,fold,0.9941
K5s,call,0.0056
K5s,raise,0.0002
K5s,jam,0.0001
K4s,fold,0.9524
K4s,call,0.0466
K4s,raise,0.0005
K4s,jam,0.0006
K3s,fold,0.9868
K3s,call,0.0131
K3s,raise,0.0001
K3s,jam,0.0001
K2s,fold,0.9965
K2s,call,0.0023
K2s,raise,0.0009
K2s,jam,0.0003
AQo,call,0.8587
AQo,raise,0.1243
AQo,jam,0.017
KQo,fold,0.4975
KQo,call,0.5
KQo,raise,0.0011
KQo,jam,0.0015
QQ,call,0.4363
QQ,raise,0.2978
QQ,jam,0.2658
QJs,fold,0.8999
QJs,call,0.088
QJs,raise,0.0048
QJs,jam,0.0073
QTs,fold,0.793
QTs,call,0.1263
QTs,raise,0.0569
QTs,jam,0.0238
Q9s,fold,0.9825
Q9s,call,0.0162
Q9s,raise,0.0013
Q8s,fold,0.9173
Q8s,call,0.0812
Q8s,raise,0.0001
Q8s,jam,0.0015
Q7s,fold,0.986
Q7s,call,0.0116
Q7s,raise,0.0014
Q7s,jam,0.0011
Q6s,fold,0.9923
Q6s,call,0.0067
Q6s,raise,0.0008
Q6s,jam,0.0001
Q5s,fold,0.9983
Q5s,call,0.0012
Q5s,raise,0.0003
Q5s,jam,0.0001
Q4s,fold,0.9944
Q4s,call,0.0032
Q4s,raise,0.0015
Q4s,jam,0.0009
Q3s,fold,0.9989
Q3s,call,0.0005
Q3s,raise,0.0001
Q3s,jam,0.0005
Q2s,fold,0.9997
Q2s,call,0.0002
Q2s,raise,0.0001
AJo,fold,0.2487
AJo,call,0.6776
AJo,raise,0.0711
AJo,jam,0.0026
KJo,fold,0.9882
KJo,call,0.0088
KJo,raise,0.0028
KJo,jam,0.0003
QJo,fold,0.995
