# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs lj open @ 40bb
# HRC node: id=1209, seat=4, sequence=FFRF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 12.95%
notation,action,freq
AA,call,0.0004
AA,raise,0.7849
AA,jam,0.2147
AKs,call,0.0001
AKs,jam,0.9998
AQs,call,0.2535
AQs,raise,0.3595
AQs,jam,0.387
AJs,fold,0.0001
AJs,call,0.6182
AJs,raise,0.2118
AJs,jam,0.1699
ATs,fold,0.2395
ATs,call,0.5671
ATs,raise,0.1843
ATs,jam,0.009
A9s,fold,0.4016
A9s,call,0.5291
A9s,raise,0.0612
A9s,jam,0.008
A8s,fold,0.3777
A8s,call,0.6177
A8s,raise,0.002
A8s,jam,0.0026
A7s,fold,0.5644
A7s,call,0.1555
A7s,raise,0.0002
A7s,jam,0.2799
A6s,fold,0.9165
A6s,call,0.0554
A6s,raise,0.0259
A6s,jam,0.0021
A5s,fold,0.9043
A5s,call,0.0602
A5s,raise,0.0005
A5s,jam,0.035
A4s,fold,0.9635
A4s,call,0.0352
A4s,jam,0.0013
A3s,fold,0.986
A3s,call,0.0123
A3s,raise,0.0002
A3s,jam,0.0014
A2s,fold,0.9963
A2s,call,0.0034
A2s,raise,0.0003
AKo,call,0.0005
AKo,raise,0.6979
AKo,jam,0.3016
KK,call,0.6051
KK,jam,0.3949
KQs,fold,0.0018
KQs,call,0.0313
KQs,raise,0.803
KQs,jam,0.164
KJs,fold,0.2605
KJs,call,0.6243
KJs,raise,0.1127
KJs,jam,0.0026
KTs,fold,0.2374
KTs,call,0.7315
KTs,raise,0.028
KTs,jam,0.0031
K9s,fold,0.9789
K9s,call,0.0014
K9s,raise,0.0182
K9s,jam,0.0015
K8s,fold,0.9882
K8s,call,0.0115
K8s,raise,0.0001
K8s,jam,0.0002
K7s,fold,0.997
K7s,call,0.0001
K7s,raise,0.0026
K7s,jam,0.0004
K6s,fold,0.9823
K6s,call,0.0137
K6s,raise,0.0011
K6s,jam,0.0029
K5s,fold,0.9988
K5s,call,0.0004
K5s,raise,0.0007
K4s,fold,0.9987
K4s,call,0.0004
K4s,raise,0.0008
K4s,jam,0.0001
K3s,fold,0.9943
K3s,call,0.0027
K3s,raise,0.003
K2s,fold,0.9928
K2s,call,0.007
K2s,raise,0.0001
AQo,call,0.5976
AQo,raise,0.3826
AQo,jam,0.0197
KQo,fold,0.2779
KQo,call,0.7193
KQo,raise,0.0019
KQo,jam,0.0008
QQ,call,0.47
QQ,raise,0.2296
QQ,jam,0.3005
QJs,fold,0.3442
QJs,call,0.5442
QJs,raise,0.0127
QJs,jam,0.0989
QTs,fold,0.9663
QTs,call,0.0293
QTs,jam,0.0043
Q9s,fold,0.9984
Q9s,call,0.0014
Q9s,raise,0.0001
Q8s,fold,0.9885
Q8s,call,0.0056
Q8s,raise,0.0047
Q8s,jam,0.0012
Q7s,fold,0.9985
Q7s,call,0.0015
Q6s,fold,0.9876
Q6s,call,0.0118
Q6s,raise,0.0006
Q5s,fold,0.9993
Q5s,call,0.0001
Q5s,raise,0.0005
Q5s,jam,0.0001
Q4s,fold,0.9973
Q4s,call,0.0014
Q4s,jam,0.0013
Q3s,fold,0.9978
Q3s,call,0.0018
Q3s,raise,0.0003
Q3s,jam,0.0001
Q2s,fold,0.9931
Q2s,call,0.0055
Q2s,raise,0.0011
Q2s,jam,0.0003
AJo,fold,0.0001
AJo,call,0.6793
AJo,raise,0.2956
AJo,jam,0.025
KJo,fold,0.8335
KJo,call,0.1655
KJo,raise,0.0008
KJo,jam,0.0002
QJo,fold,0.9781
QJo,call,0.0201
QJo,raise,0.0001
QJo,jam,0.0017
JJ,call,0.4286
JJ,raise,0.1081
JJ,jam,0.4633
JTs,fold,0.8773
JTs,call,0.097
JTs,raise,0.0059
JTs,jam,0.0198
J9s,fold,0.9955
J9s,call,0.004
J9s,raise,0.0005
J9s,jam,0.0001
J8s,fold,0.9851
J8s,call,0.0148
J8s,jam,0.0001
J7s,fold,0.9997
J7s,call,0.0001
J7s,raise,0.0001
J7s,jam,0.0001
J6s,fold,0.9944
J6s,call,0.0052
J6s,raise,0.0004
