# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: hj unopened @ 40bb
# HRC node: id=3, seat=3, sequence=FFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 24.52%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,fold,0.0002
A8s,raise,0.9998
A7s,fold,0.0124
A7s,raise,0.9876
A6s,fold,0.2779
A6s,raise,0.7221
A5s,fold,0.0071
A5s,raise,0.9929
A4s,fold,0.0004
A4s,raise,0.9996
A3s,fold,0.7181
A3s,raise,0.2819
A2s,fold,0.4295
A2s,raise,0.5705
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0002
KQs,raise,0.9998
KJs,raise,1.0
KTs,fold,0.0018
KTs,raise,0.9982
K9s,fold,0.1921
K9s,raise,0.8079
K8s,fold,0.8407
K8s,raise,0.1593
K7s,fold,0.9742
K7s,raise,0.0258
K6s,fold,0.6788
K6s,raise,0.3212
K5s,fold,0.9998
K5s,raise,0.0002
K4s,fold,0.9999
K4s,raise,0.0001
K3s,fold,1.0
K2s,fold,1.0
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0177
QJs,raise,0.9823
QTs,fold,0.1185
QTs,raise,0.8815
Q9s,fold,0.4662
Q9s,raise,0.5338
Q8s,fold,0.9936
Q8s,raise,0.0064
Q7s,fold,1.0
Q6s,fold,0.9998
Q6s,raise,0.0002
Q5s,fold,1.0
Q4s,fold,1.0
Q3s,fold,0.9997
Q3s,raise,0.0003
Q2s,fold,0.9999
Q2s,raise,0.0001
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.0399
QJo,raise,0.9601
JJ,raise,1.0
JTs,fold,0.0237
JTs,raise,0.9763
J9s,fold,0.9051
J9s,raise,0.0949
J8s,fold,1.0
J7s,fold,0.9997
J7s,raise,0.0003
J6s,fold,0.9997
J6s,raise,0.0003
J5s,fold,0.9998
J5s,raise,0.0002
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,0.9998
J2s,raise,0.0002
ATo,raise,1.0
KTo,fold,0.0365
KTo,raise,0.9635
QTo,fold,0.4764
QTo,raise,0.5236
JTo,fold,0.8063
JTo,raise,0.1937
TT,raise,1.0
T9s,fold,0.9999
T9s,raise,0.0001
T8s,fold,0.9994
T8s,raise,0.0006
T7s,fold,1.0
T6s,fold,0.9989
T6s,raise,0.0011
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.0101
A9o,raise,0.9899
K9o,fold,0.0769
K9o,raise,0.9231
Q9o,fold,1.0
J9o,fold,1.0
T9o,fold,0.9998
T9o,raise,0.0002
99,raise,1.0
98s,fold,1.0
97s,fold,0.9999
97s,raise,0.0001
96s,fold,0.9995
96s,raise,0.0005
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.0533
A8o,raise,0.9467
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,1.0
86s,fold,0.9999
86s,raise,0.0001
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,0.9997
82s,raise,0.0003
A7o,fold,0.1764
A7o,raise,0.8236
K7o,fold,1.0
Q7o,fold,0.9999
Q7o,raise,0.0001
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,fold,0.0003
77,raise,0.9997
76s,fold,1.0
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.5011
A6o,raise,0.4989
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
