# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: hj vs3bet @ 40bb
# HRC node: id=1026, seat=3, sequence=FFFRRFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 97.72%
notation,action,freq
AA,jam,1.0
AKs,call,0.255
AKs,jam,0.745
AQs,fold,0.0002
AQs,call,0.6687
AQs,jam,0.3311
AJs,fold,0.0112
AJs,call,0.803
AJs,jam,0.1858
ATs,fold,0.0038
ATs,call,0.7001
ATs,jam,0.2961
A9s,fold,0.0015
A9s,call,0.5936
A9s,jam,0.4049
A8s,fold,0.0448
A8s,call,0.9549
A8s,jam,0.0003
A7s,fold,0.0396
A7s,call,0.9107
A7s,jam,0.0498
A6s,fold,0.3145
A6s,call,0.5327
A6s,jam,0.1528
A5s,fold,0.0046
A5s,call,0.6151
A5s,jam,0.3803
A4s,fold,0.0075
A4s,call,0.9908
A4s,jam,0.0018
A3s,fold,0.0229
A3s,call,0.9716
A3s,jam,0.0054
A2s,fold,0.2487
A2s,call,0.7356
A2s,jam,0.0156
AKo,call,0.7455
AKo,jam,0.2545
KK,call,0.0001
KK,jam,0.9999
KQs,fold,0.1042
KQs,call,0.7025
KQs,jam,0.1932
KJs,fold,0.0018
KJs,call,0.9971
KJs,jam,0.001
KTs,fold,0.0038
KTs,call,0.8418
KTs,jam,0.1544
K9s,fold,0.076
K9s,call,0.9216
K9s,jam,0.0024
K8s,fold,0.0474
K8s,call,0.1247
K8s,jam,0.8279
K7s,fold,0.0394
K7s,call,0.947
K7s,jam,0.0136
K6s,fold,0.0428
K6s,call,0.9507
K6s,jam,0.0065
K5s,fold,0.0898
K5s,call,0.9098
K5s,jam,0.0003
K4s,fold,0.0113
K4s,call,0.9881
K4s,jam,0.0006
AQo,call,0.9961
AQo,jam,0.0039
KQo,fold,0.0005
KQo,call,0.9989
KQo,jam,0.0007
QQ,fold,0.0003
QQ,call,0.3595
QQ,jam,0.6403
QJs,fold,0.0145
QJs,call,0.958
QJs,jam,0.0275
QTs,fold,0.0091
QTs,call,0.9311
QTs,jam,0.0598
Q9s,fold,0.0284
Q9s,call,0.6847
Q9s,jam,0.287
Q8s,fold,0.1069
Q8s,call,0.8928
Q8s,jam,0.0003
Q6s,fold,0.5234
Q6s,call,0.4752
Q6s,jam,0.0015
Q3s,fold,0.1083
Q3s,call,0.8834
Q3s,jam,0.0083
Q2s,fold,0.5708
Q2s,call,0.4289
Q2s,jam,0.0003
AJo,fold,0.0003
AJo,call,0.9982
AJo,jam,0.0015
KJo,call,0.9988
KJo,jam,0.0012
QJo,fold,0.0002
QJo,call,0.9996
QJo,jam,0.0002
JJ,fold,0.0014
JJ,call,0.9949
JJ,jam,0.0037
JTs,fold,0.0171
JTs,call,0.9625
JTs,jam,0.0204
J9s,fold,0.0356
J9s,call,0.9637
J9s,jam,0.0007
J7s,fold,0.331
J7s,call,0.6672
J7s,jam,0.0018
J6s,fold,0.0208
J6s,call,0.9755
J6s,jam,0.0037
J5s,fold,0.0042
J5s,call,0.995
J5s,jam,0.0008
J2s,fold,0.1797
J2s,call,0.8198
J2s,jam,0.0005
ATo,fold,0.001
ATo,call,0.9965
ATo,jam,0.0025
KTo,fold,0.0016
KTo,call,0.9951
KTo,jam,0.0033
QTo,fold,0.0003
QTo,call,0.9015
QTo,jam,0.0981
JTo,fold,0.0028
JTo,call,0.9967
JTo,jam,0.0005
TT,fold,0.0008
TT,call,0.8123
TT,jam,0.1869
T9s,fold,0.2974
T9s,call,0.6975
T9s,jam,0.0051
T8s,fold,0.0547
T8s,call,0.0945
T8s,jam,0.8508
T6s,fold,0.0007
T6s,call,0.9984
T6s,jam,0.0009
A9o,fold,0.0008
A9o,call,0.9988
A9o,jam,0.0003
K9o,fold,0.1343
K9o,call,0.8651
K9o,jam,0.0005
T9o,fold,0.012
T9o,call,0.9879
T9o,jam,0.0001
99,fold,0.0023
99,call,0.9114
99,jam,0.0863
97s,fold,0.0093
97s,call,0.3443
97s,jam,0.6463
96s,fold,0.0959
96s,call,0.7744
96s,jam,0.1296
A8o,fold,0.0043
A8o,call,0.9944
A8o,jam,0.0013
K8o,fold,0.1844
K8o,call,0.8152
K8o,jam,0.0004
88,fold,0.0015
88,call,0.9932
88,jam,0.0053
86s,fold,0.2143
86s,call,0.6662
86s,jam,0.1195
82s,fold,0.4766
82s,call,0.5194
82s,jam,0.004
A7o,fold,0.0181
A7o,call,0.9798
A7o,jam,0.0021
Q7o,fold,0.1235
Q7o,call,0.8765
Q7o,jam,0.0001
77,fold,0.0009
77,call,0.9974
77,jam,0.0016
A6o,fold,0.0574
A6o,call,0.9039
A6o,jam,0.0387
66,fold,0.003
66,call,0.6224
66,jam,0.3747
A5o,fold,0.0125
A5o,call,0.9295
A5o,jam,0.058
55,fold,0.0106
55,call,0.981
55,jam,0.0084
A4o,fold,0.0274
A4o,call,0.9718
A4o,jam,0.0008
44,fold,0.0147
44,call,0.98
44,jam,0.0053
A3o,fold,0.0048
A3o,call,0.995
A3o,jam,0.0002
A2o,fold,0.0047
A2o,call,0.9938
A2o,jam,0.0015
