# poker.academy CE-Symmetric — 40bb vsopen | hero HJ vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,call,0.01
33,fold,0.99
44,call,0.1949
44,fold,0.8051
55,call,0.37
55,fold,0.6051
55,threeBet,0.0249
66,call,0.685
66,fold,0.315
77,call,0.7351
77,threeBet,0.2649
88,call,0.6651
88,threeBet,0.3349
99,call,0.465
99,threeBet,0.535
AA,call,0.0449
AA,threeBet,0.9551
AKs,call,0.0199
AKs,threeBet,0.9801
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.53
A9s,threeBet,0.47
A8s,call,0.2749
A8s,threeBet,0.7251
A7s,fold,0.8602
A7s,threeBet,0.1398
A6s,fold,0.4199
A6s,threeBet,0.5801
A5s,call,0.4301
A5s,threeBet,0.5699
A4s,call,0.2098
A4s,fold,0.7902
AKo,call,0.1149
AKo,threeBet,0.8851
KK,call,0.01
KK,threeBet,0.99
KQs,call,1.0
KJs,call,0.8851
KJs,threeBet,0.1149
KTs,call,0.4949
KTs,threeBet,0.5051
K9s,threeBet,1.0
AQo,call,0.4351
AQo,threeBet,0.5649
KQo,call,0.295
KQo,threeBet,0.705
QQ,call,0.0299
QQ,threeBet,0.9701
QJs,call,0.61
QJs,threeBet,0.39
QTs,call,0.8001
QTs,threeBet,0.1999
AJo,call,0.2549
AJo,threeBet,0.7451
KJo,fold,0.9451
KJo,threeBet,0.0549
JJ,call,0.0999
JJ,threeBet,0.9001
JTs,call,0.38
JTs,threeBet,0.62
J9s,fold,0.9001
J9s,threeBet,0.0999
ATo,fold,0.375
ATo,threeBet,0.625
TT,call,0.3399
TT,threeBet,0.6601
T9s,call,0.4849
T9s,threeBet,0.5151
98s,call,0.1999
98s,fold,0.8001
76s,call,0.0449
76s,fold,0.9551
