# poker.academy CE-Symmetric — 40bb unopened | LJ first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,fold,0.6601
44,raise,0.3399
55,raise,1.0
66,raise,1.0
77,raise,1.0
88,raise,1.0
99,raise,1.0
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,raise,1.0
A7s,raise,1.0
A6s,raise,1.0
A5s,raise,1.0
A4s,raise,1.0
A3s,raise,1.0
A2s,raise,1.0
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,raise,1.0
K8s,raise,1.0
K7s,raise,1.0
K6s,raise,1.0
K5s,fold,0.8951
K5s,raise,0.1049
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,raise,1.0
QTs,raise,1.0
Q9s,raise,1.0
Q8s,raise,1.0
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.1249
QJo,raise,0.8751
JJ,raise,1.0
JTs,raise,1.0
J9s,raise,1.0
J8s,raise,1.0
ATo,raise,1.0
KTo,raise,1.0
QTo,fold,0.385
QTo,raise,0.615
JTo,fold,0.4199
JTo,raise,0.5801
TT,raise,1.0
T9s,raise,1.0
T8s,raise,1.0
T7s,fold,0.675
T7s,raise,0.325
A9o,raise,1.0
98s,raise,1.0
97s,fold,0.455
97s,raise,0.545
87s,raise,1.0
76s,raise,1.0
65s,fold,0.245
65s,raise,0.755
54s,fold,0.6349
54s,raise,0.3651
