# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: lj vs3bet @ 40bb
# HRC node: id=3927, seat=2, sequence=FFRRFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 96.69%
notation,action,freq
AA,fold,0.0001
AA,call,0.0003
AA,jam,0.9997
AKs,fold,0.0069
AKs,call,0.4643
AKs,jam,0.5288
AQs,fold,0.0207
AQs,call,0.9433
AQs,jam,0.036
AJs,fold,0.0298
AJs,call,0.7334
AJs,jam,0.2367
ATs,fold,0.0028
ATs,call,0.9968
ATs,jam,0.0004
A9s,fold,0.0083
A9s,call,0.9874
A9s,jam,0.0044
A8s,fold,0.0864
A8s,call,0.7987
A8s,jam,0.1149
A7s,fold,0.0675
A7s,call,0.8648
A7s,jam,0.0677
A6s,fold,0.2347
A6s,call,0.6834
A6s,jam,0.0819
A5s,fold,0.1274
A5s,call,0.3615
A5s,jam,0.5111
A4s,fold,0.1999
A4s,call,0.4752
A4s,jam,0.3249
A3s,fold,0.4831
A3s,call,0.5025
A3s,jam,0.0143
A2s,fold,0.3878
A2s,call,0.4197
A2s,jam,0.1925
AKo,fold,0.0005
AKo,call,0.5487
AKo,jam,0.4508
KK,jam,1.0
KQs,fold,0.0159
KQs,call,0.9808
KQs,jam,0.0033
KJs,fold,0.0041
KJs,call,0.9873
KJs,jam,0.0086
KTs,fold,0.1252
KTs,call,0.5244
KTs,jam,0.3504
K9s,fold,0.0309
K9s,call,0.9519
K9s,jam,0.0172
K8s,fold,0.2434
K8s,call,0.7551
K8s,jam,0.0014
K7s,fold,0.4851
K7s,call,0.513
K7s,jam,0.0019
K6s,fold,0.1304
K6s,call,0.8402
K6s,jam,0.0294
K5s,fold,0.2234
K5s,call,0.7755
K5s,jam,0.0011
K4s,fold,0.0922
K4s,call,0.9035
K4s,jam,0.0043
K2s,fold,0.1203
K2s,call,0.8782
K2s,jam,0.0015
AQo,call,0.9749
AQo,jam,0.0251
KQo,fold,0.0009
KQo,call,0.9987
KQo,jam,0.0004
QQ,call,0.8645
QQ,jam,0.1355
QJs,fold,0.0174
QJs,call,0.8175
QJs,jam,0.1651
QTs,fold,0.0138
QTs,call,0.982
QTs,jam,0.0042
Q9s,fold,0.2842
Q9s,call,0.5749
Q9s,jam,0.1409
Q8s,fold,0.3788
Q8s,call,0.6105
Q8s,jam,0.0107
Q7s,fold,0.2358
Q7s,call,0.7622
Q7s,jam,0.0019
Q6s,fold,0.4283
Q6s,call,0.5495
Q6s,jam,0.0222
Q4s,fold,0.0736
Q4s,call,0.9203
Q4s,jam,0.0061
Q3s,fold,0.324
Q3s,call,0.5164
Q3s,jam,0.1596
Q2s,fold,0.0398
Q2s,call,0.9567
Q2s,jam,0.0035
AJo,call,0.9963
AJo,jam,0.0037
KJo,fold,0.0028
KJo,call,0.9967
KJo,jam,0.0005
QJo,fold,0.0098
QJo,call,0.9897
QJo,jam,0.0005
JJ,fold,0.0008
JJ,call,0.922
JJ,jam,0.0771
JTs,fold,0.0081
JTs,call,0.9858
JTs,jam,0.0062
J9s,fold,0.1133
J9s,call,0.6706
J9s,jam,0.2161
J8s,fold,0.0963
J8s,call,0.9026
J8s,jam,0.0011
J7s,fold,0.6138
J7s,call,0.382
J7s,jam,0.0042
J6s,fold,0.2857
J6s,call,0.4682
J6s,jam,0.2461
J5s,fold,0.5877
J5s,call,0.4081
J5s,jam,0.0042
ATo,fold,0.0056
ATo,call,0.9856
ATo,jam,0.0088
KTo,fold,0.0024
KTo,call,0.9972
KTo,jam,0.0004
QTo,fold,0.0148
QTo,call,0.9752
QTo,jam,0.01
JTo,fold,0.0088
JTo,call,0.9893
JTo,jam,0.0019
TT,fold,0.0006
TT,call,0.9261
TT,jam,0.0733
T9s,fold,0.0067
T9s,call,0.9928
T9s,jam,0.0005
T8s,fold,0.0196
T8s,call,0.9758
T8s,jam,0.0046
T6s,fold,0.4981
T6s,call,0.4941
T6s,jam,0.0078
T5s,fold,0.4875
T5s,call,0.5124
T5s,jam,0.0001
A9o,fold,0.0124
A9o,call,0.9854
A9o,jam,0.0022
K9o,fold,0.0142
K9o,call,0.9802
K9o,jam,0.0056
J9o,fold,0.0824
J9o,call,0.9166
J9o,jam,0.001
99,fold,0.0012
99,call,0.9965
99,jam,0.0023
97s,fold,0.7334
97s,call,0.2642
97s,jam,0.0024
96s,fold,0.2148
96s,call,0.7819
96s,jam,0.0033
A8o,fold,0.0005
A8o,call,0.9982
A8o,jam,0.0013
K8o,fold,0.0426
K8o,call,0.9571
K8o,jam,0.0004
88,fold,0.0008
88,call,0.9685
88,jam,0.0307
87s,fold,0.406
87s,call,0.5783
87s,jam,0.0157
86s,fold,0.1536
86s,call,0.8395
86s,jam,0.0069
A7o,fold,0.6896
A7o,call,0.3103
A7o,jam,0.0001
Q7o,fold,0.6467
Q7o,call,0.3496
Q7o,jam,0.0037
77,fold,0.0029
77,call,0.9956
77,jam,0.0015
76s,fold,0.1009
76s,call,0.8757
76s,jam,0.0234
A6o,fold,0.257
A6o,call,0.7375
A6o,jam,0.0055
K6o,fold,0.1897
K6o,call,0.8102
K6o,jam,0.0001
66,fold,0.0046
66,call,0.983
66,jam,0.0124
A5o,fold,0.3859
A5o,call,0.6127
A5o,jam,0.0013
55,fold,0.0359
55,call,0.9413
55,jam,0.0228
A4o,fold,0.0394
A4o,call,0.9568
A4o,jam,0.0038
44,fold,0.0877
44,call,0.4315
44,jam,0.4807
A3o,fold,0.2754
A3o,call,0.72
A3o,jam,0.0045
A2o,fold,0.0755
A2o,call,0.9206
A2o,jam,0.004
K2o,fold,0.3502
K2o,call,0.6471
K2o,jam,0.0028
22,fold,0.0186
22,call,0.9808
22,jam,0.0005
