# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: lj vsopen @ 40bb
# HRC node: id=14545, seat=2, sequence=RF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.85%
notation,action,freq
AA,raise,0.9868
AA,jam,0.0132
AKs,call,0.0588
AKs,raise,0.1188
AKs,jam,0.8224
AQs,call,0.8506
AQs,raise,0.0919
AQs,jam,0.0575
AJs,call,0.6214
AJs,raise,0.2035
AJs,jam,0.1751
ATs,fold,0.0043
ATs,call,0.3011
ATs,raise,0.4347
ATs,jam,0.2599
A9s,fold,0.0033
A9s,call,0.9875
A9s,raise,0.0028
A9s,jam,0.0065
A8s,fold,0.781
A8s,call,0.1428
A8s,raise,0.004
A8s,jam,0.0723
A7s,fold,0.8371
A7s,call,0.1477
A7s,raise,0.0012
A7s,jam,0.014
A6s,fold,0.9844
A6s,call,0.0081
A6s,raise,0.0005
A6s,jam,0.007
A5s,fold,0.9597
A5s,call,0.0273
A5s,raise,0.0008
A5s,jam,0.0122
A4s,fold,0.9486
A4s,call,0.0407
A4s,raise,0.0009
A4s,jam,0.0099
A3s,fold,0.9543
A3s,call,0.0352
A3s,raise,0.0011
A3s,jam,0.0094
A2s,fold,0.9528
A2s,call,0.0466
A2s,raise,0.0005
A2s,jam,0.0002
AKo,call,0.3063
AKo,raise,0.2334
AKo,jam,0.4603
KK,call,0.2344
KK,raise,0.2736
KK,jam,0.492
KQs,fold,0.0605
KQs,call,0.4645
KQs,raise,0.0644
KQs,jam,0.4105
KJs,fold,0.4363
KJs,call,0.4638
KJs,raise,0.0847
KJs,jam,0.0152
KTs,fold,0.5846
KTs,call,0.4121
KTs,raise,0.0005
KTs,jam,0.0028
K9s,fold,0.7601
K9s,call,0.1862
K9s,raise,0.0436
K9s,jam,0.0101
K8s,fold,0.948
K8s,call,0.046
K8s,raise,0.0036
K8s,jam,0.0024
K7s,fold,0.9809
K7s,call,0.0123
K7s,raise,0.0011
K7s,jam,0.0057
K6s,fold,0.9516
K6s,call,0.0417
K6s,raise,0.0002
K6s,jam,0.0064
K5s,fold,0.8432
K5s,call,0.1553
K5s,jam,0.0015
K4s,fold,0.9983
K4s,raise,0.0001
K4s,jam,0.0016
K3s,fold,0.9833
K3s,call,0.012
K3s,raise,0.0018
K3s,jam,0.0028
K2s,fold,0.9944
K2s,call,0.0001
K2s,raise,0.0048
K2s,jam,0.0007
AQo,call,0.0001
AQo,raise,0.9742
AQo,jam,0.0257
KQo,fold,0.0006
KQo,call,0.9911
KQo,raise,0.0027
KQo,jam,0.0056
QQ,call,0.1625
QQ,raise,0.4105
QQ,jam,0.4271
QJs,fold,0.0099
QJs,call,0.8497
QJs,raise,0.0018
QJs,jam,0.1386
QTs,fold,0.7658
QTs,call,0.0539
QTs,raise,0.1336
QTs,jam,0.0468
Q9s,fold,0.9672
Q9s,call,0.03
Q9s,raise,0.0002
Q9s,jam,0.0027
Q8s,fold,0.9171
Q8s,call,0.056
Q8s,raise,0.0229
Q8s,jam,0.0041
Q7s,fold,0.9835
Q7s,call,0.0157
Q7s,raise,0.0006
Q7s,jam,0.0002
Q6s,fold,0.9786
Q6s,call,0.0212
Q6s,jam,0.0002
Q5s,fold,0.9954
Q5s,call,0.0008
Q5s,raise,0.0005
Q5s,jam,0.0033
Q4s,fold,0.9997
Q4s,call,0.0002
Q4s,raise,0.0001
Q3s,fold,0.9915
Q3s,call,0.0071
Q3s,raise,0.0001
Q3s,jam,0.0013
Q2s,fold,0.9913
Q2s,call,0.0086
Q2s,jam,0.0001
AJo,fold,0.281
AJo,call,0.6071
AJo,raise,0.1016
AJo,jam,0.0103
KJo,fold,0.7733
KJo,call,0.1371
KJo,raise,0.0868
KJo,jam,0.0028
QJo,fold,0.9705
QJo,call,0.0247
QJo,raise,0.0013
QJo,jam,0.0035
JJ,call,0.9744
JJ,jam,0.0256
JTs,fold,0.8414
JTs,call,0.1439
JTs,raise,0.0137
JTs,jam,0.001
J9s,fold,0.5641
J9s,call,0.4353
J9s,jam,0.0005
J8s,fold,0.975
J8s,raise,0.0244
J8s,jam,0.0005
J7s,fold,0.9957
J7s,call,0.0004
J7s,raise,0.0029
J7s,jam,0.001
J6s,fold,0.9718
J6s,call,0.0251
J6s,raise,0.003
J6s,jam,0.0001
J5s,fold,0.9828
J5s,call,0.0134
J5s,raise,0.0001
J5s,jam,0.0037
J4s,fold,0.9973
J4s,call,0.0024
J4s,raise,0.0002
J4s,jam,0.0001
J3s,fold,0.9976
J3s,call,0.0008
J3s,raise,0.0015
J2s,fold,0.9951
J2s,call,0.0048
J2s,raise,0.0001
ATo,fold,0.8538
ATo,call,0.1319
ATo,raise,0.006
ATo,jam,0.0083
KTo,fold,0.9744
KTo,call,0.0177
KTo,raise,0.0045
KTo,jam,0.0034
QTo,fold,0.9485
QTo,call,0.0444
QTo,raise,0.005
QTo,jam,0.002
JTo,fold,0.9889
JTo,call,0.0078
JTo,raise,0.0027
JTo,jam,0.0005
TT,fold,0.0001
TT,call,0.3574
TT,raise,0.2491
TT,jam,0.3934
T9s,fold,0.8026
T9s,call,0.1931
T9s,raise,0.0034
T9s,jam,0.0009
T8s,fold,0.9855
T8s,call,0.0144
T8s,jam,0.0001
T7s,fold,0.9971
T7s,call,0.0023
T7s,raise,0.0005
T6s,fold,0.9975
T6s,call,0.0019
T6s,jam,0.0006
T5s,fold,0.9926
T5s,call,0.0053
T5s,raise,0.0012
T5s,jam,0.0009
T4s,fold,0.9993
T4s,call,0.0002
T4s,raise,0.0004
T4s,jam,0.0001
T3s,fold,0.9968
T3s,call,0.0027
T3s,raise,0.0004
T3s,jam,0.0001
T2s,fold,0.9949
T2s,call,0.0048
T2s,raise,0.0002
T2s,jam,0.0001
A9o,fold,0.9387
A9o,call,0.053
A9o,raise,0.0065
A9o,jam,0.0018
K9o,fold,0.9897
K9o,call,0.008
K9o,raise,0.002
K9o,jam,0.0003
Q9o,fold,0.9997
Q9o,call,0.0002
Q9o,raise,0.0001
J9o,fold,0.9902
J9o,call,0.0094
J9o,raise,0.0003
J9o,jam,0.0001
T9o,fold,0.9906
T9o,call,0.0039
T9o,raise,0.0046
T9o,jam,0.0008
99,call,0.891
99,raise,0.0408
99,jam,0.0682
98s,fold,0.9866
98s,call,0.0088
98s,raise,0.0028
98s,jam,0.0018
97s,fold,0.9852
97s,call,0.0126
97s,raise,0.001
97s,jam,0.0012
96s,fold,0.9964
96s,call,0.0014
96s,raise,0.0022
95s,fold,0.9964
95s,call,0.0034
95s,raise,0.0002
95s,jam,0.0001
94s,fold,0.9721
94s,call,0.026
94s,raise,0.0015
94s,jam,0.0004
93s,fold,0.9998
93s,call,0.0002
92s,fold,0.9935
92s,call,0.0063
92s,raise,0.0001
92s,jam,0.0001
A8o,fold,0.9916
A8o,call,0.0023
A8o,raise,0.0052
A8o,jam,0.001
K8o,fold,0.9992
K8o,call,0.0006
K8o,jam,0.0003
Q8o,fold,0.9978
Q8o,call,0.0018
Q8o,raise,0.0003
Q8o,jam,0.0001
J8o,fold,0.9999
J8o,jam,0.0001
T8o,fold,0.9973
T8o,call,0.0023
T8o,jam,0.0003
98o,fold,0.9998
98o,jam,0.0001
88,call,0.4777
88,raise,0.5062
88,jam,0.0161
87s,fold,0.999
87s,call,0.0007
87s,jam,0.0002
86s,fold,0.9654
86s,call,0.0332
86s,jam,0.0014
85s,fold,0.9987
85s,call,0.0003
85s,raise,0.0001
85s,jam,0.0009
84s,fold,0.9996
84s,raise,0.0004
83s,fold,0.9987
83s,call,0.0009
83s,raise,0.0001
83s,jam,0.0003
82s,fold,0.9989
82s,call,0.001
A7o,fold,0.9927
A7o,call,0.0071
A7o,raise,0.0001
A7o,jam,0.0001
K7o,fold,0.9996
K7o,call,0.0003
K7o,jam,0.0001
Q7o,fold,1.0
J7o,fold,0.9996
J7o,call,0.0001
J7o,raise,0.0001
J7o,jam,0.0001
T7o,fold,0.9996
T7o,call,0.0004
97o,fold,0.9984
97o,call,0.0015
87o,fold,0.9997
87o,raise,0.0001
87o,jam,0.0002
77,fold,0.0019
77,call,0.9697
77,raise,0.0081
77,jam,0.0204
76s,fold,0.9336
76s,call,0.0631
76s,raise,0.0003
76s,jam,0.003
75s,fold,0.9932
75s,call,0.0041
75s,raise,0.0018
75s,jam,0.0008
74s,fold,0.9997
74s,call,0.0002
74s,jam,0.0001
73s,fold,0.9991
73s,call,0.0008
73s,raise,0.0001
72s,fold,0.9998
72s,raise,0.0002
A6o,fold,0.9979
A6o,call,0.0017
A6o,raise,0.0004
A6o,jam,0.0001
K6o,fold,0.9976
K6o,call,0.0024
Q6o,fold,0.9999
J6o,fold,0.9996
J6o,call,0.0002
J6o,jam,0.0001
T6o,fold,0.9996
T6o,call,0.0003
96o,fold,1.0
86o,fold,0.9996
86o,call,0.0004
76o,fold,0.9999
76o,raise,0.0001
66,fold,0.7718
66,call,0.1949
66,raise,0.0298
66,jam,0.0035
65s,fold,0.9998
65s,raise,0.0001
64s,fold,0.9999
63s,fold,0.9988
63s,call,0.0006
63s,raise,0.0001
63s,jam,0.0005
62s,fold,0.9994
62s,call,0.0005
62s,raise,0.0001
A5o,fold,0.9913
A5o,call,0.0046
A5o,raise,0.004
A5o,jam,0.0002
K5o,fold,0.9997
K5o,call,0.0003
Q5o,fold,0.9999
Q5o,jam,0.0001
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,1.0
95o,fold,1.0
85o,fold,0.9999
85o,call,0.0001
75o,fold,0.9995
75o,call,0.0004
65o,fold,1.0
55,fold,0.9672
55,call,0.0162
55,raise,0.0053
55,jam,0.0113
54s,fold,0.7712
54s,call,0.2257
54s,raise,0.0007
54s,jam,0.0023
53s,fold,0.9916
53s,call,0.0082
53s,raise,0.0001
52s,fold,0.9998
52s,call,0.0001
52s,raise,0.0001
A4o,fold,0.9985
A4o,call,0.0011
A4o,raise,0.0002
A4o,jam,0.0002
K4o,fold,0.9999
K4o,call,0.0001
Q4o,fold,0.9999
Q4o,call,0.0001
J4o,fold,0.9996
J4o,call,0.0003
J4o,jam,0.0001
T4o,fold,1.0
94o,fold,0.9999
84o,fold,0.999
84o,call,0.001
74o,fold,1.0
64o,fold,0.9998
64o,call,0.0001
64o,raise,0.0002
54o,fold,0.9999
54o,call,0.0001
44,fold,0.9841
44,call,0.0043
44,raise,0.0091
44,jam,0.0025
43s,fold,0.9945
43s,call,0.0037
43s,jam,0.0017
42s,fold,0.9993
42s,call,0.0003
42s,raise,0.0002
42s,jam,0.0002
A3o,fold,0.9995
A3o,call,0.0001
A3o,raise,0.0001
A3o,jam,0.0003
K3o,fold,0.9997
K3o,call,0.0001
K3o,raise,0.0001
Q3o,fold,0.9992
Q3o,call,0.0008
J3o,fold,0.9999
J3o,raise,0.0001
T3o,fold,1.0
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,0.9999
53o,call,0.0001
43o,fold,1.0
33,fold,0.9981
33,call,0.0009
33,raise,0.001
32s,fold,0.9997
32s,raise,0.0002
32s,jam,0.0001
A2o,fold,0.9977
A2o,call,0.0013
A2o,raise,0.0001
A2o,jam,0.0009
K2o,fold,0.9999
K2o,call,0.0001
Q2o,fold,1.0
J2o,fold,0.9997
J2o,call,0.0003
J2o,jam,0.0001
T2o,fold,1.0
92o,fold,1.0
82o,fold,0.9999
82o,call,0.0001
72o,fold,0.9998
72o,raise,0.0002
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.9912
22,call,0.0083
22,raise,0.0004
22,jam,0.0001
