# poker.academy CE-Symmetric — 40bb unopened | SB first-in
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,limp,0.8751
22,raise,0.1249
33,limp,0.845
33,raise,0.155
44,limp,0.7501
44,raise,0.2499
55,limp,0.6651
55,raise,0.3349
66,limp,0.71
66,raise,0.29
77,limp,0.905
77,raise,0.095
88,limp,0.78
88,raise,0.22
99,limp,0.1799
99,raise,0.8201
AA,raise,1.0
AKs,raise,1.0
AQs,limp,0.1749
AQs,raise,0.8251
AJs,limp,0.1348
AJs,raise,0.8652
ATs,raise,1.0
A9s,raise,1.0
A8s,raise,1.0
A7s,raise,1.0
A6s,limp,0.1899
A6s,raise,0.8101
A5s,limp,0.46
A5s,raise,0.54
A4s,limp,0.6399
A4s,raise,0.3601
A3s,limp,0.8101
A3s,raise,0.1899
A2s,limp,1.0
AKo,limp,0.3601
AKo,raise,0.6399
KK,raise,1.0
KQs,limp,0.2599
KQs,raise,0.7401
KJs,raise,1.0
KTs,raise,1.0
K9s,limp,0.84
K9s,raise,0.16
K8s,limp,0.3651
K8s,raise,0.6349
K7s,limp,0.4
K7s,raise,0.6
K6s,limp,0.7951
K6s,raise,0.2049
K5s,limp,1.0
K4s,limp,1.0
K3s,limp,1.0
K2s,limp,1.0
AQo,limp,1.0
KQo,limp,0.1799
KQo,raise,0.8201
QQ,limp,0.1149
QQ,raise,0.8851
QJs,limp,0.1049
QJs,raise,0.8951
QTs,limp,0.8751
QTs,raise,0.1249
Q9s,limp,0.38
Q9s,raise,0.62
Q8s,limp,0.395
Q8s,raise,0.605
Q7s,limp,1.0
Q6s,limp,1.0
Q5s,limp,1.0
Q4s,limp,1.0
Q3s,limp,1.0
Q2s,limp,1.0
AJo,limp,1.0
KJo,limp,0.3449
KJo,raise,0.6551
QJo,limp,0.535
QJo,raise,0.465
JJ,limp,0.1799
JJ,raise,0.8201
JTs,limp,0.3651
JTs,raise,0.6349
J9s,raise,1.0
J8s,limp,0.5699
J8s,raise,0.4301
J7s,limp,1.0
J6s,limp,1.0
J5s,limp,0.8951
J5s,raise,0.1049
J4s,limp,0.8652
J4s,raise,0.1348
J3s,limp,0.315
J3s,raise,0.685
J2s,limp,0.2649
J2s,raise,0.7351
ATo,limp,0.48
ATo,raise,0.52
KTo,limp,0.5901
KTo,raise,0.4099
QTo,limp,0.4949
QTo,raise,0.5051
JTo,limp,0.6349
JTo,raise,0.3651
TT,limp,0.245
TT,raise,0.755
T9s,limp,0.325
T9s,raise,0.675
T8s,raise,1.0
T7s,limp,1.0
T6s,limp,1.0
T5s,limp,0.91
T5s,raise,0.09
T4s,limp,0.1299
T4s,raise,0.8701
T3s,limp,0.61
T3s,raise,0.39
T2s,limp,0.2949
T2s,raise,0.7051
A9o,limp,0.4149
A9o,raise,0.5851
K9o,limp,0.3349
K9o,raise,0.6651
Q9o,limp,0.7301
Q9o,raise,0.2699
J9o,limp,0.8201
J9o,raise,0.1799
T9o,limp,0.775
T9o,raise,0.225
98s,limp,1.0
97s,limp,1.0
96s,limp,0.9402
96s,raise,0.0598
95s,limp,0.315
95s,raise,0.685
94s,raise,1.0
93s,limp,0.615
93s,raise,0.385
92s,limp,1.0
A8o,limp,0.3651
A8o,raise,0.6349
K8o,limp,0.6
K8o,raise,0.4
Q8o,limp,0.61
Q8o,raise,0.39
J8o,limp,0.5151
J8o,raise,0.4849
T8o,limp,0.7451
T8o,raise,0.2549
98o,limp,0.5
98o,raise,0.5
87s,limp,0.5901
87s,raise,0.4099
86s,limp,0.48
86s,raise,0.52
85s,limp,0.6501
85s,raise,0.3499
84s,raise,1.0
83s,limp,1.0
82s,limp,1.0
A7o,limp,0.55
A7o,raise,0.45
K7o,limp,0.6601
K7o,raise,0.3399
Q7o,limp,0.5751
Q7o,raise,0.4249
J7o,limp,0.465
J7o,raise,0.535
T7o,limp,0.3
T7o,raise,0.7
97o,limp,0.47
97o,raise,0.53
87o,limp,0.68
87o,raise,0.32
76s,limp,0.77
76s,raise,0.23
75s,limp,0.545
75s,raise,0.455
74s,limp,1.0
73s,limp,1.0
72s,limp,1.0
A6o,limp,0.7251
A6o,raise,0.2749
K6o,limp,0.545
K6o,raise,0.455
Q6o,limp,0.3499
Q6o,raise,0.6501
J6o,limp,1.0
T6o,limp,0.8051
T6o,raise,0.1949
96o,limp,1.0
86o,limp,0.8851
86o,raise,0.1149
76o,limp,0.78
76o,raise,0.22
65s,limp,0.15
65s,raise,0.85
64s,limp,0.5151
64s,raise,0.4849
63s,limp,0.22
63s,raise,0.78
62s,limp,1.0
A5o,limp,0.6399
A5o,raise,0.3601
K5o,limp,0.3601
K5o,raise,0.6399
Q5o,limp,0.7201
Q5o,raise,0.2799
J5o,limp,1.0
T5o,limp,1.0
95o,limp,1.0
85o,limp,1.0
75o,limp,1.0
65o,limp,1.0
54s,limp,0.165
54s,raise,0.835
53s,limp,0.5101
53s,raise,0.4899
52s,limp,0.0899
52s,raise,0.9101
A4o,limp,0.6451
A4o,raise,0.3549
K4o,limp,1.0
Q4o,limp,1.0
J4o,limp,1.0
T4o,limp,1.0
54o,limp,1.0
43s,limp,0.5
43s,raise,0.5
42s,limp,0.335
42s,raise,0.665
A3o,limp,0.8851
A3o,raise,0.1149
K3o,limp,1.0
Q3o,limp,1.0
J3o,limp,1.0
T3o,fold,0.7201
T3o,limp,0.2799
32s,limp,1.0
A2o,limp,0.7401
A2o,raise,0.2599
K2o,limp,1.0
Q2o,limp,1.0
J2o,fold,0.53
J2o,limp,0.47
