# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb vs3bet @ 40bb
# HRC node: id=13, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 84.66%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0131
AKs,call,0.1202
AKs,jam,0.8667
AQs,fold,0.0667
AQs,call,0.7044
AQs,jam,0.2289
AJs,fold,0.0046
AJs,call,0.7166
AJs,jam,0.2788
ATs,fold,0.0256
ATs,call,0.9682
ATs,jam,0.0062
A9s,fold,0.2008
A9s,call,0.7608
A9s,jam,0.0384
A8s,fold,0.0746
A8s,call,0.2407
A8s,jam,0.6847
A7s,fold,0.0218
A7s,call,0.9439
A7s,jam,0.0343
A6s,fold,0.0784
A6s,call,0.9212
A6s,jam,0.0004
A5s,fold,0.115
A5s,call,0.4253
A5s,jam,0.4597
A4s,fold,0.1761
A4s,call,0.4467
A4s,jam,0.3772
A3s,fold,0.1222
A3s,call,0.4299
A3s,jam,0.4479
A2s,fold,0.4708
A2s,call,0.4313
A2s,jam,0.0978
AKo,call,0.0127
AKo,jam,0.9873
KK,jam,0.9999
KQs,fold,0.0785
KQs,call,0.8386
KQs,jam,0.0829
KJs,fold,0.0745
KJs,call,0.8866
KJs,jam,0.0388
KTs,fold,0.1976
KTs,call,0.7836
KTs,jam,0.0188
K9s,fold,0.2103
K9s,call,0.596
K9s,jam,0.1937
K8s,fold,0.3962
K8s,call,0.3567
K8s,jam,0.2471
K7s,fold,0.1246
K7s,call,0.4102
K7s,jam,0.4652
K6s,fold,0.1693
K6s,call,0.4852
K6s,jam,0.3455
K5s,fold,0.4635
K5s,call,0.5169
K5s,jam,0.0196
K4s,fold,0.3775
K4s,call,0.614
K4s,jam,0.0085
K2s,fold,0.5747
K2s,call,0.4094
K2s,jam,0.0158
AQo,fold,0.0001
AQo,call,0.0001
AQo,jam,0.9998
KQo,fold,0.0743
KQo,call,0.6133
KQo,jam,0.3123
QQ,call,0.0001
QQ,jam,0.9999
QJs,fold,0.3076
QJs,call,0.5486
QJs,jam,0.1437
QTs,fold,0.0302
QTs,call,0.953
QTs,jam,0.0169
Q9s,fold,0.0159
Q9s,call,0.273
Q9s,jam,0.711
Q8s,fold,0.3585
Q8s,call,0.6368
Q8s,jam,0.0047
Q7s,fold,0.2546
Q7s,call,0.7447
Q7s,jam,0.0007
Q6s,fold,0.2907
Q6s,call,0.689
Q6s,jam,0.0203
Q5s,fold,0.396
Q5s,call,0.6036
Q5s,jam,0.0004
Q4s,fold,0.5452
Q4s,call,0.3984
Q4s,jam,0.0565
Q3s,fold,0.6955
Q3s,call,0.3044
AJo,fold,0.0024
AJo,call,0.5731
AJo,jam,0.4244
KJo,fold,0.0049
KJo,call,0.9864
KJo,jam,0.0087
QJo,fold,0.0954
QJo,call,0.8868
QJo,jam,0.0178
JJ,fold,0.0001
JJ,call,0.1991
JJ,jam,0.8008
JTs,fold,0.6252
JTs,call,0.3551
JTs,jam,0.0197
J9s,fold,0.2564
J9s,call,0.7327
J9s,jam,0.0109
J8s,fold,0.1059
J8s,call,0.869
J8s,jam,0.025
J7s,fold,0.1401
J7s,call,0.4935
J7s,jam,0.3664
J6s,fold,0.5989
J6s,call,0.3799
J6s,jam,0.0212
J5s,fold,0.3768
J5s,call,0.5432
J5s,jam,0.0801
J4s,fold,0.2826
J4s,call,0.5846
J4s,jam,0.1328
J3s,fold,0.4319
J3s,call,0.566
J3s,jam,0.0021
J2s,fold,0.038
J2s,call,0.9579
J2s,jam,0.0041
ATo,fold,0.0001
ATo,call,0.8465
ATo,jam,0.1535
KTo,fold,0.2427
KTo,call,0.701
KTo,jam,0.0564
QTo,fold,0.5774
QTo,call,0.4137
QTo,jam,0.0089
JTo,fold,0.6229
JTo,call,0.3715
JTo,jam,0.0055
TT,fold,0.0004
TT,call,0.601
TT,jam,0.3986
T9s,fold,0.1068
T9s,call,0.8535
T9s,jam,0.0397
T8s,fold,0.4967
T8s,call,0.4897
T8s,jam,0.0136
T7s,fold,0.0764
T7s,call,0.9227
T7s,jam,0.0009
T6s,fold,0.1101
T6s,call,0.8899
T5s,fold,0.5868
T5s,call,0.3537
T5s,jam,0.0595
T4s,fold,0.7184
T4s,call,0.2752
T4s,jam,0.0064
T3s,fold,0.5701
T3s,call,0.4199
T3s,jam,0.01
T2s,fold,0.4891
T2s,call,0.5097
T2s,jam,0.0012
A9o,fold,0.1323
A9o,call,0.4859
A9o,jam,0.3819
K9o,fold,0.0659
K9o,call,0.9329
K9o,jam,0.0012
Q9o,fold,0.0115
Q9o,call,0.9883
Q9o,jam,0.0003
J9o,fold,0.2462
J9o,call,0.7533
J9o,jam,0.0005
T9o,fold,0.5174
T9o,call,0.4634
T9o,jam,0.0191
99,fold,0.0107
99,call,0.9413
99,jam,0.048
98s,fold,0.399
98s,call,0.5875
98s,jam,0.0136
97s,fold,0.439
97s,call,0.5599
97s,jam,0.0011
96s,fold,0.1682
96s,call,0.541
96s,jam,0.2908
95s,fold,0.1875
95s,call,0.7731
95s,jam,0.0394
94s,fold,0.2955
94s,call,0.6922
94s,jam,0.0123
92s,fold,0.4838
92s,call,0.5083
92s,jam,0.0078
A8o,fold,0.5491
A8o,call,0.375
A8o,jam,0.0758
K8o,fold,0.0033
K8o,call,0.9967
Q8o,fold,0.0607
Q8o,call,0.9332
Q8o,jam,0.0061
J8o,fold,0.1665
J8o,call,0.8222
J8o,jam,0.0113
T8o,fold,0.276
T8o,call,0.7071
T8o,jam,0.0169
88,fold,0.0299
88,call,0.357
88,jam,0.613
86s,fold,0.507
86s,call,0.4613
86s,jam,0.0317
A7o,fold,0.2176
A7o,call,0.7614
A7o,jam,0.0211
K7o,fold,0.2717
K7o,call,0.7099
K7o,jam,0.0185
Q7o,fold,0.4026
Q7o,call,0.5972
Q7o,jam,0.0002
J7o,fold,0.2594
J7o,call,0.7287
J7o,jam,0.0119
77,fold,0.1666
77,call,0.7283
77,jam,0.1051
76s,fold,0.7647
76s,call,0.2277
76s,jam,0.0076
75s,fold,0.3537
75s,call,0.5531
75s,jam,0.0932
73s,fold,0.2071
73s,call,0.591
73s,jam,0.2019
72s,fold,0.5931
72s,call,0.4034
72s,jam,0.0035
A6o,fold,0.2095
A6o,call,0.7884
A6o,jam,0.0021
K6o,fold,0.1462
K6o,call,0.8468
K6o,jam,0.007
Q6o,fold,0.0311
Q6o,call,0.9617
Q6o,jam,0.0072
96o,fold,0.111
96o,call,0.8712
96o,jam,0.0177
66,fold,0.0481
66,call,0.8844
66,jam,0.0675
65s,fold,0.4119
65s,call,0.5175
65s,jam,0.0706
64s,fold,0.4085
64s,call,0.5483
64s,jam,0.0432
63s,fold,0.3688
63s,call,0.6305
63s,jam,0.0007
A5o,fold,0.0076
A5o,call,0.9621
A5o,jam,0.0303
K5o,fold,0.0349
K5o,call,0.9513
K5o,jam,0.0138
J5o,fold,0.6688
J5o,call,0.3241
J5o,jam,0.0072
85o,fold,0.636
85o,call,0.3632
85o,jam,0.0008
75o,fold,0.6358
75o,call,0.364
75o,jam,0.0003
65o,fold,0.2488
65o,call,0.7499
65o,jam,0.0014
55,fold,0.08
55,call,0.6894
55,jam,0.2306
53s,fold,0.4889
53s,call,0.45
53s,jam,0.0611
52s,fold,0.8788
52s,call,0.1205
52s,jam,0.0007
A4o,fold,0.2999
A4o,call,0.6905
A4o,jam,0.0096
K4o,fold,0.0513
K4o,call,0.9412
K4o,jam,0.0075
Q4o,fold,0.3539
Q4o,call,0.6328
Q4o,jam,0.0133
J4o,fold,0.6889
J4o,call,0.3045
J4o,jam,0.0066
44,fold,0.2418
44,call,0.7336
44,jam,0.0246
43s,fold,0.3633
43s,call,0.5891
43s,jam,0.0477
42s,fold,0.5963
42s,call,0.4033
42s,jam,0.0004
A3o,fold,0.8008
A3o,call,0.1851
A3o,jam,0.0141
K3o,fold,0.4575
K3o,call,0.5403
K3o,jam,0.0023
Q3o,fold,0.9329
Q3o,call,0.0655
Q3o,jam,0.0016
J3o,fold,0.6113
J3o,call,0.3877
J3o,jam,0.001
T3o,fold,0.8855
T3o,call,0.1125
T3o,jam,0.002
53o,fold,0.6636
53o,call,0.3361
53o,jam,0.0003
A2o,fold,0.439
A2o,call,0.5368
A2o,jam,0.0242
K2o,fold,0.5986
K2o,call,0.3926
K2o,jam,0.0087
Q2o,fold,0.1317
Q2o,call,0.8672
Q2o,jam,0.0011
J2o,fold,0.9903
J2o,call,0.0049
J2o,jam,0.0047
92o,fold,0.9144
92o,call,0.0852
92o,jam,0.0004
32o,fold,0.4928
32o,call,0.5069
32o,jam,0.0003
22,fold,0.1544
22,call,0.8436
22,jam,0.0019
