# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs btn open @ 40bb
# HRC node: id=16, seat=6, sequence=FFFFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 41.97%
notation,action,freq
AA,raise,0.9438
AA,jam,0.0562
AKs,call,0.0004
AKs,raise,0.0002
AKs,jam,0.9994
AQs,raise,0.9781
AQs,jam,0.0219
AJs,call,0.0833
AJs,raise,0.5763
AJs,jam,0.3404
ATs,fold,0.0007
ATs,call,0.0277
ATs,raise,0.1072
ATs,jam,0.8644
A9s,fold,0.0043
A9s,call,0.5903
A9s,raise,0.3245
A9s,jam,0.0809
A8s,fold,0.013
A8s,call,0.4612
A8s,raise,0.4838
A8s,jam,0.042
A7s,fold,0.0008
A7s,call,0.3748
A7s,raise,0.3924
A7s,jam,0.232
A6s,fold,0.0183
A6s,call,0.7927
A6s,raise,0.0135
A6s,jam,0.1755
A5s,fold,0.0019
A5s,call,0.3891
A5s,raise,0.0047
A5s,jam,0.6044
A4s,fold,0.0972
A4s,call,0.5914
A4s,raise,0.0787
A4s,jam,0.2328
A3s,fold,0.0345
A3s,call,0.9611
A3s,raise,0.0044
A2s,fold,0.0045
A2s,call,0.5147
A2s,raise,0.0311
A2s,jam,0.4497
AKo,raise,0.084
AKo,jam,0.916
KK,raise,0.1532
KK,jam,0.8468
KQs,fold,0.0003
KQs,call,0.06
KQs,raise,0.0186
KQs,jam,0.9211
KJs,fold,0.0003
KJs,call,0.0277
KJs,raise,0.0004
KJs,jam,0.9716
KTs,fold,0.0021
KTs,call,0.1121
KTs,raise,0.0014
KTs,jam,0.8845
K9s,fold,0.0633
K9s,call,0.7178
K9s,raise,0.0238
K9s,jam,0.1951
K8s,fold,0.0432
K8s,call,0.9564
K8s,raise,0.0003
K8s,jam,0.0001
K7s,fold,0.1618
K7s,call,0.838
K7s,jam,0.0002
K6s,fold,0.4478
K6s,call,0.503
K6s,raise,0.0077
K6s,jam,0.0415
K5s,fold,0.6845
K5s,call,0.3147
K5s,jam,0.0008
K4s,fold,0.388
K4s,call,0.4446
K4s,jam,0.1673
K3s,fold,0.7601
K3s,call,0.2285
K3s,raise,0.001
K3s,jam,0.0104
K2s,fold,0.4898
K2s,call,0.5098
K2s,raise,0.0004
AQo,raise,0.1729
AQo,jam,0.8271
KQo,fold,0.0038
KQo,call,0.7526
KQo,raise,0.1188
KQo,jam,0.1248
QQ,raise,0.0075
QQ,jam,0.9925
QJs,fold,0.0016
QJs,call,0.038
QJs,jam,0.9603
QTs,fold,0.0339
QTs,call,0.2534
QTs,raise,0.0286
QTs,jam,0.6842
Q9s,fold,0.0383
Q9s,call,0.9583
Q9s,raise,0.0003
Q9s,jam,0.0031
Q8s,fold,0.6205
Q8s,call,0.3173
Q8s,raise,0.0004
Q8s,jam,0.0618
Q7s,fold,0.5042
Q7s,call,0.4958
Q7s,jam,0.0001
Q6s,fold,0.5533
Q6s,call,0.33
Q6s,raise,0.0018
Q6s,jam,0.1149
Q5s,fold,0.9879
Q5s,call,0.0121
Q4s,fold,0.7464
Q4s,call,0.2533
Q4s,raise,0.0001
Q4s,jam,0.0002
Q3s,fold,0.9984
Q3s,call,0.0011
Q3s,jam,0.0005
Q2s,fold,0.9944
Q2s,call,0.0054
Q2s,jam,0.0002
AJo,call,0.0798
AJo,raise,0.7073
AJo,jam,0.2129
KJo,fold,0.0037
KJo,call,0.977
KJo,raise,0.0075
KJo,jam,0.0118
QJo,fold,0.0002
QJo,call,0.9997
QJo,jam,0.0001
JJ,call,0.0213
JJ,raise,0.2351
JJ,jam,0.7436
JTs,fold,0.0003
JTs,call,0.7958
JTs,raise,0.0071
JTs,jam,0.1968
J9s,fold,0.2053
J9s,call,0.5175
