# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 40bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.5bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg1 unopened @ 40bb
# HRC node: id=1, seat=1, sequence=F
# Actions at node: ['fold', 'raise']
# VPIP estimate: 17.93%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,fold,0.0001
AJs,raise,0.9999
ATs,raise,1.0
A9s,fold,0.0002
A9s,raise,0.9998
A8s,fold,0.1238
A8s,raise,0.8762
A7s,fold,0.0829
A7s,raise,0.9171
A6s,fold,0.9886
A6s,raise,0.0114
A5s,fold,0.3364
A5s,raise,0.6636
A4s,fold,0.8154
A4s,raise,0.1846
A3s,fold,0.9022
A3s,raise,0.0978
A2s,fold,0.9794
A2s,raise,0.0206
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,fold,0.3724
K9s,raise,0.6276
K8s,fold,0.9969
K8s,raise,0.0031
K7s,fold,0.9998
K7s,raise,0.0002
K6s,fold,0.9995
K6s,raise,0.0005
K5s,fold,0.9989
K5s,raise,0.0011
K4s,fold,1.0
K3s,fold,1.0
K2s,fold,0.9998
K2s,raise,0.0002
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.0666
QJs,raise,0.9334
QTs,fold,0.8695
QTs,raise,0.1305
Q9s,fold,0.9965
Q9s,raise,0.0035
Q8s,fold,0.999
Q8s,raise,0.001
Q7s,fold,0.9999
Q7s,raise,0.0001
Q6s,fold,0.9999
Q6s,raise,0.0001
Q5s,fold,0.9999
Q5s,raise,0.0001
Q4s,fold,1.0
Q3s,fold,0.9996
Q3s,raise,0.0004
Q2s,fold,1.0
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.996
QJo,raise,0.004
JJ,raise,1.0
JTs,fold,0.2166
JTs,raise,0.7834
J9s,fold,0.9804
J9s,raise,0.0196
J8s,fold,0.9993
J8s,raise,0.0007
J7s,fold,0.9987
J7s,raise,0.0013
J6s,fold,0.9998
J6s,raise,0.0002
J5s,fold,0.9998
J5s,raise,0.0002
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.3159
KTo,raise,0.6841
QTo,fold,0.9977
QTo,raise,0.0023
JTo,fold,1.0
TT,raise,1.0
T9s,fold,0.9996
T9s,raise,0.0004
T8s,fold,0.9998
T8s,raise,0.0002
T7s,fold,0.9962
T7s,raise,0.0038
T6s,fold,1.0
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,0.9998
T2s,raise,0.0002
A9o,fold,0.1912
A9o,raise,0.8088
K9o,fold,0.9983
K9o,raise,0.0017
Q9o,fold,0.9999
Q9o,raise,0.0001
J9o,fold,1.0
T9o,fold,0.9999
T9o,raise,0.0001
99,raise,1.0
98s,fold,0.9998
98s,raise,0.0002
97s,fold,0.9987
97s,raise,0.0013
96s,fold,0.9999
96s,raise,0.0001
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.5282
A8o,raise,0.4718
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,1.0
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.9987
A7o,raise,0.0013
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,raise,1.0
76s,fold,0.9993
76s,raise,0.0007
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.9997
A6o,raise,0.0003
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0057
66,raise,0.9943
65s,fold,1.0
64s,fold,1.0
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.997
A5o,raise,0.003
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.9617
55,raise,0.0383
54s,fold,1.0
53s,fold,1.0
52s,fold,1.0
A4o,fold,1.0
K4o,fold,1.0
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,1.0
