# poker.academy CE-Symmetric — 40bb vs3bet | hero MP vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.1244
55,fold,0.8756
66,call,0.6
66,fold,0.4
77,call,0.55
77,fold,0.45
88,call,0.9601
88,fold,0.0399
99,call,1.0
AA,call,1.0
AKs,call,0.465
AKs,jam,0.535
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.8201
A8s,fold,0.1799
A7s,call,0.1799
A7s,fold,0.8201
A5s,call,0.695
A5s,jam,0.305
A4s,call,0.3801
A4s,fold,0.485
A4s,jam,0.1349
AKo,jam,1.0
KK,call,0.545
KK,jam,0.455
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.3499
K9s,fold,0.6501
AQo,call,1.0
KQo,call,0.3399
KQo,fold,0.6601
QQ,call,0.4301
QQ,jam,0.5699
QJs,call,0.3651
QJs,jam,0.6349
QTs,call,0.92
QTs,fold,0.08
AJo,call,0.38
AJo,fold,0.62
KJo,call,0.1348
KJo,fold,0.8652
JJ,call,0.4199
JJ,jam,0.5801
JTs,call,0.84
JTs,fold,0.16
TT,call,1.0
76s,call,0.4545
76s,fold,0.5455
65s,call,0.6797
65s,fold,0.3203
