# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg1 vsopen @ 40bb
# HRC node: id=14544, seat=1, sequence=R
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 15.05%
notation,action,freq
AA,call,0.0847
AA,raise,0.8494
AA,jam,0.0659
AKs,call,0.6624
AKs,raise,0.2657
AKs,jam,0.0718
AQs,call,0.4794
AQs,raise,0.2312
AQs,jam,0.2894
AJs,fold,0.0001
AJs,call,0.1952
AJs,raise,0.4229
AJs,jam,0.3817
ATs,call,0.0011
ATs,raise,0.9283
ATs,jam,0.0705
A9s,fold,0.124
A9s,call,0.6379
A9s,raise,0.2237
A9s,jam,0.0144
A8s,fold,0.5778
A8s,call,0.3942
A8s,raise,0.0143
A8s,jam,0.0136
A7s,fold,0.8606
A7s,call,0.1201
A7s,raise,0.0036
A7s,jam,0.0157
A6s,fold,0.727
A6s,call,0.2709
A6s,raise,0.0003
A6s,jam,0.0019
A5s,fold,0.8749
A5s,call,0.1092
A5s,raise,0.0151
A5s,jam,0.0007
A4s,fold,0.937
A4s,call,0.0418
A4s,raise,0.0023
A4s,jam,0.0189
A3s,fold,0.9331
A3s,call,0.0521
A3s,raise,0.0127
A3s,jam,0.0021
A2s,fold,0.9834
A2s,call,0.0095
A2s,raise,0.0005
A2s,jam,0.0065
AKo,call,0.7716
AKo,raise,0.0555
AKo,jam,0.1728
KK,raise,0.9553
KK,jam,0.0447
KQs,fold,0.0001
KQs,call,0.9541
KQs,raise,0.032
KQs,jam,0.0138
KJs,call,0.9717
KJs,raise,0.0167
KJs,jam,0.0116
KTs,fold,0.5671
KTs,call,0.3799
KTs,raise,0.0131
KTs,jam,0.0399
K9s,fold,0.8268
K9s,call,0.1666
K9s,raise,0.0012
K9s,jam,0.0053
K8s,fold,0.6275
K8s,call,0.3698
K8s,raise,0.0005
K8s,jam,0.0023
K7s,fold,0.9403
K7s,call,0.0486
K7s,raise,0.0096
K7s,jam,0.0015
K6s,fold,0.9401
K6s,call,0.0409
K6s,raise,0.0114
K6s,jam,0.0076
K5s,fold,0.9776
K5s,call,0.005
K5s,raise,0.0034
K5s,jam,0.014
K4s,fold,0.9681
K4s,call,0.0281
K4s,raise,0.0031
K4s,jam,0.0007
K3s,fold,0.9745
K3s,call,0.0092
K3s,raise,0.0088
K3s,jam,0.0075
K2s,fold,0.9883
K2s,call,0.0083
K2s,raise,0.0032
K2s,jam,0.0002
AQo,raise,0.9393
AQo,jam,0.0607
KQo,call,0.9873
KQo,raise,0.0006
KQo,jam,0.0121
QQ,call,0.5211
QQ,raise,0.179
QQ,jam,0.3
QJs,fold,0.2155
QJs,call,0.7557
QJs,raise,0.009
QJs,jam,0.0198
QTs,fold,0.9466
QTs,call,0.0198
QTs,raise,0.0228
QTs,jam,0.0108
Q9s,fold,0.8726
Q9s,call,0.04
Q9s,raise,0.0495
Q9s,jam,0.0378
Q8s,fold,0.8099
Q8s,call,0.1695
Q8s,raise,0.0152
Q8s,jam,0.0054
Q7s,fold,0.9869
Q7s,call,0.0121
Q7s,raise,0.0001
Q7s,jam,0.0009
Q6s,fold,0.9749
Q6s,call,0.0245
Q6s,jam,0.0005
Q5s,fold,0.999
Q5s,call,0.001
Q4s,fold,0.9808
Q4s,call,0.0041
Q4s,raise,0.015
Q4s,jam,0.0001
Q3s,fold,0.9987
Q3s,call,0.0001
Q3s,raise,0.0011
Q3s,jam,0.0001
Q2s,fold,0.992
Q2s,call,0.0066
Q2s,raise,0.0008
Q2s,jam,0.0007
