# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb (800000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB': '2.5bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg vs3bet @ 40bb
# HRC node: id=38951, seat=0, sequence=RRFFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 96.68%
notation,action,freq
AA,jam,1.0
AKs,call,0.5585
AKs,jam,0.4415
AQs,fold,0.001
AQs,call,0.5418
AQs,jam,0.4572
AJs,fold,0.0049
AJs,call,0.9937
AJs,jam,0.0014
ATs,fold,0.0041
ATs,call,0.7658
ATs,jam,0.2301
A9s,fold,0.1169
A9s,call,0.8192
A9s,jam,0.064
A8s,fold,0.0431
A8s,call,0.3431
A8s,jam,0.6138
A7s,fold,0.2534
A7s,call,0.5139
A7s,jam,0.2328
A6s,fold,0.1459
A6s,call,0.3943
A6s,jam,0.4598
A5s,fold,0.1402
A5s,call,0.3105
A5s,jam,0.5493
A4s,fold,0.275
A4s,call,0.7036
A4s,jam,0.0214
A3s,fold,0.0527
A3s,call,0.8125
A3s,jam,0.1349
A2s,fold,0.0822
A2s,call,0.4398
A2s,jam,0.478
AKo,call,0.8626
AKo,jam,0.1374
KK,fold,0.0001
KK,call,0.0607
KK,jam,0.9392
KQs,fold,0.0455
KQs,call,0.6917
KQs,jam,0.2628
KJs,fold,0.0001
KJs,call,0.2692
KJs,jam,0.7307
KTs,fold,0.208
KTs,call,0.6073
KTs,jam,0.1846
K9s,fold,0.0383
K9s,call,0.9267
