# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs co open @ 50bb
# HRC node: id=50, seat=7, sequence=FFFFRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.98%
notation,action,freq
AA,raise,1.0
AKs,call,0.0003
AKs,raise,0.9997
AQs,call,0.0017
AQs,raise,0.9983
AJs,fold,0.0001
AJs,call,0.072
AJs,raise,0.9279
ATs,fold,0.0002
ATs,call,0.832
ATs,raise,0.1678
A9s,call,0.0748
A9s,raise,0.9252
A8s,call,0.8921
A8s,raise,0.1079
A7s,fold,0.0001
A7s,call,0.9981
A7s,raise,0.0018
A6s,fold,0.0001
A6s,call,0.9847
A6s,raise,0.0153
A5s,fold,0.0001
A5s,call,0.9997
A5s,raise,0.0002
A4s,fold,0.0002
A4s,call,0.9997
A4s,raise,0.0001
A3s,call,0.8798
A3s,raise,0.1202
A2s,fold,0.0002
A2s,call,0.9988
A2s,raise,0.001
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0003
KQs,call,0.9875
KQs,raise,0.0122
KJs,fold,0.0001
KJs,call,0.4851
KJs,raise,0.5148
KTs,fold,0.0001
KTs,call,0.9998
KTs,raise,0.0001
K9s,fold,0.0001
K9s,call,0.9976
K9s,raise,0.0024
K8s,fold,0.0001
K8s,call,0.9687
K8s,raise,0.0312
K7s,fold,0.0001
K7s,call,0.9939
K7s,raise,0.006
K6s,call,1.0
K5s,fold,0.0001
K5s,call,0.9999
K4s,fold,0.0003
K4s,call,0.9996
K4s,raise,0.0001
K3s,fold,0.0004
K3s,call,0.998
K3s,raise,0.0016
K2s,fold,0.0001
K2s,call,0.9999
AQo,call,0.1159
AQo,raise,0.8841
KQo,call,0.4347
KQo,raise,0.5653
QQ,call,0.0001
QQ,raise,0.9998
QJs,fold,0.0002
QJs,call,0.9977
QJs,raise,0.0021
QTs,fold,0.0003
QTs,call,0.9996
QTs,raise,0.0001
Q9s,fold,0.0004
Q9s,call,0.9993
Q9s,raise,0.0003
Q8s,fold,0.0001
Q8s,call,0.9999
Q7s,fold,0.0004
Q7s,call,0.9995
Q7s,raise,0.0001
Q6s,fold,0.0002
Q6s,call,0.9998
Q5s,fold,0.0007
Q5s,call,0.9991
Q5s,raise,0.0001
Q4s,fold,0.0002
Q4s,call,0.9997
Q3s,fold,0.0001
Q3s,call,0.9999
Q2s,fold,0.0003
Q2s,call,0.9996
Q2s,raise,0.0001
AJo,call,0.2528
AJo,raise,0.7472
KJo,call,1.0
QJo,call,1.0
JJ,fold,0.0001
JJ,call,0.0176
JJ,raise,0.9824
JTs,fold,0.0003
JTs,call,0.9996
JTs,raise,0.0001
J9s,fold,0.001
J9s,call,0.9987
J9s,raise,0.0003
J8s,fold,0.0003
J8s,call,0.9997
J7s,call,1.0
J6s,fold,0.0004
J6s,call,0.9996
J6s,raise,0.0001
J5s,fold,0.0004
J5s,call,0.9994
J5s,raise,0.0003
J4s,fold,0.0004
J4s,call,0.9996
J4s,raise,0.0001
J3s,fold,0.0001
J3s,call,0.9998
J2s,fold,0.0001
J2s,call,0.9997
J2s,raise,0.0001
ATo,call,0.1986
ATo,raise,0.8014
KTo,call,1.0
QTo,fold,0.0001
QTo,call,0.9996
QTo,raise,0.0003
JTo,call,0.9999
TT,call,0.1059
TT,raise,0.8941
T9s,fold,0.0002
T9s,call,0.9997
T8s,fold,0.0001
T8s,call,0.9998
T7s,fold,0.0001
T7s,call,0.9999
T6s,fold,0.0001
T6s,call,0.9895
T6s,raise,0.0105
T5s,fold,0.0005
T5s,call,0.9993
T5s,raise,0.0002
T4s,fold,0.0005
T4s,call,0.9993
T4s,raise,0.0002
T3s,fold,0.0001
T3s,call,0.9999
T2s,fold,0.0002
T2s,call,0.9998
A9o,call,0.9999
A9o,raise,0.0001
K9o,call,1.0
Q9o,call,1.0
J9o,call,1.0
T9o,call,1.0
99,fold,0.0001
99,call,0.0492
99,raise,0.9507
98s,fold,0.0001
98s,call,0.9999
97s,call,1.0
96s,call,1.0
95s,fold,0.0001
95s,call,0.9999
94s,fold,0.0005
94s,call,0.9995
93s,call,1.0
92s,fold,0.0006
92s,call,0.9994
A8o,call,1.0
K8o,call,1.0
Q8o,call,1.0
J8o,fold,0.0001
J8o,call,0.9999
T8o,call,1.0
98o,call,1.0
88,fold,0.0002
88,call,0.6513
88,raise,0.3485
87s,fold,0.0001
87s,call,0.9999
86s,fold,0.0012
86s,call,0.9988
85s,fold,0.0001
85s,call,0.9999
84s,fold,0.0006
84s,call,0.9994
83s,fold,0.002
83s,call,0.998
82s,fold,0.001
82s,call,0.9989
82s,raise,0.0001
A7o,call,1.0
K7o,call,1.0
Q7o,call,1.0
J7o,call,1.0
T7o,fold,0.0002
T7o,call,0.9997
T7o,raise,0.0001
97o,call,1.0
87o,call,1.0
77,fold,0.0002
77,call,0.377
77,raise,0.6229
76s,fold,0.0002
76s,call,0.9998
75s,fold,0.0015
75s,call,0.9985
74s,fold,0.0006
74s,call,0.9994
73s,fold,0.0006
73s,call,0.9994
72s,call,1.0
A6o,call,1.0
K6o,call,1.0
Q6o,call,1.0
J6o,call,0.9999
T6o,fold,0.0001
T6o,call,0.9999
96o,fold,0.0002
96o,call,0.9998
86o,call,1.0
76o,call,1.0
66,fold,0.0001
66,call,0.9997
66,raise,0.0002
65s,fold,0.0007
65s,call,0.998
65s,raise,0.0013
64s,fold,0.0008
64s,call,0.9992
63s,fold,0.0001
63s,call,0.9999
62s,fold,0.0005
62s,call,0.9995
A5o,fold,0.0001
A5o,call,0.9998
A5o,raise,0.0002
K5o,fold,0.0001
K5o,call,0.9998
K5o,raise,0.0001
Q5o,call,1.0
J5o,call,1.0
T5o,call,1.0
95o,call,1.0
85o,call,1.0
75o,fold,0.0001
75o,call,0.9999
65o,call,1.0
55,fold,0.0003
55,call,0.9514
55,raise,0.0483
54s,fold,0.0001
54s,call,0.9999
53s,fold,0.0005
53s,call,0.9995
52s,fold,0.0004
52s,call,0.9996
A4o,call,1.0
K4o,call,1.0
Q4o,call,1.0
J4o,call,1.0
T4o,call,1.0
94o,call,1.0
84o,fold,0.0002
84o,call,0.9998
74o,fold,0.0001
74o,call,0.9999
64o,fold,0.0001
64o,call,0.9999
54o,fold,0.0001
54o,call,0.9999
44,call,0.9798
44,raise,0.0202
43s,fold,0.0002
43s,call,0.9998
42s,fold,0.0005
42s,call,0.9995
A3o,call,1.0
K3o,fold,0.0001
K3o,call,0.9999
Q3o,call,1.0
J3o,fold,0.0001
J3o,call,0.9998
T3o,call,1.0
93o,call,1.0
83o,call,1.0
73o,call,1.0
63o,call,1.0
53o,fold,0.0001
53o,call,0.9999
43o,fold,0.0001
43o,call,0.9999
33,call,1.0
32s,fold,0.0004
32s,call,0.9996
A2o,fold,0.0001
A2o,call,0.9999
K2o,call,1.0
Q2o,call,1.0
J2o,call,1.0
T2o,call,1.0
92o,call,1.0
82o,fold,0.0001
82o,call,0.9999
72o,fold,0.0011
72o,call,0.9989
62o,call,1.0
52o,fold,0.0001
52o,call,0.9999
42o,call,1.0
32o,fold,0.0001
32o,call,0.9999
22,call,0.9899
22,raise,0.0101
