# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg open @ 50bb
# HRC node: id=15826, seat=7, sequence=RFFFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.95%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.4161
AKs,raise,0.5838
AQs,fold,0.0001
AQs,call,0.6927
AQs,raise,0.3071
AJs,call,1.0
ATs,fold,0.0002
ATs,call,0.9886
ATs,raise,0.0112
A9s,fold,0.0005
A9s,call,0.9993
A9s,raise,0.0002
A8s,call,1.0
A7s,fold,0.0003
A7s,call,0.9992
A7s,raise,0.0006
A6s,fold,0.0006
A6s,call,0.9384
A6s,raise,0.0611
A5s,fold,0.0005
A5s,call,0.9995
A4s,fold,0.0002
A4s,call,0.9998
A3s,fold,0.0003
A3s,call,0.9996
A3s,raise,0.0001
A2s,fold,0.0001
A2s,call,0.9921
A2s,raise,0.0078
AKo,call,0.0001
AKo,raise,0.9999
KK,raise,1.0
KQs,call,1.0
KJs,fold,0.0001
KJs,call,0.9936
KJs,raise,0.0062
KTs,fold,0.0002
KTs,call,0.9997
KTs,raise,0.0001
K9s,call,1.0
K8s,fold,0.0001
K8s,call,0.9733
K8s,raise,0.0265
K7s,fold,0.0003
K7s,call,0.9995
K7s,raise,0.0002
K6s,fold,0.001
K6s,call,0.9987
K6s,raise,0.0002
K5s,fold,0.0001
K5s,call,0.9999
K4s,fold,0.0008
K4s,call,0.9992
K3s,fold,0.0008
K3s,call,0.9991
K3s,raise,0.0001
K2s,fold,0.0013
K2s,call,0.9986
K2s,raise,0.0001
AQo,call,0.7721
AQo,raise,0.2278
KQo,fold,0.0002
KQo,call,0.9989
KQo,raise,0.0009
QQ,call,0.0045
QQ,raise,0.9955
QJs,fold,0.0002
QJs,call,0.9998
QTs,call,0.9283
QTs,raise,0.0717
Q9s,fold,0.0003
Q9s,call,0.9997
Q8s,fold,0.0008
Q8s,call,0.999
Q8s,raise,0.0002
Q7s,fold,0.0005
Q7s,call,0.9995
Q6s,fold,0.0003
Q6s,call,0.9997
Q5s,fold,0.0006
Q5s,call,0.9994
Q4s,fold,0.0001
Q4s,call,0.9999
Q3s,fold,0.0002
Q3s,call,0.9997
Q2s,fold,0.0006
Q2s,call,0.9994
AJo,call,0.9987
AJo,raise,0.0012
KJo,call,1.0
QJo,call,1.0
JJ,call,0.8079
JJ,raise,0.1921
JTs,fold,0.0005
JTs,call,0.9994
J9s,fold,0.0004
J9s,call,0.9996
J8s,call,1.0
J7s,fold,0.0005
J7s,call,0.9995
J6s,fold,0.001
J6s,call,0.999
J6s,raise,0.0001
J5s,fold,0.0022
J5s,call,0.9973
J5s,raise,0.0005
J4s,fold,0.0001
J4s,call,0.9999
J3s,fold,0.0001
J3s,call,0.9999
J2s,fold,0.0002
J2s,call,0.9998
ATo,call,0.9976
ATo,raise,0.0024
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,call,0.7894
TT,raise,0.2106
T9s,fold,0.0053
T9s,call,0.9935
T9s,raise,0.0012
T8s,fold,0.0003
T8s,call,0.9997
T7s,fold,0.0005
T7s,call,0.9995
T6s,call,0.9999
T5s,fold,0.0002
T5s,call,0.9998
T4s,fold,0.0016
T4s,call,0.9979
T4s,raise,0.0005
T3s,fold,0.0009
T3s,call,0.9991
T2s,fold,0.0008
T2s,call,0.9992
A9o,call,0.9993
A9o,raise,0.0007
K9o,fold,0.0001
K9o,call,0.9998
Q9o,call,1.0
J9o,fold,0.0001
J9o,call,0.9999
T9o,fold,0.0002
T9o,call,0.9998
99,call,0.6731
99,raise,0.3269
98s,fold,0.0027
98s,call,0.9971
98s,raise,0.0002
