# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: btn vs3bet @ 50bb
# HRC node: id=37, seat=5, sequence=FFFFFRRF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 90.45%
notation,action,freq
AA,jam,1.0
AKs,call,0.0059
AKs,jam,0.9941
AQs,fold,0.0001
AQs,call,0.8417
AQs,jam,0.1582
AJs,fold,0.0006
AJs,call,0.973
AJs,jam,0.0264
ATs,fold,0.0041
ATs,call,0.9861
ATs,jam,0.0098
A9s,fold,0.0022
A9s,call,0.8544
A9s,jam,0.1434
A8s,fold,0.0016
A8s,call,0.6531
A8s,jam,0.3452
A7s,fold,0.0651
A7s,call,0.9348
A7s,jam,0.0001
A6s,fold,0.0004
A6s,call,0.9962
A6s,jam,0.0034
A5s,fold,0.0465
A5s,call,0.7678
A5s,jam,0.1857
A4s,fold,0.1355
A4s,call,0.7282
A4s,jam,0.1364
A3s,fold,0.0021
A3s,call,0.6633
A3s,jam,0.3346
A2s,fold,0.1055
A2s,call,0.8587
A2s,jam,0.0358
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0041
KQs,call,0.9958
KQs,jam,0.0001
KJs,fold,0.0757
KJs,call,0.8944
KJs,jam,0.0298
KTs,fold,0.0042
KTs,call,0.9955
KTs,jam,0.0003
K9s,fold,0.008
K9s,call,0.9918
K9s,jam,0.0003
K8s,fold,0.0038
K8s,call,0.992
K8s,jam,0.0042
K7s,fold,0.0677
K7s,call,0.2886
K7s,jam,0.6437
K6s,fold,0.0016
K6s,call,0.9851
K6s,jam,0.0133
K5s,fold,0.3649
K5s,call,0.6063
K5s,jam,0.0287
K4s,fold,0.0074
K4s,call,0.9688
K4s,jam,0.0238
K3s,fold,0.0806
K3s,call,0.5602
K3s,jam,0.3592
K2s,fold,0.0085
K2s,call,0.8976
K2s,jam,0.094
AQo,call,0.9895
AQo,jam,0.0105
KQo,fold,0.0006
KQo,call,0.8554
KQo,jam,0.144
QQ,call,0.0005
QQ,jam,0.9995
QJs,fold,0.0133
QJs,call,0.8373
QJs,jam,0.1494
QTs,fold,0.0057
QTs,call,0.3216
QTs,jam,0.6727
Q9s,fold,0.1177
Q9s,call,0.8603
Q9s,jam,0.022
Q8s,fold,0.1389
Q8s,call,0.8484
Q8s,jam,0.0127
Q7s,fold,0.03
Q7s,call,0.9624
Q7s,jam,0.0077
Q6s,fold,0.0381
Q6s,call,0.8268
Q6s,jam,0.1351
Q5s,fold,0.0513
Q5s,call,0.9279
Q5s,jam,0.0208
Q4s,fold,0.428
Q4s,call,0.572
Q3s,fold,0.1953
Q3s,call,0.5018
Q3s,jam,0.3029
Q2s,fold,0.6641
Q2s,call,0.3358
Q2s,jam,0.0001
AJo,call,0.9966
AJo,jam,0.0034
KJo,fold,0.0003
KJo,call,0.8165
KJo,jam,0.1832
QJo,fold,0.01
QJo,call,0.9893
QJo,jam,0.0008
JJ,call,0.0001
JJ,jam,0.9999
JTs,fold,0.0287
JTs,call,0.9713
J9s,fold,0.105
J9s,call,0.6926
J9s,jam,0.2024
J8s,fold,0.0845
J8s,call,0.9051
J8s,jam,0.0104
J7s,fold,0.036
J7s,call,0.9588
J7s,jam,0.0052
J6s,fold,0.6625
J6s,call,0.3374
J6s,jam,0.0001
J5s,fold,0.142
J5s,call,0.8334
J5s,jam,0.0245
J4s,fold,0.4449
J4s,call,0.5551
J3s,fold,0.9116
J3s,call,0.0868
J3s,jam,0.0016
J2s,fold,0.3657
J2s,call,0.5918
J2s,jam,0.0425
ATo,fold,0.0004
ATo,call,0.9991
ATo,jam,0.0005
KTo,fold,0.0129
KTo,call,0.9869
KTo,jam,0.0002
QTo,fold,0.0012
QTo,call,0.9984
QTo,jam,0.0004
JTo,fold,0.0031
JTo,call,0.9969
TT,call,0.2844
TT,jam,0.7156
T9s,fold,0.0076
T9s,call,0.8815
T9s,jam,0.1109
T8s,fold,0.6424
T8s,call,0.3572
T8s,jam,0.0003
T7s,fold,0.0585
T7s,call,0.9046
T7s,jam,0.0369
T5s,fold,0.2751
T5s,call,0.7218
T5s,jam,0.0031
T4s,fold,0.8756
T4s,call,0.1242
T4s,jam,0.0002
T2s,fold,0.747
T2s,call,0.2487
T2s,jam,0.0044
A9o,fold,0.0004
A9o,call,0.9995
A9o,jam,0.0001
K9o,fold,0.1864
K9o,call,0.8136
Q9o,fold,0.359
Q9o,call,0.6409
J9o,fold,0.0036
J9o,call,0.9962
J9o,jam,0.0002
T9o,fold,0.08
T9o,call,0.9198
T9o,jam,0.0002
99,fold,0.0006
99,call,0.9483
99,jam,0.051
98s,fold,0.07
98s,call,0.8643
98s,jam,0.0657
97s,fold,0.6494
97s,call,0.3499
97s,jam,0.0007
95s,fold,0.8416
95s,call,0.148
95s,jam,0.0105
93s,fold,0.1889
93s,call,0.7216
93s,jam,0.0895
A8o,fold,0.0005
A8o,call,0.9993
A8o,jam,0.0002
K8o,fold,0.386
K8o,call,0.6139
K8o,jam,0.0001
Q8o,fold,0.5657
Q8o,call,0.4343
J8o,fold,0.0011
J8o,call,0.9985
J8o,jam,0.0004
T8o,fold,0.6187
T8o,call,0.3813
98o,fold,0.5757
98o,call,0.4242
88,fold,0.0003
88,call,0.9691
88,jam,0.0306
87s,fold,0.5393
87s,call,0.46
87s,jam,0.0008
86s,fold,0.0271
86s,call,0.9684
86s,jam,0.0045
83s,fold,0.2269
83s,call,0.7694
83s,jam,0.0037
A7o,fold,0.0158
A7o,call,0.9836
A7o,jam,0.0006
K7o,fold,0.9645
K7o,call,0.0353
K7o,jam,0.0002
Q7o,fold,0.0665
Q7o,call,0.9334
Q7o,jam,0.0001
97o,fold,0.7834
97o,call,0.2162
97o,jam,0.0004
87o,fold,0.0687
87o,call,0.9311
87o,jam,0.0002
77,fold,0.0008
77,call,0.9985
77,jam,0.0007
75s,fold,0.1559
75s,call,0.844
75s,jam,0.0001
74s,fold,0.5108
74s,call,0.488
74s,jam,0.0012
A6o,fold,0.0325
A6o,call,0.967
A6o,jam,0.0005
K6o,fold,0.9594
K6o,call,0.0404
K6o,jam,0.0002
Q6o,fold,0.7245
Q6o,call,0.2754
Q6o,jam,0.0001
J6o,fold,0.9932
J6o,call,0.0067
76o,fold,0.1362
76o,call,0.8638
66,fold,0.001
66,call,0.6652
66,jam,0.3338
65s,fold,0.1042
65s,call,0.8929
65s,jam,0.0029
64s,fold,0.3393
64s,call,0.6594
64s,jam,0.0013
62s,fold,0.8213
62s,call,0.1786
62s,jam,0.0001
A5o,fold,0.1112
A5o,call,0.8888
K5o,fold,0.7252
K5o,call,0.2748
Q5o,fold,0.3937
Q5o,call,0.6063
55,fold,0.0031
55,call,0.9445
55,jam,0.0524
54s,fold,0.095
54s,call,0.1438
54s,jam,0.7613
53s,fold,0.4262
53s,call,0.5728
53s,jam,0.001
A4o,fold,0.0453
A4o,call,0.9542
A4o,jam,0.0005
K4o,fold,0.8632
K4o,call,0.1365
K4o,jam,0.0003
44,fold,0.0005
44,call,0.7486
44,jam,0.2509
43s,fold,0.7184
43s,call,0.258
43s,jam,0.0236
42s,fold,0.7398
42s,call,0.26
42s,jam,0.0002
A3o,fold,0.1019
A3o,call,0.8981
K3o,fold,0.9881
K3o,call,0.0119
33,fold,0.0034
33,call,0.9432
33,jam,0.0534
32s,fold,0.406
32s,call,0.5906
32s,jam,0.0033
A2o,fold,0.1867
A2o,call,0.8129
A2o,jam,0.0003
K2o,fold,0.7922
K2o,call,0.2078
Q2o,fold,0.9303
Q2o,call,0.0696
22,fold,0.0019
22,call,0.8277
22,jam,0.1703
