# poker.academy CE-Symmetric — 50bb vs3bet | hero BTN vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,1.0
33,call,0.17
33,jam,0.83
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.5741
88,jam,0.4259
99,jam,1.0
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.8481
A5s,jam,0.1519
A4s,call,0.1299
A4s,jam,0.8701
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,call,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.5041
KTs,jam,0.4959
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,0.8922
K3s,fold,0.1078
AQo,jam,1.0
KQo,call,0.814
KQo,jam,0.186
QQ,call,0.042
QQ,jam,0.958
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,0.246
Q7s,fold,0.754
Q6s,call,0.3659
Q6s,fold,0.6341
AJo,call,1.0
KJo,call,0.824
KJo,jam,0.176
QJo,call,1.0
JJ,call,0.154
JJ,jam,0.846
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
ATo,call,1.0
KTo,call,1.0
QTo,call,0.4739
QTo,fold,0.5261
JTo,call,0.16
JTo,fold,0.84
TT,jam,1.0
T9s,call,1.0
T8s,call,1.0
T7s,call,0.1299
T7s,fold,0.8701
A9o,call,0.828
A9o,fold,0.172
98s,call,1.0
97s,call,1.0
87s,call,1.0
86s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
