# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs lj open @ 50bb
# HRC node: id=1272, seat=5, sequence=FFRFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 14.13%
notation,action,freq
AA,raise,0.674
AA,jam,0.326
AKs,call,0.0717
AKs,raise,0.533
AKs,jam,0.3953
AQs,call,0.0059
AQs,raise,0.0023
AQs,jam,0.9918
AJs,fold,0.0012
AJs,call,0.981
AJs,raise,0.0067
AJs,jam,0.0111
ATs,fold,0.2504
ATs,call,0.1827
ATs,raise,0.3389
ATs,jam,0.2279
A9s,fold,0.0673
A9s,call,0.6201
A9s,raise,0.0218
A9s,jam,0.2909
A8s,fold,0.2861
A8s,call,0.7135
A8s,raise,0.0003
A8s,jam,0.0001
A7s,fold,0.5199
A7s,call,0.4754
A7s,raise,0.0013
A7s,jam,0.0034
A6s,fold,0.9851
A6s,call,0.0143
A6s,jam,0.0006
A5s,fold,0.8864
A5s,call,0.021
A5s,jam,0.0926
A4s,fold,0.9881
A4s,call,0.008
A4s,raise,0.0015
A4s,jam,0.0024
A3s,fold,0.6691
A3s,call,0.3229
A3s,raise,0.0069
A3s,jam,0.001
A2s,fold,0.8869
A2s,call,0.0947
A2s,raise,0.0003
A2s,jam,0.0181
AKo,call,0.0211
AKo,raise,0.5242
AKo,jam,0.4547
KK,raise,0.4516
KK,jam,0.5484
KQs,fold,0.1478
KQs,call,0.8233
KQs,raise,0.0046
KQs,jam,0.0242
KJs,fold,0.1807
KJs,call,0.743
KJs,raise,0.009
KJs,jam,0.0673
KTs,fold,0.6015
KTs,call,0.3886
KTs,raise,0.009
KTs,jam,0.0008
K9s,fold,0.7902
K9s,call,0.0753
K9s,raise,0.0007
K9s,jam,0.1337
K8s,fold,0.9607
K8s,call,0.0388
K8s,raise,0.0003
K8s,jam,0.0002
K7s,fold,0.9744
K7s,call,0.0101
K7s,raise,0.0087
K7s,jam,0.0068
K6s,fold,0.9905
K6s,call,0.0017
K6s,raise,0.0055
K6s,jam,0.0023
K5s,fold,0.936
K5s,call,0.0639
K5s,jam,0.0001
K4s,fold,0.9951
K4s,call,0.0003
K4s,raise,0.0046
K3s,fold,0.9996
K3s,raise,0.0004
K2s,fold,0.9951
K2s,call,0.0039
K2s,jam,0.001
AQo,call,0.0263
AQo,raise,0.9348
AQo,jam,0.0389
KQo,fold,0.6661
KQo,call,0.3327
KQo,raise,0.0006
KQo,jam,0.0006
QQ,call,0.4286
QQ,raise,0.1063
QQ,jam,0.4651
QJs,fold,0.2377
QJs,call,0.3252
QJs,raise,0.0093
QJs,jam,0.4278
