# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: co vs3bet @ 50bb
# HRC node: id=211, seat=4, sequence=FFFFRRFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 98.37%
notation,action,freq
AA,jam,1.0
AKs,call,0.042
AKs,jam,0.958
AQs,fold,0.0017
AQs,call,0.5039
AQs,jam,0.4944
AJs,fold,0.0042
AJs,call,0.9871
AJs,jam,0.0086
ATs,fold,0.0049
ATs,call,0.9927
ATs,jam,0.0024
A9s,fold,0.0026
A9s,call,0.8664
A9s,jam,0.131
A8s,fold,0.0076
A8s,call,0.8931
A8s,jam,0.0993
A7s,fold,0.0974
A7s,call,0.8718
A7s,jam,0.0308
A6s,fold,0.0347
A6s,call,0.9502
A6s,jam,0.0152
A5s,fold,0.0009
A5s,call,0.9708
A5s,jam,0.0283
A4s,fold,0.1504
A4s,call,0.8007
A4s,jam,0.0489
A3s,fold,0.0062
A3s,call,0.339
A3s,jam,0.6548
A2s,fold,0.0047
A2s,call,0.9766
A2s,jam,0.0188
AKo,call,0.5104
AKo,jam,0.4896
KK,call,0.0492
KK,jam,0.9508
KQs,fold,0.0075
KQs,call,0.9574
KQs,jam,0.0352
KJs,fold,0.0099
KJs,call,0.8957
KJs,jam,0.0944
KTs,fold,0.0092
KTs,call,0.6958
KTs,jam,0.295
K9s,fold,0.0057
K9s,call,0.9935
K9s,jam,0.0009
K8s,fold,0.0025
K8s,call,0.8938
K8s,jam,0.1037
K7s,fold,0.0045
K7s,call,0.9925
K7s,jam,0.003
K6s,fold,0.0534
K6s,call,0.9462
K6s,jam,0.0004
K5s,fold,0.0477
K5s,call,0.6378
K5s,jam,0.3145
K4s,fold,0.1307
K4s,call,0.658
K4s,jam,0.2112
K3s,fold,0.2598
K3s,call,0.7097
K3s,jam,0.0305
K2s,fold,0.0331
K2s,call,0.7118
K2s,jam,0.2551
AQo,call,0.6216
AQo,jam,0.3784
KQo,fold,0.0018
KQo,call,0.9972
KQo,jam,0.0009
QQ,call,0.9244
QQ,jam,0.0756
QJs,fold,0.0166
QJs,call,0.982
QJs,jam,0.0014
QTs,fold,0.0185
QTs,call,0.9782
QTs,jam,0.0033
Q9s,fold,0.0529
Q9s,call,0.8561
Q9s,jam,0.091
Q8s,fold,0.0262
Q8s,call,0.7575
Q8s,jam,0.2163
Q7s,fold,0.6148
Q7s,call,0.3826
Q7s,jam,0.0026
Q6s,fold,0.0403
Q6s,call,0.8798
Q6s,jam,0.0799
Q5s,fold,0.0541
Q5s,call,0.933
Q5s,jam,0.0129
Q4s,fold,0.0765
Q4s,call,0.9229
Q4s,jam,0.0006
Q3s,fold,0.1156
Q3s,call,0.8827
Q3s,jam,0.0017
Q2s,fold,0.0997
Q2s,call,0.8744
Q2s,jam,0.0258
AJo,call,0.9943
AJo,jam,0.0057
KJo,fold,0.0004
KJo,call,0.9975
KJo,jam,0.0022
QJo,fold,0.0029
QJo,call,0.9958
QJo,jam,0.0013
JJ,call,0.4357
JJ,jam,0.5643
JTs,fold,0.0042
JTs,call,0.9954
JTs,jam,0.0004
J9s,fold,0.0048
J9s,call,0.8161
J9s,jam,0.1791
J8s,fold,0.0231
J8s,call,0.9764
J8s,jam,0.0004
J7s,fold,0.1168
J7s,call,0.8724
J7s,jam,0.0107
J6s,fold,0.2546
J6s,call,0.7443
J6s,jam,0.0011
J3s,fold,0.1602
J3s,call,0.8386
J3s,jam,0.0012
J2s,fold,0.152
J2s,call,0.847
J2s,jam,0.001
ATo,fold,0.0001
ATo,call,0.9942
ATo,jam,0.0058
KTo,fold,0.117
KTo,call,0.8828
KTo,jam,0.0002
QTo,fold,0.001
QTo,call,0.9981
QTo,jam,0.0009
JTo,fold,0.0022
JTo,call,0.9954
JTo,jam,0.0025
TT,fold,0.0004
TT,call,0.9676
TT,jam,0.032
T9s,fold,0.0216
T9s,call,0.8967
T9s,jam,0.0817
T8s,fold,0.0829
T8s,call,0.9114
T8s,jam,0.0057
T6s,fold,0.0405
T6s,call,0.9524
T6s,jam,0.0071
T4s,fold,0.0116
T4s,call,0.9866
T4s,jam,0.0019
A9o,fold,0.0001
A9o,call,0.9998
K9o,fold,0.0003
K9o,call,0.9991
K9o,jam,0.0006
Q9o,fold,0.0159
Q9o,call,0.9841
J9o,fold,0.0018
J9o,call,0.9982
99,fold,0.0016
99,call,0.669
99,jam,0.3294
98s,fold,0.0798
98s,call,0.8981
98s,jam,0.0222
96s,fold,0.0296
96s,call,0.9679
96s,jam,0.0024
A8o,fold,0.0068
A8o,call,0.9903
A8o,jam,0.0029
K8o,fold,0.0414
K8o,call,0.9586
J8o,fold,0.0299
J8o,call,0.9689
J8o,jam,0.0012
T8o,fold,0.0031
T8o,call,0.9966
T8o,jam,0.0003
88,fold,0.0044
88,call,0.9787
88,jam,0.0169
87s,fold,0.1387
87s,call,0.5979
87s,jam,0.2635
86s,fold,0.1421
86s,call,0.8574
86s,jam,0.0005
A7o,fold,0.0005
A7o,call,0.9988
A7o,jam,0.0006
K7o,fold,0.0025
K7o,call,0.9967
K7o,jam,0.0009
T7o,fold,0.0372
T7o,call,0.9618
T7o,jam,0.001
97o,fold,0.0023
97o,call,0.9506
97o,jam,0.0471
77,fold,0.0027
77,call,0.9935
77,jam,0.0038
76s,fold,0.0208
76s,call,0.9784
76s,jam,0.0008
75s,fold,0.1629
75s,call,0.833
75s,jam,0.0041
74s,fold,0.3766
74s,call,0.6226
74s,jam,0.0008
A6o,fold,0.0095
A6o,call,0.9855
A6o,jam,0.005
66,fold,0.0003
66,call,0.9962
66,jam,0.0034
A5o,fold,0.0028
A5o,call,0.9969
A5o,jam,0.0003
K5o,fold,0.0013
K5o,call,0.9981
K5o,jam,0.0006
55,fold,0.0004
55,call,0.9679
55,jam,0.0317
54s,fold,0.0169
54s,call,0.9733
54s,jam,0.0098
53s,fold,0.243
53s,call,0.7419
53s,jam,0.015
52s,fold,0.3895
52s,call,0.6103
52s,jam,0.0002
A4o,fold,0.0023
A4o,call,0.9976
A4o,jam,0.0001
44,fold,0.0132
44,call,0.9862
44,jam,0.0006
43s,fold,0.0467
43s,call,0.8569
43s,jam,0.0963
42s,fold,0.043
42s,call,0.9567
42s,jam,0.0003
A3o,fold,0.0373
A3o,call,0.9619
A3o,jam,0.0008
K3o,fold,0.022
K3o,call,0.9756
K3o,jam,0.0024
33,fold,0.0262
33,call,0.9421
33,jam,0.0317
A2o,fold,0.0029
A2o,call,0.9959
A2o,jam,0.0012
