# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: co vs3betjam @ 50bb
# HRC node: id=259, seat=4, sequence=FFFFRRFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 19.83%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,fold,0.0991
AQs,call,0.9009
AJs,fold,0.627
AJs,call,0.373
ATs,fold,0.7102
ATs,call,0.2898
A9s,fold,0.9936
A9s,call,0.0064
A8s,fold,0.9976
A8s,call,0.0024
A7s,fold,0.7455
A7s,call,0.2545
A6s,fold,0.8496
A6s,call,0.1504
A5s,fold,0.9903
A5s,call,0.0097
A4s,fold,0.9884
A4s,call,0.0116
A3s,fold,0.9976
A3s,call,0.0024
A2s,fold,0.9991
A2s,call,0.0009
AKo,fold,0.0004
AKo,call,0.9996
KK,fold,0.0001
KK,call,0.9999
KQs,fold,0.6514
KQs,call,0.3486
KJs,fold,0.9865
KJs,call,0.0135
KTs,fold,0.9643
KTs,call,0.0357
K9s,fold,0.9906
K9s,call,0.0094
K8s,fold,0.9949
K8s,call,0.0051
K7s,fold,0.9993
K7s,call,0.0007
K6s,fold,0.9996
K6s,call,0.0004
K5s,fold,0.9965
K5s,call,0.0035
K4s,fold,0.9998
K4s,call,0.0002
K3s,fold,0.9975
K3s,call,0.0025
K2s,fold,0.9997
K2s,call,0.0003
AQo,fold,0.518
AQo,call,0.482
KQo,fold,0.9947
KQo,call,0.0053
QQ,fold,0.0002
QQ,call,0.9998
QJs,fold,0.9979
QJs,call,0.0021
QTs,fold,0.978
QTs,call,0.022
Q9s,fold,0.9967
Q9s,call,0.0033
Q8s,fold,0.9723
Q8s,call,0.0277
Q7s,fold,0.9983
Q7s,call,0.0017
Q6s,fold,0.9969
Q6s,call,0.0031
Q5s,fold,0.9998
Q5s,call,0.0002
Q4s,fold,0.9969
Q4s,call,0.0031
Q3s,fold,0.9976
Q3s,call,0.0024
Q2s,fold,0.9995
Q2s,call,0.0005
AJo,fold,0.9946
AJo,call,0.0054
KJo,fold,0.999
KJo,call,0.001
QJo,fold,0.9968
QJo,call,0.0032
JJ,fold,0.0001
JJ,call,0.9999
JTs,fold,0.9602
JTs,call,0.0398
J9s,fold,0.9983
J9s,call,0.0017
J8s,fold,0.9798
J8s,call,0.0202
J7s,fold,0.9956
J7s,call,0.0044
J6s,fold,0.9994
J6s,call,0.0006
J3s,fold,0.9889
J3s,call,0.0111
J2s,fold,0.9997
J2s,call,0.0003
ATo,fold,0.9926
ATo,call,0.0074
KTo,fold,0.9985
KTo,call,0.0015
QTo,fold,0.999
QTo,call,0.001
JTo,fold,0.9993
JTo,call,0.0007
TT,fold,0.0025
TT,call,0.9975
T9s,fold,0.926
T9s,call,0.074
T8s,fold,0.9224
T8s,call,0.0776
T6s,fold,0.9867
T6s,call,0.0133
T4s,fold,0.9992
T4s,call,0.0008
A9o,fold,0.9917
A9o,call,0.0083
K9o,fold,0.9991
K9o,call,0.0009
Q9o,fold,0.9995
Q9o,call,0.0005
J9o,fold,0.9999
J9o,call,0.0001
99,fold,0.0159
99,call,0.9841
98s,fold,0.9903
98s,call,0.0097
96s,fold,0.9992
96s,call,0.0008
A8o,fold,0.9965
A8o,call,0.0035
K8o,fold,0.9982
K8o,call,0.0018
J8o,fold,0.9993
J8o,call,0.0007
T8o,fold,0.9984
T8o,call,0.0016
88,fold,0.9728
88,call,0.0272
87s,fold,0.98
87s,call,0.02
86s,fold,0.9869
86s,call,0.0131
A7o,fold,0.9958
A7o,call,0.0042
K7o,fold,0.9994
K7o,call,0.0006
T7o,fold,0.9989
T7o,call,0.0011
97o,fold,0.9996
97o,call,0.0004
77,fold,0.6891
77,call,0.3109
76s,fold,0.9999
76s,call,0.0001
75s,fold,0.9957
75s,call,0.0043
74s,fold,0.986
74s,call,0.014
A6o,fold,0.9985
A6o,call,0.0015
66,fold,0.9875
66,call,0.0125
A5o,fold,0.9994
A5o,call,0.0006
K5o,fold,1.0
55,fold,0.7758
55,call,0.2242
54s,fold,0.9971
54s,call,0.0029
53s,fold,0.992
53s,call,0.008
52s,fold,0.9996
52s,call,0.0004
A4o,fold,0.9988
A4o,call,0.0012
44,fold,0.9202
44,call,0.0798
43s,fold,0.9859
43s,call,0.0141
42s,fold,0.9997
42s,call,0.0003
A3o,fold,0.9996
A3o,call,0.0004
K3o,fold,0.9999
K3o,call,0.0001
33,fold,0.9815
33,call,0.0185
A2o,fold,0.998
A2o,call,0.002
