# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: co vsopen @ 50bb
# HRC node: id=15823, seat=4, sequence=RFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 11.69%
notation,action,freq
AA,call,0.001
AA,raise,0.9692
AA,jam,0.0299
AKs,call,0.3749
AKs,raise,0.041
AKs,jam,0.5841
AQs,fold,0.0001
AQs,call,0.8285
AQs,raise,0.135
AQs,jam,0.0364
AJs,fold,0.0001
AJs,call,0.732
AJs,raise,0.0053
AJs,jam,0.2626
ATs,fold,0.0001
ATs,call,0.9322
ATs,raise,0.0363
ATs,jam,0.0314
A9s,fold,0.9352
A9s,call,0.0456
A9s,raise,0.0136
A9s,jam,0.0057
A8s,fold,0.4804
A8s,call,0.2663
A8s,raise,0.2517
A8s,jam,0.0016
A7s,fold,0.994
A7s,call,0.0011
A7s,raise,0.0004
A7s,jam,0.0045
A6s,fold,0.9396
A6s,call,0.0496
A6s,raise,0.0077
A6s,jam,0.003
A5s,fold,0.9946
A5s,call,0.0022
A5s,raise,0.0016
A5s,jam,0.0016
A4s,fold,0.9041
A4s,call,0.0488
A4s,raise,0.0299
A4s,jam,0.0172
A3s,fold,0.7159
A3s,call,0.2765
A3s,raise,0.0076
A2s,fold,0.9882
A2s,call,0.0092
A2s,raise,0.0001
A2s,jam,0.0025
AKo,call,0.0142
AKo,raise,0.9557
AKo,jam,0.0301
KK,call,0.0185
KK,raise,0.2441
KK,jam,0.7375
KQs,fold,0.1502
KQs,call,0.8025
KQs,raise,0.0298
KQs,jam,0.0176
KJs,fold,0.1399
KJs,call,0.6916
KJs,raise,0.0161
KJs,jam,0.1525
KTs,fold,0.9596
KTs,call,0.0348
KTs,raise,0.0031
KTs,jam,0.0026
K9s,fold,0.9896
K9s,call,0.0094
K9s,raise,0.001
K9s,jam,0.0001
K8s,fold,0.9394
K8s,call,0.0546
K8s,raise,0.0024
K8s,jam,0.0036
K7s,fold,0.9926
K7s,call,0.007
K7s,raise,0.0004
K6s,fold,0.9992
K6s,call,0.0002
K6s,jam,0.0007
K5s,fold,0.9902
K5s,call,0.0041
K5s,raise,0.0056
K4s,fold,0.9978
K4s,call,0.0021
K3s,fold,0.9992
K3s,call,0.0006
K3s,raise,0.0001
K3s,jam,0.0001
K2s,fold,0.9896
K2s,call,0.0099
K2s,raise,0.0003
K2s,jam,0.0003
AQo,call,0.9755
AQo,raise,0.0115
AQo,jam,0.013
KQo,fold,0.37
KQo,call,0.621
KQo,raise,0.0085
KQo,jam,0.0005
QQ,call,0.7523
QQ,raise,0.0251
QQ,jam,0.2227
QJs,fold,0.8675
QJs,call,0.0794
QJs,raise,0.0173
QJs,jam,0.0358
QTs,fold,0.9428
QTs,call,0.0529
QTs,raise,0.001
QTs,jam,0.0032
Q9s,fold,0.9122
Q9s,call,0.0764
Q9s,raise,0.0091
Q9s,jam,0.0024
Q8s,fold,0.9895
Q8s,call,0.0094
Q8s,raise,0.0001
Q8s,jam,0.001
Q7s,fold,0.9982
Q7s,call,0.0001
Q7s,raise,0.0007
Q7s,jam,0.001
Q6s,fold,0.9942
Q6s,call,0.0034
Q6s,raise,0.0022
Q6s,jam,0.0003
Q5s,fold,0.9867
Q5s,call,0.0031
Q5s,raise,0.0025
Q5s,jam,0.0076
Q4s,fold,0.9966
Q4s,call,0.0014
Q4s,raise,0.0003
Q4s,jam,0.0018
Q3s,fold,0.999
Q3s,call,0.0007
Q3s,raise,0.0002
Q3s,jam,0.0001
Q2s,fold,0.998
Q2s,call,0.0012
Q2s,raise,0.0007
AJo,fold,0.0514
AJo,call,0.6926
AJo,raise,0.2367
AJo,jam,0.0194
KJo,fold,0.9696
KJo,call,0.0277
KJo,raise,0.0018
KJo,jam,0.0009
QJo,fold,0.985
QJo,call,0.0146
QJo,jam,0.0004
JJ,call,0.6125
JJ,raise,0.3731
JJ,jam,0.0144
JTs,fold,0.8082
JTs,call,0.1532
JTs,raise,0.0192
JTs,jam,0.0194
J9s,fold,0.8086
J9s,call,0.1909
J9s,raise,0.0004
J9s,jam,0.0002
J8s,fold,0.9571
J8s,call,0.0318
J8s,raise,0.0003
J8s,jam,0.0108
J7s,fold,0.9972
J7s,call,0.0003
J7s,raise,0.0003
J7s,jam,0.0022
J6s,fold,0.9953
J6s,call,0.0044
J6s,jam,0.0003
J5s,fold,0.9964
J5s,call,0.0035
J5s,raise,0.0001
J4s,fold,0.9998
J4s,raise,0.0001
J4s,jam,0.0001
J3s,fold,0.9934
J3s,call,0.0041
J3s,raise,0.0008
J3s,jam,0.0016
J2s,fold,0.9995
J2s,call,0.0003
J2s,raise,0.0001
J2s,jam,0.0001
ATo,fold,0.8805
ATo,call,0.1165
ATo,raise,0.0011
ATo,jam,0.0019
KTo,fold,0.9897
KTo,call,0.0088
KTo,raise,0.0015
KTo,jam,0.0001
QTo,fold,0.9974
QTo,call,0.002
QTo,raise,0.0005
JTo,fold,0.9984
JTo,call,0.0014
JTo,jam,0.0002
TT,call,0.3165
TT,raise,0.4666
TT,jam,0.2168
T9s,fold,0.9928
T9s,call,0.002
T9s,raise,0.0051
T9s,jam,0.0001
T8s,fold,0.9939
T8s,call,0.0018
T8s,raise,0.0035
T8s,jam,0.0008
T7s,fold,0.8651
T7s,call,0.1313
T7s,raise,0.0027
T7s,jam,0.001
T6s,fold,0.9991
T6s,call,0.0001
T6s,jam,0.0008
T5s,fold,0.9621
T5s,call,0.0371
T5s,raise,0.0008
T4s,fold,0.998
T4s,call,0.0001
T4s,raise,0.0017
T4s,jam,0.0002
T3s,fold,0.9992
T3s,call,0.0004
T3s,raise,0.0003
T3s,jam,0.0002
T2s,fold,0.9999
T2s,jam,0.0001
A9o,fold,0.9319
A9o,call,0.0637
A9o,raise,0.0021
A9o,jam,0.0023
K9o,fold,0.9986
K9o,call,0.0012
K9o,jam,0.0001
Q9o,fold,0.9974
Q9o,call,0.0024
Q9o,raise,0.0002
Q9o,jam,0.0001
J9o,fold,0.9997
J9o,call,0.0001
J9o,jam,0.0002
T9o,fold,0.9999
T9o,raise,0.0001
99,call,0.8027
99,raise,0.181
99,jam,0.0163
98s,fold,0.9579
98s,call,0.0094
98s,raise,0.0299
98s,jam,0.0028
97s,fold,0.9978
97s,call,0.0015
97s,raise,0.0003
97s,jam,0.0004
96s,fold,0.9992
96s,call,0.0003
96s,raise,0.0001
96s,jam,0.0004
95s,fold,0.9989
95s,call,0.0005
95s,raise,0.0001
95s,jam,0.0005
94s,fold,0.9993
94s,call,0.0006
94s,jam,0.0001
93s,fold,0.9979
93s,call,0.002
93s,jam,0.0001
92s,fold,0.9907
92s,call,0.0068
92s,raise,0.0013
92s,jam,0.0012
A8o,fold,0.9865
A8o,call,0.0045
A8o,raise,0.0079
A8o,jam,0.0011
K8o,fold,0.9852
K8o,call,0.0138
K8o,raise,0.0006
K8o,jam,0.0004
Q8o,fold,0.9999
Q8o,call,0.0001
J8o,fold,0.9997
J8o,call,0.0003
T8o,fold,0.9998
T8o,call,0.0001
T8o,raise,0.0001
98o,fold,0.9999
88,fold,0.0002
88,call,0.929
88,raise,0.0618
88,jam,0.009
87s,fold,0.9952
87s,call,0.0001
87s,raise,0.002
87s,jam,0.0027
86s,fold,0.9425
86s,call,0.0569
86s,raise,0.0005
86s,jam,0.0001
85s,fold,0.9986
85s,call,0.0013
85s,raise,0.0001
84s,fold,0.9993
84s,call,0.0006
83s,fold,0.9993
83s,call,0.0005
83s,raise,0.0001
83s,jam,0.0001
82s,fold,0.9999
A7o,fold,0.9913
A7o,call,0.0061
A7o,raise,0.0022
A7o,jam,0.0004
K7o,fold,0.9992
K7o,call,0.0006
K7o,raise,0.0002
Q7o,fold,1.0
J7o,fold,0.9996
J7o,call,0.0001
J7o,jam,0.0002
T7o,fold,0.9999
97o,fold,0.9993
97o,call,0.0006
87o,fold,1.0
77,fold,0.4433
77,call,0.1995
77,raise,0.3496
77,jam,0.0076
76s,fold,0.9929
76s,call,0.0053
76s,raise,0.0017
75s,fold,0.9991
75s,call,0.0005
75s,raise,0.0003
75s,jam,0.0001
74s,fold,0.9991
74s,call,0.0007
74s,jam,0.0001
73s,fold,0.9989
73s,call,0.001
73s,jam,0.0001
72s,fold,0.9999
72s,raise,0.0001
A6o,fold,0.9993
A6o,call,0.0006
A6o,raise,0.0001
A6o,jam,0.0001
K6o,fold,0.9993
K6o,call,0.0006
K6o,jam,0.0001
Q6o,fold,1.0
J6o,fold,0.9999
T6o,fold,0.9989
T6o,call,0.0011
96o,fold,1.0
86o,fold,0.9999
86o,jam,0.0001
76o,fold,1.0
66,fold,0.846
66,call,0.1462
66,raise,0.0077
66,jam,0.0002
65s,fold,0.9994
65s,raise,0.0006
64s,fold,0.9841
64s,call,0.0145
64s,raise,0.0001
64s,jam,0.0013
63s,fold,0.9999
62s,fold,0.9977
62s,call,0.002
62s,raise,0.0003
A5o,fold,0.9956
A5o,call,0.003
A5o,raise,0.0001
A5o,jam,0.0013
K5o,fold,0.9988
K5o,call,0.001
K5o,jam,0.0001
Q5o,fold,0.9999
Q5o,call,0.0001
J5o,fold,1.0
T5o,fold,0.9999
95o,fold,0.9997
95o,raise,0.0002
85o,fold,0.9999
75o,fold,1.0
65o,fold,1.0
55,fold,0.8896
55,call,0.032
55,raise,0.0619
55,jam,0.0166
54s,fold,0.9982
54s,call,0.0006
54s,raise,0.0009
54s,jam,0.0003
53s,fold,0.997
53s,call,0.003
52s,fold,0.9995
52s,raise,0.0004
A4o,fold,0.9957
A4o,raise,0.0043
K4o,fold,0.9999
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,0.9999
94o,fold,1.0
84o,fold,1.0
74o,fold,0.9999
74o,call,0.0001
64o,fold,0.9999
54o,fold,0.9992
54o,call,0.0007
54o,raise,0.0001
44,fold,0.9758
44,call,0.0001
44,jam,0.0241
43s,fold,0.9955
43s,call,0.0038
43s,raise,0.0008
42s,fold,0.9995
42s,call,0.0004
A3o,fold,0.9999
A3o,call,0.0001
K3o,fold,0.9995
K3o,call,0.0005
Q3o,fold,0.9999
Q3o,call,0.0001
J3o,fold,1.0
T3o,fold,0.9996
T3o,call,0.0004
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,0.9999
63o,call,0.0001
53o,fold,0.9999
53o,call,0.0001
