# poker.academy CE-Symmetric — 50bb vs3bet | hero HJ vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.0979
44,fold,0.9021
55,call,0.486
55,fold,0.514
66,call,0.968
66,fold,0.032
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,0.0999
AKs,jam,0.9001
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,0.8581
A6s,fold,0.1419
A5s,call,1.0
A4s,call,0.7521
A4s,jam,0.2479
A3s,call,1.0
A2s,call,0.1279
A2s,fold,0.8721
AKo,jam,1.0
KK,call,0.9021
KK,jam,0.0979
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,0.502
K8s,fold,0.498
K6s,call,0.422
K6s,fold,0.578
AQo,call,1.0
KQo,call,0.9121
KQo,fold,0.0879
QQ,call,0.2799
QQ,jam,0.7201
QJs,call,1.0
QTs,call,1.0
AJo,call,0.6429
AJo,fold,0.1236
AJo,jam,0.2335
KJo,call,0.518
KJo,fold,0.482
JJ,call,0.7341
JJ,jam,0.2659
JTs,call,1.0
J9s,call,1.0
TT,call,1.0
T9s,call,1.0
T8s,call,0.9021
T8s,fold,0.0979
87s,call,0.186
87s,fold,0.814
76s,call,0.4081
76s,fold,0.5919
