# poker.academy CE-Symmetric — 50bb vs3bet | hero HJ vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,call,1.0
44,call,0.7301
44,jam,0.2699
55,call,0.5961
55,jam,0.4039
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,0.3761
AA,jam,0.6239
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.45
A5s,jam,0.55
A4s,jam,1.0
A3s,jam,1.0
A2s,call,0.0198
A2s,jam,0.9802
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,0.77
K8s,fold,0.23
K7s,call,0.1479
K7s,fold,0.8521
K6s,call,1.0
K5s,call,0.304
K5s,fold,0.696
AQo,call,0.706
AQo,jam,0.294
KQo,call,1.0
QQ,jam,1.0
QJs,call,0.432
QJs,jam,0.568
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.1999
Q8s,fold,0.8001
AJo,call,1.0
JJ,jam,1.0
JTs,call,1.0
J9s,call,1.0
ATo,call,0.278
ATo,fold,0.722
TT,jam,1.0
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
97s,call,0.62
97s,fold,0.38
87s,call,1.0
76s,call,1.0
65s,call,1.0
