# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: hj vs3betjam @ 50bb
# HRC node: id=1258, seat=3, sequence=FFFRRFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 21.54%
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,fold,0.6906
AQs,call,0.3094
AJs,fold,0.9748
AJs,call,0.0252
ATs,fold,0.2474
ATs,call,0.7526
A9s,fold,0.9804
A9s,call,0.0196
A8s,fold,0.9995
A8s,call,0.0005
A7s,fold,0.9968
A7s,call,0.0032
A6s,fold,0.9952
A6s,call,0.0048
A5s,fold,0.9556
A5s,call,0.0444
A4s,fold,0.9908
A4s,call,0.0092
A3s,fold,0.9762
A3s,call,0.0238
A2s,fold,0.9501
A2s,call,0.0499
AKo,call,1.0
KK,call,1.0
KQs,fold,0.9347
KQs,call,0.0653
KJs,fold,0.829
KJs,call,0.171
KTs,fold,0.9999
KTs,call,0.0001
K9s,fold,0.9985
K9s,call,0.0015
K8s,fold,0.97
K8s,call,0.03
K7s,fold,0.9741
K7s,call,0.0259
K6s,fold,0.9912
K6s,call,0.0088
K5s,fold,0.9651
K5s,call,0.0349
K4s,fold,0.9369
K4s,call,0.0631
K3s,fold,0.9674
K3s,call,0.0326
K2s,fold,1.0
AQo,fold,0.659
AQo,call,0.341
KQo,fold,0.888
KQo,call,0.112
QQ,fold,0.0002
QQ,call,0.9998
QJs,fold,0.9961
QJs,call,0.0039
QTs,fold,0.9993
QTs,call,0.0007
Q9s,fold,0.9804
Q9s,call,0.0196
Q8s,fold,0.9939
Q8s,call,0.0061
Q6s,fold,0.9929
Q6s,call,0.0071
Q5s,fold,0.9035
Q5s,call,0.0965
Q4s,fold,0.9774
Q4s,call,0.0226
Q3s,fold,0.9871
Q3s,call,0.0129
Q2s,fold,0.9204
Q2s,call,0.0796
AJo,fold,0.9373
AJo,call,0.0627
KJo,fold,0.9732
KJo,call,0.0268
QJo,fold,0.9922
QJo,call,0.0078
JJ,call,1.0
JTs,fold,0.9981
JTs,call,0.0019
J9s,fold,0.9862
J9s,call,0.0138
J8s,fold,0.9978
J8s,call,0.0022
J7s,fold,0.9995
J7s,call,0.0005
J6s,fold,0.9871
J6s,call,0.0129
J4s,fold,0.9905
J4s,call,0.0095
J2s,fold,0.9999
J2s,call,0.0001
ATo,fold,0.9647
ATo,call,0.0353
KTo,fold,0.9984
KTo,call,0.0016
QTo,fold,0.9973
QTo,call,0.0027
JTo,fold,0.9985
JTo,call,0.0015
TT,fold,0.1536
TT,call,0.8464
T9s,fold,0.7914
T9s,call,0.2086
T8s,fold,0.9994
T8s,call,0.0006
T5s,fold,0.9398
T5s,call,0.0602
T3s,fold,0.9995
T3s,call,0.0005
T2s,fold,0.9901
T2s,call,0.0099
A9o,fold,0.9467
A9o,call,0.0533
K9o,fold,0.9956
K9o,call,0.0044
Q9o,fold,0.9968
Q9o,call,0.0032
J9o,fold,0.9999
J9o,call,0.0001
T9o,fold,0.9977
T9o,call,0.0023
99,fold,0.6325
99,call,0.3675
98s,fold,0.9998
98s,call,0.0002
97s,fold,0.991
97s,call,0.009
96s,fold,0.9981
96s,call,0.0019
94s,fold,0.9986
94s,call,0.0014
A8o,fold,0.9993
A8o,call,0.0007
K8o,fold,0.998
K8o,call,0.002
J8o,fold,0.9992
J8o,call,0.0008
88,fold,0.9732
88,call,0.0268
86s,fold,0.9854
86s,call,0.0146
A7o,fold,0.9943
A7o,call,0.0057
77,fold,0.9852
77,call,0.0148
73s,fold,0.9933
73s,call,0.0067
A6o,fold,0.997
A6o,call,0.003
66,fold,0.7208
66,call,0.2792
63s,fold,0.9919
63s,call,0.0081
A5o,fold,0.9886
A5o,call,0.0114
55,fold,0.9986
55,call,0.0014
54s,fold,0.9952
54s,call,0.0048
A4o,fold,0.997
A4o,call,0.003
44,fold,0.9938
44,call,0.0062
33,fold,0.7244
33,call,0.2756
22,fold,0.9997
22,call,0.0003
