# poker.academy CE-Symmetric — 50bb vs3bet | hero LJ vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.4275
44,fold,0.5725
55,call,0.5919
55,fold,0.4081
66,call,0.796
66,fold,0.204
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,0.2979
AKs,jam,0.7021
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.9701
A9s,fold,0.0299
A8s,call,1.0
A7s,call,0.294
A7s,fold,0.706
A6s,call,0.0218
A6s,fold,0.9782
A5s,call,0.096
A5s,jam,0.904
A4s,call,0.386
A4s,jam,0.614
A3s,call,0.984
A3s,jam,0.016
AKo,jam,1.0
KK,call,0.8201
KK,jam,0.1799
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.6981
K9s,fold,0.3019
K6s,call,0.3619
K6s,fold,0.6381
AQo,call,1.0
KQo,call,0.5321
KQo,fold,0.4679
QQ,jam,1.0
QJs,call,1.0
QTs,call,1.0
AJo,call,0.3779
AJo,fold,0.6221
KJo,call,0.188
KJo,fold,0.812
JJ,jam,1.0
JTs,call,1.0
J9s,call,0.0359
J9s,fold,0.9641
TT,call,1.0
T9s,call,1.0
87s,call,0.6633
87s,fold,0.3367
76s,call,0.3867
76s,fold,0.6133
