# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: lj vs3betjam @ 50bb
# HRC node: id=4833, seat=2, sequence=FFRRFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 24.05%
notation,action,freq
AA,fold,0.0001
AA,call,0.9999
AKs,fold,0.0002
AKs,call,0.9998
AQs,fold,0.7981
AQs,call,0.2019
AJs,fold,0.8776
AJs,call,0.1224
ATs,fold,0.9196
ATs,call,0.0804
A9s,fold,0.9629
A9s,call,0.0371
A8s,fold,0.9537
A8s,call,0.0463
A7s,fold,0.9516
A7s,call,0.0484
A6s,fold,0.9981
A6s,call,0.0019
A5s,fold,0.9955
A5s,call,0.0045
A4s,fold,0.9246
A4s,call,0.0754
A3s,fold,0.9116
A3s,call,0.0884
A2s,fold,0.9776
A2s,call,0.0224
AKo,call,1.0
KK,call,1.0
KQs,fold,0.9864
KQs,call,0.0136
KJs,fold,0.9359
KJs,call,0.0641
KTs,fold,0.9084
KTs,call,0.0916
K9s,fold,0.9989
K9s,call,0.0011
K8s,fold,0.9686
K8s,call,0.0314
K7s,fold,0.9914
K7s,call,0.0086
K6s,fold,0.9973
K6s,call,0.0027
K4s,fold,0.9865
K4s,call,0.0135
K3s,fold,0.9597
K3s,call,0.0403
K2s,fold,0.9892
K2s,call,0.0108
AQo,fold,0.791
AQo,call,0.209
KQo,fold,0.9588
KQo,call,0.0412
QQ,fold,0.0001
QQ,call,0.9999
QJs,fold,0.8908
QJs,call,0.1092
QTs,fold,0.9775
QTs,call,0.0225
Q9s,fold,0.9956
Q9s,call,0.0044
Q8s,fold,0.9954
Q8s,call,0.0046
Q7s,fold,0.9633
Q7s,call,0.0367
Q6s,fold,0.9982
Q6s,call,0.0018
Q4s,fold,0.995
Q4s,call,0.005
Q3s,fold,0.9965
Q3s,call,0.0035
AJo,fold,0.7947
AJo,call,0.2053
KJo,fold,0.9977
KJo,call,0.0023
QJo,fold,0.9984
QJo,call,0.0016
JJ,fold,0.0119
JJ,call,0.9881
JTs,fold,0.9863
JTs,call,0.0137
J9s,fold,0.9736
J9s,call,0.0264
J8s,fold,0.9962
J8s,call,0.0038
J6s,fold,0.9592
J6s,call,0.0408
J2s,fold,0.9991
J2s,call,0.0009
ATo,fold,0.8515
ATo,call,0.1485
KTo,fold,0.9977
KTo,call,0.0023
QTo,fold,0.9626
QTo,call,0.0374
JTo,fold,0.9978
JTo,call,0.0022
TT,fold,0.0875
TT,call,0.9125
T9s,fold,0.9287
T9s,call,0.0713
T8s,fold,0.9878
T8s,call,0.0122
T7s,fold,0.9899
T7s,call,0.0101
T6s,fold,0.9764
T6s,call,0.0236
T5s,fold,0.9734
T5s,call,0.0266
T4s,fold,0.9985
T4s,call,0.0015
T3s,fold,0.989
T3s,call,0.011
T2s,fold,0.9961
T2s,call,0.0039
A9o,fold,0.9721
A9o,call,0.0279
K9o,fold,0.9968
K9o,call,0.0032
Q9o,fold,0.9998
Q9o,call,0.0002
J9o,fold,0.9998
J9o,call,0.0002
T9o,fold,0.9977
T9o,call,0.0023
99,fold,0.9588
99,call,0.0412
98s,fold,0.9784
98s,call,0.0216
97s,fold,0.9955
97s,call,0.0045
96s,fold,0.9265
96s,call,0.0735
95s,fold,0.999
95s,call,0.001
A8o,fold,0.9995
A8o,call,0.0005
K8o,fold,0.9961
K8o,call,0.0039
J8o,fold,0.9988
J8o,call,0.0012
88,fold,0.8474
88,call,0.1526
87s,fold,0.9919
87s,call,0.0081
86s,fold,0.9705
86s,call,0.0295
82s,fold,0.9973
82s,call,0.0027
A7o,fold,0.9985
A7o,call,0.0015
K7o,fold,0.9999
K7o,call,0.0001
77,fold,0.9222
77,call,0.0778
76s,fold,0.9987
76s,call,0.0013
K6o,fold,0.998
K6o,call,0.002
66,fold,0.8524
66,call,0.1476
A5o,fold,0.9805
A5o,call,0.0195
55,fold,0.9993
55,call,0.0007
A4o,fold,0.9996
A4o,call,0.0004
44,fold,0.9834
44,call,0.0166
A3o,fold,0.9899
A3o,call,0.0101
Q3o,fold,0.9971
Q3o,call,0.0029
33,fold,0.9315
33,call,0.0685
A2o,fold,1.0
22,fold,0.9927
22,call,0.0073
